we 	w i
senesini	s e n e s i n i
seredilen	s e r e d i l e n
seredýär	s e r e d 3 r
sesleriň	s e s l e r i a
subutnamalaryň	s u b u t n o m o l o ry~ a
sungatlary	s u N a tL~ a X n a
suwarymly	s u w ar i m kw~ a
sylaglaryna	s i m g a b o  i n a
sözüň	s o z 3 a
talabyny	t a l a b 3 n
tanymal	t a 5 m a l
tapawutlylykda	t a p a w i c ly~ ly~ k d a
tapyşa	t a p i S a
taýýarlamalary	t a a l o m o l o r
tehnikasyny	t e h n i k a s 3 n
teklipnamasy	t e k 3 l i p i n a m a k
terbiýelemäge	t E r b i E e l e m 3 g e
tertipnamasyna	t E r t e p n a m a s 3 n a
tohumy	t o h u m
toýuny	t o u n
tutýarlar	t u t a l a r
tutýarys	t u t a hy~
täzelikleri	t 3 z e l i k l e r i
töletdirip	h a l e t d i r i p
usullaryň	u s u y a cy~ n
uçup	u u p
ykbalyny	y t m a ly~ n
yklymynda	y k ly~ m 3 n d a
yşyklandyryş	y S a q l a n dy~ cy~ S
zolaklar	z o l a q
Çagany	a g a n
Ýetginjekleriň	e t g k o n o x e k l e r i a
Ýüz	3
çemeleşmeleriň	e m e l e S m e l e r i a
çep	3 p
çykanda	y k a n d a
çykar	y k a r
çöl	o
ölen	o l e n
önjeýli	n h l i
öwrenmegi	k r e n m E g i
özenini	o z e n i n i
üýtgedilen	3 t g e d i l e n
ýadygärliginiň	a o g r i e l i g i n i a
ýalan	i c
ýangyjyny	a N y hy~ n
ýaramly	a r a m kw~ a
ýarymynyň	i i m 3 n 3 a
ýaňy	a a
ýerlenildi	r xy~ E kw~ l d i
ýerleşdirmegiň	r xy~ E kw~ e S dy~ s a y m 3 i a
ýerleşip	r xy~ E kw~ e S i p
ýerleşişi	r xy~ E kw~ e S i S i
ýetmäge	e t m 3 g e
ýod	o d
ýokarlandyrýar	k a d l a n dy~ r a r
ýokumly	o k u m kw~ a
ýowaryna	o w ar
ýurduna	g o n a
ýyladyşhana	y u l a o S a n a
ýylylygyň	y u l y ly~ Z a
ýylyndan	y u l y nd~ a n
Şäher	E h t i e r
şahyrana	S a h 3 r a n a
şekilli	S e k i l l i
şertinde	S e r t i n d e
şolar	S o l a r
şäherçesi	S 3 i* e s i
Balyk	t a ly~
Baştutanyna	a S t u t a 5 n a
Bilelikde	i l e l i k d e
Biribardan	i r i bh~ a r d a n
Biržanyň	i r Z e a 5 a
Düýpli	3 p l i
Eýrana	r a n a
Farap	a r a p
Horwatiýanyň	o r w a t i a 5 a
Jemi	e m i
Köpugurly	o p u g u E kw~ a
Lizing	i 5
Röwşen	k S e n
Serhet	e r h e t
Watançylyk	a t a n y ly~
aglaba	y l a b a
agramly	a b o ch~ m kw~ a
agtygy	y T gy~
akyp	a k p
alkyş	a l ky~ S
ammiak	a m a k
artdyrylýar	i t o ry~ l a r
arzasynyň	a r z a s 3 n 3 a
atalyk	a t t a ly~
atlaryny	a t l a hy~ n
atlylar	a t ly~ l a r
awtoulaglary	a w t o l a g
açan	a
aýak	a a k
bagyşlanypdyr	b a x y a S  5 p o r
bahasyndan	b a h a s 3 nd~ a n
bankda	b a n k d a
barlanylýar	b a r l a 5 l a r
baýdyr	b a o r
baýlaşdyrylýar	b a l o S o ry~ l a r
belentlige	b e l e n t l i g e
beton	b e t o n
bezemek	b e z e m e k
bilermeniň	b i l e r m E n i a
bilimini	b i l i m i n i
bilmegi	b i l m E g i
birleşen	b 3 r l e S e n
birliginiň	b 3 r l i g i n i a
bolandygyna	b o r a n dy~ Z n a
bozulmany	b o z u l m o n
boşadylyp	b o S a o ly~ p
boşadylýan	b o S a o l
bölümlerine	b u w o l m 3 l e r i n e
dalaşgäri	d o l o S g r i e
daýanýan	d a a*
desseleri	d e s e l e r i
deňligi	d e N l i g i
diplom	d i p l o m
dokumenti	d o k u m e n t i
dolmagyň	t o r Z a
döretmezden	d a r e t m e z d a e n
düzgünleşdirmegiň	d 3 z N n l e S dy~ s a y m 3 i a
edebiýatynyň	e d e b i a T 5 n
ediliş	e d i l i S
enjamlaşdyryldy	e n c a m o l o S o ry~ u l d u z
esbaplary	e s b a p
esgerler	e s g e r l e r
eýýamynyň	e a m 3 n 3 a
fransuz	f r i s u
ganatly	g a n a t kw~ a
geografik	g e o g r a f i k
geçirilişiniň	g  i r i l i S i n i a
geçirmekleri	g  i s a y m 3 k l e r i
geňeşçisi	g e N e S i s i
girewe	g i r e w e
girizmegiň	g i r i z a w a n i a
goragynda	g o r a x y a nd~ a
goýlup	g o l u p
goşantlaryny	g o S a t a hy~ n
goşulmaga	g o S u l m o g o
görkezmelidir	g a r k e z m e l i d i r
gürrüňdeş	N r 3 a d e S
hemmesine	h e m e s i n e
hemmesini	h e m e s i n i
hukuklaryndan	h u k u k l o hy~ nd~ a n
hukuklydyr	h u k u k ly~ o r
hüjümçisi	t a 7 i j 3 m i s i
iberilmegi	i b e r e l m E g i
iýulyndan	i u ly~ nd~ a n
işewürliginiň	i S e v a l i g i n i a
işjeňliginiň	i S i n l i g i n i a
jedelsiz	h e d e l i t e
jenaýatyň	h e n a a Th~ a
jülgesiniň	h l g 3 s i n i a
kadasyna	k a d a s 3 n a
kanunynyň	k a n u 5 5 a
kapitanynyň	k a p i t a 5 5 a
karty	k a r ty ~
kemçiliklere	k e m i l i k l e r e
kenarynyň	k e n a hy~ 5 a
kepil	k e p i l
keşbe	k e S b e
konserte	q o n i k e r t e
kreditora	k r E d i t o r a
kämilleşdirilmegi	k 3 m i l l e S d i r i l m E g i
köpri	k o p r i
körpe	k o r p e
köçeleri	k o e l e r i
maldarçylygy	m a l d a r y ly~ gy~
manysyny	m a 5 s
maslahatlaryna	s l a h a tL~ a X cy~ n a
mebelleri	m e b e l l e r i
mejlis	m e h l i s
merkezleşdirilen	m e r k e z l e S d i r i l e n
myhmanlaryny	m 3 t
möhletleriniň	h w a L e t l e r i n i a
möçberindäki	h w a k i d 3 k i
mümkinçilige	m m 3 3 5 i p e i l i g e
münberine	m i k i n e
neşirler	n e S i r l e r
nyň	5 a
obalar	o b a l a r
obalarynda	o b a l a hy~ nd~ a
oýnap	o a p
paýnamalary	p a n a m a l a r
pensiýany	p e ns~ i
peýdalanylandygy	p e d a l a 5 l a n dy~ gy~
pullar	p u y a r
restoran	r e s t o r a
sazandalar	s a z a nd~ a r a r
saýlandy	s a l a n dy~
saýlawlarynyň	s a l a w  i 5 a
seljerişiniň	s e l x e r i S i n i a
serhetçiler	s e r h e t i l e r
sesleri	s e s l e r i
sowuk	s o w u k
suwlar	s u w l a r
suwlaryň	s u w  i a
süýümli	s 3 m 3 z d a
tabşyryklaryny	t a b S y ry~ k l o hy~ n
tabşyrylmagy	t a b S y hy~ l m o g
tabşyryp	t a b S y cy~ p
tanyşlygyny	t a 5 S ly~ Z n
tanyşlygyň	t a 5 S ly~ Z a
tarapda	t a r a p d a
tarif	t a r i f
tejribesinde	t a  r i b e s i n d e
telekeçilere	t e l e k  i l e r e
tikin	t i k i n
togtadylýar	t o x d a 7 t a d u y a r
tohumlar	t o h u m l a r
tomus	t o m u s
topraga	t o p r a g a
towakganamasy	t o w a k g a n a m a k
tygşytly	ty~ e g S 3 t kw~ a
tölenmedik	h a l e n m e d i k
ugradylar	u b o ch~ o l a r
urýan	u r
utgaşdyrmak	u t gh~ u o S o r m a k
uçýan	u
wagtyna	w a g T n a
wekiliýetiň	w e k i l i  a
wepat	w e p
ygtyýarlylandyrylmagy	y g T a r ly~ l a n dy~ hy~ l m o g
ygtyýarnamasy	y g T a X n a q a m a k
ynanyldy	y n a 5 u l d u z
ynanýarys	y a* a cy~
zenanlarynyň	z e n a  i 5 a
zolaklaryň	z o l a q  i a
Ähtnama	h t n a m a
Ätiýaçlandyrylan	t i a l a n dy~ hy~ c
Ýuridiki	u r i d i k i
ätiýaçlyklary	3 t i a ly~ k
çempionatyny	3 mp~ i o n a t
çykyşlara	y ky~ S
çäklendirilmegine	3 k l e n d i r i l a w a n i n e
ölçeglerini	o l g l e r i n i
öndürijiler	n d 3 r e l e r
özgerýär	o z g e r 3 r
öçmejek	o * h
öňküsi	o a k 3 s i
ýagdaýlardan	a g d a  d a n
ýatagy	a t a h i
ýatladýar	a L a d a r
ýazgysynyň	l Z s 3 n 3 a
ýaşamaga	o S a m a g a
ýeňilliklerden	a g a i l l i k l e r d e n
ýeňişleriniň	a g a i S l e r i n i a
ýokarlandyrylmagy	k a d l a n dy~ cy~ l m o g
ýollarynda	o l l a hy~ nd~ a
ýürek	3 r e k
şahyr	S a h 3 r
şaýollarynyň	S a o l l a ry~ 5 a
Arçabil	r a b i l
Asyr	s 3 r
Aýna	n a
Aşgabatly	S g a b a L
Baharyň	a h a t ry~ n
Begenç	g
Berlen	e r l e n
Bütin	u t i n
Daşkentde	o S k e nt~ d e
Derweze	e r e z e
Diýmek	i w i t a
Federasiýasy	e d e r a s i a s
Göni	n i
Hasyl	a s 3
Hytaýa	3 t a a
Hyundai	y u n d a i
Institutyň	s i p o ty~ a
Kaka	a k a
Kanunyny	n u
Merdan	e r d a n
Moskwada	o s kw~ a d a
Nawaz	a w a z
Nesil	e s i l
Pekinde	r nd~ e
Pudagyň	u d a x y a a
Pudaklaýyn	u d a k l o y n
Raýatlar	a a L a r
Russiýada	u s s i a d a
Telekeçilik	e l e k  i l i k
Turkmenistan	u r k m E n i s t a n
Türgenler	3 r g e n l e r
Uzak	z a k
abraýyna	a b " r a y n a
adamynyň	a d a m 3 n 3 a
adwokatyň	a d w o k a ty~ a
agtyklary	y Th~ k
akymlaryny	a k i m l E cy~ n
alarlar	a l a l a r
alnyşynyň	a l 5 S y 5 a
alyjylar	t a ly~ hy~ l a r
amatlyklar	a m a t ly~ k l a r
ammara	a m m a r a
arheologiýa	a r u o l o g i a
asgyn	a s Z n
aýdymçy	a o m
aýyna	a y n a
aşhana	o S a n a
baba	b a b a e
barylýandygy	b a r u y a n dy~ gy~
baýdaklarynyň	b a d a q  i 5 a
baýlaşdyrmaga	b a l o S o r m a g a
baýraklara	b a r a k l a r a
baýraklaryň	b a r a q  i a
başarjaň	b o S a r gy~ a
başlar	b a S
bildirmegiň	b i l d i r m E g i a
bilermeni	b i l e r m e n i
bilmedik	b i l m e d i k
bäşisi	b 3 S i s i
bölümlerde	b u w o l m 3 l e r d e
deklarasiýasynyň	d e k l a d a C e i S k 5 a
derejäniň	d e r a E n i a
derwaýys	d e r w a y
derwezä	d e r e z
dikeldilmegi	d i k e l d i l m E g i
diwar	d i w a r
däldirler	d 3 l d i r l e r
döretdiler	d a r e t d i l e r
dünýäsine	d i 3 s i n e
düzgünnamaly	d 3 z N kw~ a
düşünmek	d 3 S 3 e g w i t a
edarasyny	e d a r a s 3 n
edende	e d e n d e
edilýänçä	e d i l a* d
eken	e k e n
ekinleriň	r l e r i a
ekişi	r S i
etdirmek	e t d i r w i t a
etrapdaky	a t 3 r a p d a k
gant	g a nt~
gatnaşmagyna	g a t n 3 S m y 3 n a
gazanylandygyny	g a z a 5 l a n dy~ Z n
gazanýar	g a z a a r
gelýändigi	g e l a* d d i g i 7
geçirilmeginde	g  i r i l a w a n i d e
geçirilmelidigini	g  i r i l m e l i d i g i n i
girdejisi	g i r d e h a i s i
girizdi	g i r i z d i
girýärler	g i r r i e l e r
gowşurylan	g o w S u hy~ c
graždan	b o ch~ Z e d a n
gyzgalaňly	gy~ z g a l a a kw~ a
gyzyklanmasyny	gy~ z a q a nz~ m a s 3 n
görkezişi	g a r k a  S i
görkezmelerini	g a r k e z m e l e r i n i
göterýär	g o t E r 3 r
göçürilip	g o 3 r i l i p
güýjüniň	N i i a
hakyndan	h a k nd~ a n
halklaryna	h a l k a n  i n a
hasabatynyň	h a s a b a t u s 5 a
hemmeleriň	h e m e l e r i a
hojalyklarynyň	h o x a ly~ k l o cy~ 5 n
howasyna	h o w a s 3 n a
hususylaşdyrmak	h u s u s u y o S o r m a k
hyzmatyna	h u z  Th~ n a
hödürlemegi	h o p d 3 l E m E g i
hötdesinden	h o p t d e s i n d e n
ilkibaşky	a l k i b o S ky~
isleginden	i w t a g i n d e n
işewürleri	i S e v a l e r i
işlenilýär	i S l e n i l 3 r
janly	h a n kw~ a
jismi	h i s m i
kararda	k a r a r d a
kesgitleýji	k e s g i L e u
kesýär	k e s 3 r
keşpleri	k e S p l e r i
kitabyň	k i t 3 by~ a
kodeksi	k o d e k s i
kody	k o t a
korporasiýasynyň	k o r p o r a s i i S k 5 a
kärhanalara	k a r a n a l a r a
körpeleriň	k o r p e l e r i a
lomaý	xy~ u 7
magistral	m a g i s t r a l
maslahatlaşmagyň	s l a h a t l o S Z a
maýyplar	m a y p l a r
medet	m e d e t
melioratiw	m e l i o r a t i
merkezleriň	m e r k e z l e r i a
meýdançasynyň	m e d a i S k 5 a
meýilnamany	m e i l 5
meýilnamasynda	m e i l n a m a s 3 n d a
myhmanhanalaryň	m 3 t h a n a l a ry~ a
müşderileriniň	m 3 S d e r e l e r i n i a
nebithimiýa	n e b i t h i m i a
nokadyna	n o k a o n a
obany	o b a n
okuwy	o k u w 3
orunbasarynyň	u r u nb~ a s a hy~ 5 n
oruntutary	u r u n t u t a r
otaglarynda	o t o x  i nd~ a
owadanlygy	o w a d a ly~ gy~
psihiki	p s i h i k i
pälwanlaryň	p 3 7 l w a  i a
pürli	p 3 l i
raýdaş	r a d o S
salgysy	s a l Z s
saýlawçylary	s a l a w y
senesinde	s e n e s i n d e
senäni	s e n 3 n i
soraglar	s o r a g l a r
suratkeşler	s u r a t k e S l e r
söhbet	s o b e t
tagallalarynyň	t a g a l l a l a ry~ 5 a
tamamlan	t o m o m l E n
tansly	t a n w
tanyşdyrdylar	t a 5 S o r o l a r
tapgyrdan	t a p Z r d a n
taýýarlamaly	t a a l o m o l
toplanyldy	t o p l a 5 u l d u z
toprakda	t o p r a k d a
tälimçi	t 3 l i m i
tälimçileriň	t 3 l i m i l e r i a
tölenýän	h a l e n 3 n
ukypsyzlyk	u k 3 p s u z  ly~
ulaglar	u l a g l a r
un	u n
wagtlar	w a g L a r
wideo	w i d e o
zehini	z e h i n i
zerurlyk	z e r u r ly~
Çap	a p
Öň	a
Ýene	e n e
ätiýaçlandyrmak	3 t i a l a n dy~ r m a k
çapdan	a p d a n
çekiler	e k i l e r
çeşmeleriň	e S m e l e r i a
çynlakaý	 l o k o
çyzgylar	u z  Z l a r
çözgütlerini	o z N L e r i n i
ösdürilmeginiň	o s d a 3 r e l a w a n i n i a
üstüniň	3 s t i i a
ýadygärliklerini	a o g r i e l i k l e r i n i
ýangyjy	a N i L
ýangyjyň	a N y hy~ a
ýazgylaryň	l Z  i a
ýaýbaňlandy	a b a a l a n dy~
ýaýmak	a
ýaşamagyny	o S a m a x y a n
ýerleşmek	r xy~ E kw~ e S w i t a
ýetiriler	e t i r i l e r
ýokarlandyrmagy	k a d l a n dy~ r gy~
ýurtlarymyz	o r d  i m u z
şahsyýeti	S a 7 s y e t i
şaýatlary	S a a tL~ a X n a
şaýoly	S a o l
şekilini	S e k i l i n i
şertlendirer	S e r L e n d i r e r
şikaýata	S i k a a t a
şikaýatyň	S i k a a Th~ a
şäherçe	S 3 i* e
žurnalistler	Z u v i r n a l i s t l e r
Aba	b a
Aral	r a l
Asyrlaryň	s 3 r  i a
Bereket	e r e k e t
Britaniýa	r i t a n i a
Desganyň	e s g a 5 a
Döwletli	k l e
Futbol	u t b o l
Gazagystanda	l a u k a x y a s t a n d a
Gözden	o z d a e n
Ilçisi	l i s i
Intellektual	t e l a Nw~ t u a l
Italiýa	t a l i a
Kinematografiýa	i n e m a t o g r a f i a
Mejlisinde	j l i s i n d e
Moldowa	o l d o w a
Muhammad	a a m d i b
Oktýabr	a b r
Owadan	w a d a n
Patyşa	t u s S a
Permany	e r m a n
Prezidentleri	r a  d e n t l e r i
Seleksiýanyň	e l e k s i a 5 a
Tähran	E h t i r i
Türkmenabatda	3 r k m E n a b a t d a
Türkmenawtoýollary	3 r k m E n a w t o o l l a r
Ukrainadan	k r a i n a d a n
Ynanç	n a n
abraýa	a b " r a a
alnyşyny	a l 5 S
alyjylaryň	t a ly~ hy~  i a
aragatnaşygynyň	a r a g a t n 3 S y Z 5 a
aragatnaşyklaryň	a r a g a t n 3 S a q  i a
asyrlarboýy	a s 3 r  b o y
açdylar	a o l a r
açýan	a
aýlaw	a l a w
aýratynlyklarynyň	a r a ty~ 3 n ly~ k l o hy~ 5 a
aýry	a r
aşagynda	o S y 3 n d a
bagyşladylar	b a x y a S  o l a r
barlaýar	b a X l u m a a r
basyp	b a s 3 p
bazarlara	b a z a l a r a
baýramçylygyny	b a r a m y ly~ Z n
baýramçylyklar	b a r a m y ly~ k l a r
baýramçylyklary	b a r a m y ly~ k
berendigi	b e r e n d i g i 7
berlenden	b E l e n d e n
bileris	b i l e r i s
bioserişdelerini	b i o s E r i y a S d e l e r i n i
birleşiklerini	b 3 r l e S i k l e r i n i
bolçulygynyň	b o l u ly~ Z 5 a
bähbitleriň	b E h t i b i L e r i a
dakylýan	d a ky~ l
depozit	d e p o z i t
derejäni	d e r a E n i
dikeldilýän	d i k e l d i l 3 n
dolanyşyk	t o r a 5 S k
doldurmaga	d o l d u r m a g a
doluş	d o l u S
durmak	d u r m a k
durnuklylyk	d u r y o p o l o ly~ ly~
duzlarynyň	d u z l a hy~ 5 a
duýgusy	d u g u s
dökünleriň	d k i l e r i a
dönderilen	d 3 d e r e l e n
döredijiligine	d a r e d i j i l i g i n e
dörär	d a r 3 r
döwründen	d k a s nd~ e n
edilişiniň	e d i l i S i n i a
ekspertiza	e k 8 p e n e r t i c a
elli	e l l i
elýeterlidir	e l e t e r l i d i r
eminler	e m i n l e r
esaslandyryjylary	e s a s l a n dy~ hy~ hy~
eýeçiligindäki	e  i l i g i d 3 k i
fakultetiniň	f a k u l t e t i n i a
forumyna	f o r u m 3 n a
galdyrýan	g a u l d u z r
gapylaryny	g a p u u y o cy~ n
gar	g a r
garanda	g a r a n d a
garawuly	g a r a w a kw~ a
garaşylmadyk	g a r a S u y o
gatnatmagyň	g a t n 3 t Z a
gatnaşykda	g a t n 3 S a q d a
gatnaşýandygy	g a t n 3 S a n dy~ gy~
gazanylýar	g a z a 5 l a r
geleşikleriň	g e l e S i k l e r i a
geçilýän	g  i l 3 n
geçirer	g  i r e r
gidrotehniki	g i d r o t e h n i k i
gijeki	g i y e k i
gimnastikasy	g i m n 3 s o t i k a s
girizilýän	g i r i  l 3 n
girizilýändigi	g i r i  l a* d d i g i 7
gitmegine	g i t a w a n i n e
gitmegiň	g i t a w a n i a
goldaýandygy	g o l d a a n dy~ gy~
goýberilýär	g o k l 3 r
goýdular	g o d u l a r
goşulmaýar	g o S u l m o a r
goşunymyzyň	g o S u 5 my~ i n z y a
goşunyň	g o S u 5 a
gurady	g u r a d
gural	g u r a l
guramaçysy	g u r a m a
guruljak	g lx~ a k
gutlaglar	g u L a g l a r
gylyçlaşmak	gy~ ly~ l o S
gönükdirilip	g n 3 k d i r i l i p
gözegçiligine	g o z e g i l i g i n e
gürrüňsizdir	N r 3 a b z d a i r
güwänama	N w 3 n a m a
güýjüň	N j 3 a
güýçlendirmegi	N l e n d i r m E g i
hakykat	h a k m a
halaty	h o l o tw~
hasaplama	h a s a p l a m a
haýyşnamaça	h a y S a
hepdeligini	h e p d e l i g i n i
howuz	h o u
hoşlaşdy	h o S  S t a
hyzmatlaryna	h u z  tL~ a X cy~ n a
hünärine	h i 3 r i n e
iberip	i b e r i p
institutlary	s t i t u tL~ a X n a
jerimeleri	h e r i m e l e r i
jogapkärçiligiň	j o x a p k 3 r i l i g i a
kesel	k e s
kesilene	k e s i l e n e
köli	k o l i
köpeldi	k o p e l d i
köprüsi	k o p r 3 s i
lybasdaky	ly~ b a s d a h a k
lybaslary	ly~ b a l a r
maddasy	l d a s
maksatnamalara	k s a t n 3 m a l a r a
maliýeleşdirmäge	m a l i e l e S d i r m 3 g e
mana	m a n a
manadyň	m a n a o a
maslahatlarda	s l a h a tL~ a X n a d a
maşgalasy	m o S  p i S k
mekdepde	k d 3 p d e
mermer	m e r a m e
meýdançanyň	m e d a a 5 a
mirasymyzy	m i r a s 3 my~ i n z
mowzugy	m o w a f o Z
mugallym	m u g a ly~ 3 m
muşdaklary	m u S d a q
myhmana	m 3 t m a n a
möhri	h w a r i
netijeliliginiň	n e t i j e l i l i g i n i a
nyrhy	5 r a
owazlary	o w a z l a r
oýunçylary	o u n y
patente	p a t e n t e
paýlanylýar	p a l a 5 l a r
pensiýalary	p e ns~ i a l a r
peýdalanyjylar	p e d a l a 5 hy~ l a r
pursadyna	p u r sw~ o n a
pälwanlary	p 3 7 l w a
raýatlygyna	r a a t ly~ Z n a
raýatlyk	r a a t ly~
sadaka	s a d a k a
saklanan	s a q  n a n
salýar	s a l a r
sanlysy	s a* ly~ s
satylmagy	s a t u y gy~
sazlaşygyny	s a z l o S y Z n
sazlaşyk	s a z l o S k
saýaly	s a t a ly~
saýlanmagy	s a a nz~ gy~
seneler	s e n e l e r
seredilmäge	s e r e d i l m 3 g e
seredilýäniň	s e r e d i l 3 n i a
serhetüsti	s e r h e t 3 s t i
serişdesine	s e r i S d e s i n e
sowatly	s o w a t kw~ a
standartlaşdyrmak	s t a n y o S o r m a k
suwarmak	s u w a r m a k
suwlarynyň	s u w  i 5 a
synagyny	s  y 3 n
sözlerine	s o 3 z l e r i n e
sütüniniň	s i i i n i a
tanalýan	t a n a l
tanalýar	t a n a l a r
tanyşdyrmak	t a 5 S o r m a k
tapawutlanyp	t a p a w a L a 5 p
tassyklan	t a s a q c
tassyklanýan	t a s a q a nz~
tebigatynyň	th~ E b 3 g a t 5 a
telekeçilerine	t e l e k  i l e r i n e
teleradiogepleşikler	t e l e r a d i o g E p o l e S i k l e r
temmäkä	t a m 3 k
temperaturasynyň	t e N p e r a t u r a s 3 n 3 a
terjimehaly	t E r j i m e h a l
tolgundyryjy	t o l k i m cy~ hy~
topardaky	t o p a r d a k
topy	t o p y
türgenimiz	m a n t r g e n i m i z
ugradylan	u b o ch~ o c
ugradylýan	u b o ch~ o l
ulagynda	u l a x y a nd~ a
ulanylyşy	u l a 5 ly~ S
uruş	u r u S
utugy	u t o Z
uçaryň	u a hy~ n
wagtlary	w a g tL~ a X n a
wekiliýetleri	w e k i l i e t l e r i
ygtyýarlyklaryna	y g T a r ly~ k l o ry~ n a
ylalaşyklarynyň	y l o l o S a q  i 5 a
zerurlyklary	z e r u r ly~ k
zolak	z o l a k
zähmetkeşler	z E h t i m e t k e S l e r
Özbegistanda	z N e b e g i s t a n d a
Öňüni	a i i
çagyrmagy	y 3 r gy~
çykdajylaryny	a q d a hy~
çäklendirmeleri	3 k l e n d i r m e l e r i
ölçegleriň	o l g l e r i a
öwüşginleri	k 3 S g i n l e r i
üpjünçiligine	3 ph~ i i l i g i n e
üçüsini	3 3 s i n i
ýatymlaýyn	a t i m l E y n
ýeke	e k e
ýelkenli	 k 3 n l i
ýerlenende	r xy~ E kw~ e n e n d e
ýetirijilik	e t i r i j i l i k
ýetirilişiniň	e t i r i l i S i n i a
ýeňillik	a g a i l l i k
ýurdumyzdan	g o m z d a
ýygnagyň	y g i E 5 y 3 a
ýyldyzy	y u l d u z
ýüzlendi	3 z l e n d i
ýüztutma	3 z r o b o m a
Şereketiň	e r e k e t i a
şahslardan	S a 7 s  d a n
şeýlelikde	S e l l i k d e
şuňa	S u a a
şäherler	S 3 i* l e r
Abbas	b w a s
Abraýly	b r a kw~ a
Adalatçy	d a l a t
Adamlaryň	d a m l E cy~ n
Aliment	l i m E n t
Asylly	s y L
Awgust	w g u s
Belarusda	u l u m a d u s d a 7
Buhgalterçilik	a h g a l t E r i l i k
Dalaşgärleriň	o l o S g r i e l e r i a
Dehistan	e h i s t a n
Ene	n e
Eýrandan	r a nd~ a n
Gahrymany	a h r i m
Garaşylyşy	a r a S y ly~ S
Golaýda	o l 3 b d a
Gürrüň	3 r 3 a
Halkymyz	a l i m u z
Hasaplaşyk	a s a p l o S k
Hemme	e m
Hünärmen	i 3 s a y m 3 n
Ilat	l a t
Innowasiýa	a n n o w a s i a
Iýul	u l
Jogap	o g a p
Kazy	a z
Kazynyň	a z y 5 a
Kitap	i t a p
Konstitusiýasynda	o s t i t u s i i S k nd~ a
Küşt	3 S
Magistral	y i s t r a l
Marguş	a r a S
Merjen	e r i
Müdiriýetiň	3 d i r i  a
Nobatdaky	o b a t d a k
Pars	a r
Paryzdepe	a r y z d a e p e
Saýlawlar	a l a L w a r
Sindzo	c o
Stambul	t a m b u l
Türk	3 r
Ukraina	k r a i n a
Uzynlygy	z  ly~ gy~
Ynsanperwer	s a n p e r w e r
agzaldy	y r o l d
akymlarynyň	a k i m l E cy~ 5 a
alternatiw	a l t E r n a t i
alýanlara	a l a* l a r a
amatlyklaryň	a m a t ly~ k l o cy~ n
arheologiki	a r u o l o g i k i
artykmaçlyklary	a r Th~ k ly~ k
atlanan	a t l a n a n
awariýa	a w a r i a
aýdymyny	a o m 3 n
aýyrmaga	a y r m a g a
baglanyşygy	b o g l a 5 S y gy~
baglar	b o g l a r
bagtyýarlygyň	b o g T a r ly~ Z a
bagşylaryň	b o g S u y o ry~ a
barlaglarynyň	b a r g a b o  i 5 a
bazarlary	b a z a l a r
baýlaşmagyna	b a l o S m y 3 n a
baýlyklar	b a ly~ k l a r
belgiden	b e l g i d e n
bergidara	b e r g i d a r a
berginiň	b e r g i n i a
beriler	b E r e l e r
bilip	b i l i p
biraýlygyň	b 3 r a ly~ Z a
birleşdirdi	b 3 r l e S d i r d i
birleşiginde	b 3 r l e S i g i d e
birwagtda	b 3 r w a g t d a
bolýandygy	b o l a n dy~ gy~
borçnamalar	b o r n a m a l a r
borçnamasyny	b o r n a m a s 3 n
bäsleşigine	b 3 w t a S i g i n e
böleklerine	b u w o l e k l e r i n e
daşalmagy	d o S a l m o g
daşaýyş	d o S a y S
degerli	d e g e r l i
deputaty	d e p u t a t
derýanyň	d e r a 5 a
deňeşdirip	d e N e S d i r i p
dikeldildi	d i k e l d i l d i
doktorlyk	d o k t o r ly~
dolandyryşy	t o r a n dy~ hy~ S
dowamy	d o w a m
döremegi	d a r E m E g i
dükanlary	d 3
dükanlaryň	d 3   i a
dünýäsinde	d i 3 s i n d e
