di	d i
expectativanan	" p E kh~ a m e* t a t i v a n a n
expo	" p o
eybao	e y b a o
faha	f a h a
first	f a y s
flexibiliza	f l " i b i l i c a
foi	f o i
forensyco	f o r e s S e k o
fraccionnan	f r a k i o* n a n
gaba	g a b a
gritamento	g r i t a m e n t o
group	g r o u p
guardia	g u a r d i a
hayabo	h a y a b o
heridonan	h e r i d o n a n
hermana	h e r m a n a
heroenan	h e r o e n a n
hinka	h i n
hinke	h i n k e
hospitalnan	h o s p i t a l
house	h o u s e
hurista	h u r i 7 s t a
hustificacion	h u s t i f i k a i o n
ilustracion	i l u s t r a i o n
impuestonan	i m p u e s t o n a n
inclusivo	i n k l u s i b o
indicacionnan	i n d i k a i o* n a n
infeccionnan	i n f k i o* n a n
infraccion	i n f r a k i o n
ingrediente	i N X i  e n t e
ingresa	i N X i 3 s a
inn	i n n
insulto	s u l t o
inteligente	i n t e l i g 3 n t e
intensivamente	i n t e s i w a* m e n t e
intimida	i n t i m i d a
inunda	i n u n d a
inusual	i n u s u a l
inventarisa	i n f e n t a r i s a
lealtad	l E a l t a d
legado	l e 7 a d o
legalisa	l e 7 a l i s a
legitimidad	l E g i t i m i d a d
letter	l e t t e r
light	l i t
line	l i n e
listramento	l i s t r a m e n t o
lokaalnan	l o a l
lucrativo	% l u s r a t i b o
maluza	m a l u z a
maneranan	m a n e r a n a n
meti	m e t i
migrante	m i g r a n t e
modelonan	m o d e l o n a n
momentu	m o p i N t u
morocoy	m o r o k o y
motorunit	m u t u r u n i t
movecionnan	m o p e m u i o* n a n
musca	m u s k a t
noordwest	n o r dw$ a* 7
nubianan	n u b i a n a n
nulo	n u l o
observador	o b e r v a d o r
oraño	o r a 5 u
orientacion	u r i n t a  i o n
overtime	o e r t i m e
paciente	p a k i e n t e
paliativo	p a l i a t i b o
palonan	p a l o n a n
paranda	p a r a n d a
parha	p i i
part	p e r t
pasamento	p a s a m i n t o
patria	p a t r i a
perdidanan	p e r d i d a n a n
periodistico	p e r i o d i s t  o
piesanan	p i e s a n a n
plania	p l a y i n i a
plat	p l a y i
politicamente	p o l i t i k a m e n t e
populacion	p o p u l a k a i o n
posibelmente	p o s i b e l m e n t e
posicionnan	p o s i i o* n a n
positive	p o s i t i v E
postura	p o s t u r a
poz	p o
problematico	p l o b l a e m a t  o
procesamento	p r o k e s a m i n t o
profundidad	p r o f u nd~ i d a d
promé	p w e
psicologico	p s i k o l o g i k o
que	k E
raad	r a
recepcion	r E C E p E i o n
regalonan	r e g a l o n a n
regio	r e g i o
repatria	r e p a t r i a
respalda	r e s p a l d a
respetando	r E 8 p e n e t a n d o
restablece	r e s t a b l e k e
revision	r E i s i o n
sacrificionan	s a q  i o n a n
saka	s a k a
sake	s a k e
salbaguardia	s a l b a g u a r d i a
schoolnan	S o l n a n
schouder	S o u d e r
shopping	S o p p i N
sifuera	s i pw~ e r a
sigaria	s i g a r i a
simbolico	s i m b o l i k o
size	s i z e
siñamento	s i 5 a m e n t o
smart	s r
socialisa	s o k i a l i s a
speed	s p e 3 d
stempel	s t e N p e l
sumario	s u m a r i o
surseance	s u r s a*  e
tamaño	t a m a 5 u
tarhetanan	t a r h e t a n a n
tasa	t a s a
terminonan	t E r m i n o n a n
tocando	t o k a n d o
tono	t o n o
trainingnan	tr~ a i n i N n a n
transformacion	i t r i s h i o n
transplante	i t r i s p l a n t e
trip	t r i p
vanguardia	v a N g w a r d i a
versa	e r s a
veterinario	f e t e r i n a r i o
volumen	v o l u m e n
wardanan	w a r d a n a n
web	w e
werki	w e r
Accion	k i o n
Adventista	d f e n t i s t a
Alzheimer	l z  i *
Amalia	m a l i a
Ambtenaar	mb~ t e n a r
Andres	ndr$ e
Anteriormente	t E r i o s a y m 3 n t e
Anti	t i
Aressa	r e s
Argus	r g u s
Asegurado	s e g u r a d o
Ata	t a
Aurora	u r o r a
Autismo	h o 7 o t i p 3 m o
Barconan	r o n a n
Biba	i b a
Bloemond	l o e m o n d a
Britten	r i t
Brokke	r o k k e
Cabai	a b a i
CableTV	a b l e
Castigo	a s t i g o
Catalina	a t a l i n a
Categoria	a t e g o r i a
Celebracion	e l e b r a i o n
Centronan	e n t r o n a n
Chavez	h a v e z
Ciudadano	i u d a d a
Cola	o l a
Communicatie	o m u n i k a t i e
Compleho	i m p l e h o
Convention	o f e n t i o n 3
Creando	r e a n d o
Cubano	u b a
Dialogo	i a l o g o
Dogcatcher	o g i k a th~ a p 3 E r
Driemasterstraat	r i e m a S t E r s t r a t
Drs	r
Dunadornan	u n a d o r n a n
Duque	u kw~ i
Empleado	p l e a d o
Empresa	p r e s a
Esunnan	s u n n a n
Excellence	a l  m u S i n C i e
Franklin	r a n k l i n
Golfo	o l f o
Gomes	o 8 i m 3 s
Haseth	a s
Havenstraat	E b e s t r a t
Hogarnan	o g a r n a n
Holding	o l d i N
Hudicial	u d i k i a l
Huize	k i z e
Huridico	u r i d i k o
Instancianan	s t a n C i w a n a n
Integracion	t e b o ch~ i o n
Interes	t e r e
Interno	t E r n o
Iron	r o n
Japon	a p o n
Jessica	e s s i k a
Joaquin	o a k i n
Kawaiah	a w a i 3 h
Kennedy	3 n b
Kiwanistico	i w a n i S t  o
Koningin	q o n i N i n
Kranwinkel	r a n %
Lama	a m a
League	E w e a
Lid	s e i
Lion	i o n
Locura	o k u r a
London	d o n
Lorentzstraat	o r e n c s t r a t
Mahestad	m a h e s t a d
Mando	a n d o
Massive	n i i v E
Mesun	e s u n
Monseigneur	o* s e i N n i s u r
Monserat	o s 3 r a t r i
Moringa	u r i Ng~ a
Mucho	u C o
Nathaly	a th~ a l u k
Nature	a t u r e
Nest	e s t
Nota	o t a
Novel	o p e l
Oficialmente	f i i a l m e n t e
Openbare	p e n bh~ a r e
Ordenansa	r d e n a s a
Pabao	a b a o
Padu	a d u
Paloma	a l o m a
Parlamentonan	a r l a m e n t o n a n
Pasaheronan	a s a h e r o n a n
Peter	e t e r
Picanto	i k a nt~ o
Play	l a y
Politica	o l i t i k a
Porta	u r t e
Produccion	r o C u k i o n
Radisson	a d i s o*
Rampenbestrijding	a m p e n b e s t r e d i N
Recupera	e kw~ p e r a
Regis	g i s
Resiliente	e s i l i e n t e
Resorts	e s o r c
Reyes	e y e
Rhuggenaath	h u g g e n a u
Ritmo	i t m o
Roos	o s
Run	u n
Saladin	a l a d i n
Scoop	k o o p
Sexual	" u a l
Signs	i N n i
Siguientemente	i g i n t E m E n t e
Silva	i l a a
Smartphone	m a* r t f o n e
Snor	n o r
Society	T i e t
Staatsregeling	t a c r e  l i N
Stella	t e l a
Superfood	u p e r f o d
Titular	i t u l a r
Trupialen	n i n i a l e n
Turkia	u r k i a
Ultimamente	l t i m a m e n t e
Unidadnan	n i d a d n a n
Up	p
Vehiculo	e h i k u l o
Vis	i s
Webb	e b
Wiki	i k i
Wyatt	y a t
accesibilidad	a k k b i l i d a d
acercando	a C E r k a n d o
acta	a k t a
adaptando	a d a p t a n d o
admiracion	a d m i r a i o n
agradeci	a g r a d e k i
ahustacionnan	a h u s t a k i o n n a n
alcanza	a l k a n c a
alegra	a l e 7 r a
alergia	a l e r g i a
algu	a l g u
altezza	a l t e z c a
ampliamente	a m p l i a m e n t e
an	a n
asintomatico	a s i n t o m a t  o
asistente	a s i s t e n t e
astronomico	a s t r o n o m i  o
atrapa	a t r a p a
atribui	a t r i b u i
autoriza	a u t o r i c a
avancenan	m a v a n C E n a n
ayo	a y o
balanan	b a l a n a n
baldadi	b a l d a d i
balia	b a l i a
bankroet	b a n k r o e t
barrio	b a r o
behes	b e h e s
bestel	b e s t e l
bestuurskantoor	b e s t u r s k a n t o o r
bingo	b i Ng~ o
blaas	b l a
boternan	b o t E r n a n
bril	b r i l
buena	b u e n a
buraconan	b u r a k o n a n
cabuya	k a b u y a
canabis	k a n a b i s
cansancio	k i s a* i o
carchinan	k i r h i n a n
care	k a r e
catastrofe	k a t a s t r o f e
causante	k a u s a n t e
cayendo	k a y e n d o
cerando	C E r a n d o
certamen	C E r t a m e n
certidumbre	C E r t i d u mb~ r e
cine	T i n e
claim	k l a i m
clasificacion	k l a s  k a i o n
comestible	k o m e s t i b l e
complementa	k o m p l E m E n t a
composicion	k o m p o s i i o n
conferencianan	r o n f m i n C i w a n a n
conforma	r o n h m a
consequencia	r o n s k i n C i w a
consultanan	r o n r e p e n t a n a n
consumi	k o s u m i
contradictorio	r o n t r i w C i t o r i o
coordinadornan	k o r d i n a d o r n a n
cordialmente	k o r dy~ a l m e n t e
corolla	k o r o ly~ a
creditornan	k r e d i t o r n a n
criminalnan	k l i m i n a l
cuando	k u a n d o
cumpre	k u m p r e
curiculo	k u r i k u l o
dao	d a o
decisivo	d e 7 i s i b o
desaroyadornan	d e s e r o y a d o r n a n
desaroyando	d e s e r o y a n d o
diciplina	d i k i p l i n a
digitalizacion	d i g i t a l i n n d r o i o n
dimas	d i m a s
dinamismo	d i n a m i s m o
diputado	d i p u t a d o
dominio	b i n i o
drempel	d r e N p e l
economisa	e k o n o m i s a
ekivalente	e k i v a l e n t e
embarazo	e m b a l i m a l o
emisora	e m i s o r a
empeño	3 mp~ y u* k a* o
empleada	3 mp~ l e a d a
enfermo	e n f e r m o
entendimento	e n t e n d i m e n t o
escalacion	e s k a l a i o n
escohi	e s k o h i
escritor	e s k r i t o r
estadistica	e s t a d i s t i k a
estadisticanan	e s t a d i s t i k a n a n
eta	e t a
eventualidad	p i r 3 n t u a l i d a d
examennan	" a m e n
exigente	" i g 3 n t e
extranhero	" tr~ a h e r o
f	f
fayecidonan	f a y o j i d o n a n
figuranan	f i g u r a n a n
finalisacion	f i n a l i s a k i o n
fini	f i n i
flota	f l o t a
fotografianan	f o t o g r a f i a n a n
freezer	f h r e 8 e
fundador	f u n d a d o r
gedoogbeleid	g e d o gb~ e l e i d
genetico	g e n e t  o
gerente	g e r e n t e
graduacion	g r a d u a i o n
graduadonan	g r a d u a d o n a n
habla	h a b l a
hazaña	t r o n d r o 5 a
hospice	h o s p i k e
hungadornan	h u N a d o r n a n
iglesia	i g l e s i a
impactante	i m p a k t a n t e
incidentenan	m a i d e n t e n a n
indicador	i n d i k a d o r
infeccioso	i n f k i o s o
inhumano	L u
inhusticia	L u s t i i a
instiga	s t i g a
integrantenan	i n t e g r a n t e n a n
intensiva	i n t e n k u b a
kentel	k e nt~
kies	k i e
lachi	l a C i
landspakket	l a n d s l o k e t
larga	l a r g a
lid	l i d
malisimo	m a l i s i m o
maltratando	m a l tr~ a t a n d o
margen	m a* r g 3 n
mashinnan	S i n t i
mediador	m e dy~ a d o r
meer	m e e r
menasanan	m E n a s a n a n
menase	m E n a s e
miembrecia	m i e mb~ r E c i a
miya	m i y a
moda	m o d a
modo	m o t o
monumental	m o n u m e n t a l
motornan	m u t u r n a n
multanan	l t a n a n
nek	i k
nieto	n i e t o
nietonan	n i e t o n a n
night	n E i t
obstaculonan	o b s t a k u l o n a n
occasion	T k a s i o n
orador	o r a d o r
oral	o r a l
organizando	u r g a n i r o n d o
pagado	p a x a d o
parhanan	p a r a n a n
pasivo	p a s i b o
patronchi	p a t r o n C i h
pedofilia	p e 8 r o f u k a C i a
penoso	p e n o s o
planes	p l a y i n i
platonan	p l a y i t o n a n
populista	p o p u l i s t a
porvenir	p o r f e n i r
pre	p r e
preferiblemente	p r e f e r i b l E m E n t e
preisnan	p r e i s n a n
presidi	p r e s i d i
primeramente	p r i *  e n t e
project	p t o n o x e k s
protehe	p r o t e e
racha	r a C a
raportahe	r a p o r t a e
raro	r a r o
refresco	r e f r e s k o
remarka	r E m a r
restringi	r e s t r b i N i
risiconan	r i s i k o n a n
saconan	s a k o n a n
salo	s a l o
sangrando	s a n g r a n d o
sanitizers	s a n i t i r i ly~
sclama	s k l a m a
seca	e n i n
separadamente	s e p a r a d a m e n t e
setup	s e t u p
sinceridad	s i n z i r i d a d
skeiro	s k e i r o
specialismo	s p e k i a l i s m o
sponsornan	s p o Th~ o r n a n
sportage	s p o r t a j
steun	s t e u n
strobando	s t r o b a n d o
subidanan	s u b i d a n a n
sugerencianan	s u g e r e n C i w a n a n
suppose	s u p p o s e
tactica	t a k t i k a
talentonan	t a l e n t o n a n
tasnan	t a s n a n
teamnan	t e a m n a n
terapia	t e r a p i a
tercel	t e r
teror	t E r o r
terorismo	t E r o r i s m o
tesis	t e s i s
thru	t r u
tim	t i m
tirando	t i r a n d o
toets	t o e c
toezicht	t o e z i t
tracing	tr~ a c i N
trafica	tr~ a f i k a
transferencianan	i t r i s f m i n C i w a n a n
triunfo	t r e u n f o
tsunami	c u n a m i
tubo	t u b o
uit	u i
uitkering	k i t k e r i N
unanime	u n a n i m e
unilateral	u n i l a t e r a l
universidadnan	u n i v e r i d a d n a n
variante	v a r i a n t e
variedad	v a r i e d a d
virtualmente	v i r t u a l m e n t e
vitrina	v i t r i n a
voorzitter	v o L i t t e r
zodiacal	z o dy~ a k a l
zomaar	m a q 3 a r
zonanan	z o n a n a n
zoom	t a* N m
zwaailicht	z w a i l i t
Acto	k t o
Adriaan	d r i a
Africa	f r i k a
Agencia	g e n C i w a
Airbus	i r b u s
Alarma	l a r m a
Anochi	n o C i
Astrid	s t r i d
Aumento	u m e n t o
Award	w a r d
Aworo	w o r o
Ayo	r o x
Belasting	e l a s t i N
Bermudez	e r m u d e z
Biezen	i e z a n
Bolivar	o l i v a r
Boroncana	o r o n k a n a
Boto	o t o
Branch	r a n C
Carlo	a r l o
Casinonan	a s i n o n a n
Cayman	a i m a n
Centrum	e n t r u m
Chito	h i t o
Ciudadanonan	i u d a d a n o n a n
Company	p a n
Conclusion	n k l u z e o n
Conducta	d u k t a
Corporation	u r p o r a t i o n 3
Cuatro	u a t r o
Customer	u s t o m e r
Dance	5 u k a e
Davelaar	E b e l a r
Defensie	e f e ns~ i e
Deposit	a p o s i t
Dimas	i m a s
DirecTV	i r e k
Dunado	u n a d o
Elizabeth	l i r o t
Energia	n e r g i a
Enfermeria	n f s a y m 3 r i a
Enid	n i d
Entretanto	t r e t a n t o
Eseynan	s e y n a n
Facultad	a k u l t a d
Family	a m i l
Farro	a r o
Fatum	a t u m
Fijo	c o
Financiën	s a m i a n
Full	u l o
Fund	u n d
Gasoline	a s o l i n e
Generalmente	e n e r a l m e n t e
Gino	i n o
Gloria	l o r i a
Gold	o l
Gouverneur	o u e r S u r
Hand	a n d
Harms	a r m
Hassell	n i e l o
Hepple	a p p l e
Hofi	o f i
Hoge	o g e
Holiday	o l i d a y
Hot	o t
Hugo	u g o
Incluso	n u X a l u s o
Innovation	a n n o w a t i o n 3
Integrity	t e g r i t u s
Israel	s u r u
Jean	e
Jimenez	i m E n e z
Justicia	u s t i i a
Kamay	a m a
Katholiek	a th~ o l i e k
Kaya	a y a
Kayak	a y a k
Kooyman	o i m a n
Lantamento	a nt~ a e n t o
Leoncita	e o n C i w a
Loves	o p e
Luanne	u a n e
Luenne	u n e
Malesanan	a l e s a n a n
Maris	a r i s
Maritimo	a r i t i m o
Mavo	a b o
Meneer	i n i e r
Mesa	e s a
Millennials	i l l 3 n a d
Milo	i l o
MiniMega	i n i e g a
Mobile	o b i l e
Monica	q o n i k a
Monuments	n u m e n c
Nacion	a c i o n
Negoshi	e g o S
Newark	e w a r
Organisacionnan	r g a n i s a i o* n a n
Oriente	r i e n t e
Pan	a n
Papaya	a p a y a
Party	i t
Pashent	a S o
Passions	n i i o* s
Pier	i e r
Pieters	i e t e r
Pietersz	i e t e r
Poder	o d e r
Principalmente	r i n k i p a l m e n t e
Productonan	r o C u k t o n a n
Públiko	u b l i k o
Ranger	a N e r
Reglanan	g l a n a n
Representante	a p r e s e n t a n t e
Rescate	e s k a t e
Restaurantnan	e s t a u r a nt~ n a n
Retiro	e t i r o
Rina	i n a
Riu	i u
Roma	o m a
Roza	o y a 7
Samsung	a m s u N
Sanchez	5 u k u n C i
Sasaki	a s a k i
Seco	e k o
Shanayah	h a n a 8 a x a
Shariska	h a r i s k a
Softball	o f t b o l
Spearfishing	p e a r f i S i N
Sportsubsidie	p o r c u b i d i e
Star	t a r
Strategico	tr~ a t e g i k o
Suites	k i t e
Texas	" 3 s
Thornton	h o r n t o n
Timeshare	i S a r e
Utrecht	t r e t
Vallejo	a l j o
Virma	i r m a
Visitor	i s i t o r
Vivienda	i v i e n d a
Voetbal	o e t b a l
Welcome	e l k o m e
Wheels	h e l
William	i ly~ i a m
Wilmer	i l a m e
Wim	i m
Wingo	i Ng~ o
Yen	e n
Zeeland	e l a n d
aanwijzing	a n w i j 5
abierto	a b i e r t o
abusadornan	a b u s a d o r n a n
accionan	a k i o n a n
acomodacionnan	a k o m o d a i o* n a n
acontecimento	a k o n t e k i m e n t o
acostumbrado	a k o s t u mb~ r a d o
actornan	a k t o r n a n
adress	a d r e s
advertencianan	a d e r i a n a n
afilia	a f i l i a
afortuna	a h t u n a
afspraaknan	a f s p r a k n a n
alinea	a l i n e a
amante	a m a n t e
amargo	a m a r g o
amputacion	a m p u t a i o n
ana	a n a
anos	a n o s
aportando	a p o r t a n d o
appel	a p p e l
as	a s
aspira	a s p i r a
atraconan	a t r a k o n a n
aunque	a u n kw~ i
ausente	a u s e n t e
automatisacion	a u t o m a t i s a k i o n
aveo	E b e o
avioneta	a b i o n e t a
away	a w a y
ba	b a
bachi	b a C i
background	b a k k g r o u nd~
banana	b a n a n a
banki	b a n k i
bankinan	b a n u ly~ o
bilingual	b i l i N u a l
bocht	b o t
bondad	b o n d a d
bora	b o r a
boroto	b o r o t o
boton	b o t o n
brainstorming	b r a s t o r m i N
brake	b r a k e
briyante	b r i y a n t e
cabesantenan	k a b e s a n t e n a n
cadaver	k a d a v e r i
canasta	k a n a s t a
caotico	k a o t  o
caracteristica	k a r a k t E r i s t i k a
carnet	k a r n
cashier	k a s i e r
casinonan	k a s i n o n a n
cea	C E a
chikitonan	c " i k i t o n a n
circo	l r o
clarificacion	k l a r i f i k a i o n
clausula	k l a u s u l a
climatico	k l i m a t  o
codering	k o d i n i N
colaboradornan	k o l 3 b u a o r a d o r n a n
compacto	k o mp~ a k t o
comprendible	k o m p r e n d i b l e
condenabel	r o n d e n a b e l
conociendo	r o n o k i e n d o
conscientemente	r o n S e e n t E m E n t e
consehabel	r o n c e h a b e l
consequencianan	r o n s k i n C i w a n a n
contrincante	r o n t r i n k a n t e
convivencia	r o n v i v i n C i w a
cordial	k o r dy~ a l
coreccion	k o r e k i o n
corrupcion	k o r k i n i o n
costumbra	k o s t u mb~ r a
crypto	k cy~ p t o
cubico	k u b i k o
cuminzamento	k u m i n z a m e n t o
cumprado	k u m p r a d o
debilidad	d e b i l i d a d
decepciona	d e 7 e p i o n a
deliberando	d e l i b e r a n d o
desafionan	d e s a f i o n a n
desagradable	d e s a g r a d a b l e
desaprobacion	d e s a p r o b a i o n
desconocinan	d e s k o n o C i w
descubrimento	d e s k u b l i m e n t o
descuido	d e s k u i d o
desicionnan	d e s i i o* n a n
desk	d e s k
destructivo	d e s t r u k t i b o
deteriora	d e t e r i o r a
deterioro	d e t e r i o r o
dictadura	d i k t a d u r a
direcion	d i r E c i o n
distancing	d i s t a n C i i N
dobla	d o b l a k
du	d u
ecologico	e k o l o g i k o
emailadres	l e m a l i l a d r e
encuestion	e n kw~ e s t i o n 3
enfermera	e n f e r *
entiteit	e n t i t a i
essencial	e s  i n C i w a l
excepto	" u p t o
exepcion	" e p i o n
exihi	" i 7 i
experiencianan	" p e r i n C i w a n a n
expertisio	" p e r t i s i o
explicitamente	" p l i k i t a m e n t e
eyriba	e y r i b a
factibel	f a k t i b e l
fenomenal	f e n o m E n a l
flaco	f l a  o
frecuenta	f r e kw~ e nt~ a
fumiga	l i m i g a
furioso	f u r i o s o
fuseer	f u s E r e
grandioso	g r a nd~ i o s o
ham	h a m
hanchi	h a n C i
hardware	h a r d w a r e
holoshi	h o l o S
horcannan	h o r k a* n a n
hortamento	h o r t a m e n t o
hortando	h o r t a n d o
humamento	h u m a m e n t o
hungador	h u N a d o r
huramento	h u r a m e n t o
husga	h u s g a
hygiene	h i i e n e
ijs	g i y
impulsa	i m p u l s a
inaugural	i n a u g u r a l
incidental	m a i d e n t a l
insecticida	s e k 7 o t i k i d a
insistencia	s i s t i n C i w a
iregularidad	i r e g u l a r i d a d
jingle	h i N l e
judicial	x u d i k i a l
juf	x u f
juffrouwnan	x u f r o u w n a n
kabel	k a b e l
kantidat	k a n t i d a t
kens	k e n
kual	k u a l
lantando	l a n t a n d o
lapso	l a p s o
lastima	l a s t i m a
lease	l E s d e
leiding	L e i d i N
lesion	l e s i o n
libra	b r a
limpia	l i m p i a
links	l i n k
luchador	l u C a d o r
lunch	l u n C i
maligno	m a l i g n o
manehador	m a n e h a d o r
manifestante	n i f i S t a n t e
mano	n o
mantenimento	m a n t e n i m e n t o
marina	m a r i n a
masalmente	m a s a l m e n t e
mastanto	s t a n t o
materianan	m a t e r i a n a n
mediacion	m e dy~ a i o n
mediconan	m e d i k o n a n
mehorando	m e h o r a n d o
men	m e n
menasando	m E n a s a n d o
mescla	m e s k l a
misanan	m i s a n a n
molinanan	o l i n a n a n
mondkapjes	m o n d a  ph~ i
muestranan	m u e s t r a n a n
murayanan	m u r a y a n a n
new	n i a
news	n e 3
niester	n i e s t e r e n
nominado	n o m i n a d o
nucleo	n u k l e o
numeroso	n u m e r o s o
nutricion	n u i cy~ i o n
ocupantenan	o k u p a n t e n a n
ook	o k
open	o p e n
oponente	o p o n e n t e
oradornan	o r a d o r n a n
organisadornan	u r g a n i s a d o r n a n
pabo	p a b o
paradero	p a r a d e r o
payaso	p a y a s o
pedagogico	p E d a g o g i k o
peligernan	p e l i g E a n a n
penetracion	p e n e t r a i o n
pertenencia	p e r t e n i n C i w a
pesei	p e 7 e s
piscador	p i s k i s  o r
piscina	p i s k i s  i n a
planeando	p l a y i S a n d o
planning	p a nz~ n i N
ploeg	p l a l i o g
plussers	p l u s e r
pomp	p o m p
pornada	p o r n a d a
postkantoor	p o s t k a n t o o r
precis	p r E c i s
preocupacionan	p r e o k u p a k i o n a n
presonan	p r e s o n a n
privilegio	p r i v i l e g i o
probabilidad	p l o b a b i l i d a d
profesor	p r o f i S o r
professional	p r o f e s s i o n a l
program	p r o g r a m
protega	p r o t e g a
provincia	p r o v i n C i w a
rasonnan	r a s o n n a n
ratifica	r a ty~  k a
rebiba	r e  b a
recept	r E C E p E
refuerso	r E pw~ e r s o
refugiadonan	r e f u g w a d o n a n
rehabilitacion	r e h a b i l i t a i o n
republica	r e p u b l i k a
resistente	r e s i s t e n t e
respiracion	r e s p i r a i o n
respuesta	r e s p u e s t a
reunionan	r e u n i o n a n
ridiculo	r i d i k u l o
riesga	e s g a
rifnan	r i b u Ng~ n a n
rijnan	r u t i
risibí	s i b i
roga	r o g a
romantico	r o m a n t i k o
ronda	r o n d a
rondo	r o n d o
rumornan	r u m o r n a n
salarial	s a l a r i a l
salon	s a l o n
satisfactorio	s a t i s f a k t o r i o
scuchando	s k u C a n d o
secrecia	s e k r E c i a
secura	s e k u r a
seguramente	s e g u r a m e n t e
servisio	s e r i s i o
shift	S i f
siguramente	s i g u r a m e n t e
simbolonan	s i m b o l o n a n
simultaneamente	S i m u l t a n e a m e n t e
sinceramente	s i n u r a m e n t e
site	s i t e
situation	s i t u a t i o n 3
sobrepeso	s o b r e p e s o
solicitante	s o l i k i t a n t e
sostenedornan	s o s t e n e d o r n a n
soña	s w a
spiritual	s p i r i t u s a l
sport	s p o r
spula	s p u l a
stacion	s t a k i o n
sterilisa	S t E r i l i s a
store	s t o r e
strategianan	s t r a t e g i a n a n
structuralmente	s t r u k t u r a l m e n t e
substancianan	s u b s t a n C i w a n a n
talves	t a l e
tardanza	t a r d a n c a
tembla	t e mb~ l a
timeshare	t i S a r e
tombola	t o mb~ o l a
traicion	tr~ a w C i w r o n
tratamentonan	tr~ a t a m e n t o n a n
triage	t r i a g e
tumba	t u* b E
tume	t u
unidat	u n i d a t
upgrade	u p b o ch~ d e
ventilacion	f e n t i l a i o n
verboden	e r b o d e n
versus	e r u s
vet	f e d
vice	v i k e
voucher	v o u C e r
werksternan	w e r k S t E r n a n
wèpsait	wa  p s a i t
ziek	z i e k
zundra	z u n d r a
