ve 	v e
Laboratory	a b o r a t o r
Larson	a r S o n
Ledger	p i e d g e r
Level	u s k u
Lex	Z i 7
Liber	i b e r
Liberya	i b e r y a
Lisesini	a s s i n i
Liv	i
Lives	Ng~ e r e
Local	o k a l
Lodge	o d g e
Loeb	o e
Logo	o g o
Lokomotif	o k o m o t i f
Lutz	u c
MacBook	a k o
Mafia	a f i a
Magda	y d a
Malzemenin	a l z E m E n i n
Mara	a r a
Marek	a r e k
Markisi	a r k i s i
Mavericks	E b e r i S k
Mayk	a y
McKay	k a y
Meliki	e l i k i
Melodifestivalen	e l o d i f i S t i v a l e n
Memati	e m a t i
Merdiven	e r d i v e n
Merhum	e r u m
Merkezinin	e r k e z i n i n
Metodist	e t o d i s
Metz	e c
Mevsim	p i r s i m
Mezuniyetinin	d u n i y e t i n i n
Mihai	i a i
Miliç	i l i
Milliyetçilik	i ly~ i y e t i l i k
Mister	i s t e r e n
Mobilya	o b i ly~ a
Monty	o t
Mordovya	u r d o v y a
Muhalif	a h a l i f
Muhyiddin	y i d i n
Must	u s
Mübadele	3 b a d e l e
Müftü	3 f t u*
Münir	i i r
Müzikte	3 z i k t e
Nahit	a h i t
Nankin	a n k i n
Nara	a r a
Nazar	l a u k a r
Nazmi	a z m i
Necla	e k l a
Necmi	e T m i
Nedir	e d i r
Nefise	e f i s e
Nichols	i C o l
Nights	i t
Nikita	i k i t a
Nilsson	i l s o*
Niyet	i y e t
Nuriye	u r i y e
Oceanic	C E a n i k
Octavianus	k t a b i a n u s
Okçuluk	k u l u g i t
Onay	n a y
Ordudan	r d u d a n
Otho	t h o
Otizm	t i z m
Panda	a n d a
Paralı	a r a l 3 k
Parçada	a r a d a
Perakende	e r a k e n d e
Petr	a t 3 r
Peygamberi	b g a m b e r i
Phocas	h o k a s
Photo	h o t o
Piso	i s o
Platinum	l a t i n u m
Pokémonu	o k e m o n u
Political	o l i t i k a l
Politics	o l i t i k s
Pompeius	i m p e i u s
Pony	5
Prospero	r o s p e r o
Protesto	r o t e s t o
Prömiyer	r o m i y e r
Rainer	a i n 3 q
Rasyonel	a s o n e l
Raul	a u l
Razor	a z o r
Ricci	i kh~  i
Rogue	o g
Rudolph	u d o l p
Rukia	u k i a
Rumları	u m  k
Safevî	a f e b
Sahnenin	a h n e n i n
Sakallı	a k a l l 3 k
Salonun	a l o n u n
Sant	a n c
Savcılık	a b k u l u
Sayan	a y a n
Scarlett	k a l e t
Scene	C E n E
Schindler	C i d l e r
Scotland	k o a nz~ i
Scottish	 o th~ i S
Seferine	e f e r i n e
Sektör	e k h a r
Selami	e l a m i
Senaryosunu	e n a r o s u n u
Shang	a h a N
Shaun	h a u n
Shazam	h a z a ndr$ a m
Sheen	h e n
Silence	i l a n C i e
Silvia	i l a i a
Sinagog	i n a g o
Sind	i n d
Sinematik	i n e m a t i k
Sinematografi	i n e m a t o g r a f i
Siyasete	i y a s e t e
Siyavuş	i y a b u S
Slavların	l a v  3 n
Slytherin	l i t h i n i n
Sohum	h u m
Soldaki	o l d a k i
Soru	u r u
Soviet	o v i e t
Spartaküs	p e r t a k 3
Spider	p i d e r
Splash	p l a y i S
Split	p l i t
Stad	t a d
Steiner	t e i t n~ e r
Study	t u d
Suluova	u l u o v a
Sumatra	u m a t r a
Sutopu	u t o p u
Sámi	a m i
Sürahi	3 r a h i
Sıhhiye	u i y e
Sırtında	u r t u nd~ a
Tail	i t
Tanım	n  m
Taraftarlar	a r a f t a l a r
Taraklı	a r a k l 3 k
Tatarların	E t E d i t  3 n
Tatort	a t u r
Teenage	e n a g e
Tekerlekli	e k e r l e k l i
Telsiz	e l i t e
Teorem	e o r e m
Tezcan	d k a n
Tha	s i
Tirol	i r o l
Toplar	o p l a r
Track	r a k
Trend	r e n d
Treo	r E o
Troll	r o l o
Tula	u l a
Turk	u r
Tuğtekin	u X t e k i N
Tüccar	i k a r k a r
Tünelin	i e l i n
Türker	3 r k a r
Tırmanma	u r m a n m a
Ufa	f a
Umbrella	mb~ r i L a
Uncle	n u X a l e
Uras	r a s
Utrecht	t r e t
Uygulamanın	y g u l o m o n  n
Uzunlukları	z u n l u k  k
Uçağı	o X k
Vahtang	a k i a N
Verde	e r d e
Versiyon	e r  o n
Vizyon	i r o n
Vokalist	o k a l i s
Vücutta	k 3  t t a
Waltz	a l c
Weaver	e a v e r i
Wien	i e n
Wigan	i g a n
Williamson	i ly~ i m o*
Willy	i ly~
Wish	i S
Witch	i t
Witt	i t
Woodward	d w a r d
Worlds	u r l d
Xu	u
Yabancılar	a b " 3 n C i u l a r
Yabgu	a b " x u
Yahuda	a h u d a
Yahudilerine	a h u d i l e r i n e
Yanal	a n a l
Yapıda	a p u d a
Yargıcı	a r g u k k
Yates	a t e
Yaya	a y a
Yazıların	a z u l a r 3 n
Yenilik	e n i l i k
Yeniçeriler	e n i e r e l e r
Yes	m 3 s
Yeteneği	e t e n e X i
Yeterince	e t e r i n k e
Yeşilçam	e S i l a m
Yorker	u r X e r
Yürüyen	3 a s e n
Yüzüncü	3 z 3 nC~ 3
Yılları	u l l a r k
Zane	a n e
Zihni	i n i
adalarından	a d a l a r u nd~ a n
adaletli	a d a l 3 t l i
adasından	a d a s u nd~ a n
adlandırılmasına	a d e L o n d 3 r u l s u n a
adlandırılırdı	a d e L o n d 3 r u l u r d 3
adresinden	a d r e s i n d e n
adresinin	a d r e s i n i n
adımdı	a d 3 m d 3
affetti	a f f e t i
ailedeki	i l e d e k i
akciğerler	a k i X r xy~ E kw~ e r
akifer	a k i f u e r
aklının	a k l 3 k n  n
akmasına	a k s u n a
akrabalığı	a k r a b a l 3 k X k
akrilik	a k r i l i k
akrobasi	a k l o b a s i
aksam	a k s a m
aksanıyla	a k s n  y l a
aktivitelerde	a k t p i t e u k a l a d e
aküler	a k 3 l e r
akımdır	a k u m d 3 r
alabilmiştir	a l a b i l m i S t i r
alayına	a l a y u n a
albümdü	a l b m 3 d 3
albümlerle	a l b m 3 l e r l e
alel	p
alfabesinden	a l f a b e s i n d e n
algılaması	a l k u l a m a k k
algılanmaktadır	a l k u l a* a d 3 r
algısının	a l k u s u n  n
alp	a l p
altyapıdan	a l T a p u d a n
altyapıyı	a l T a p u y u
altısını	a l t u s u n
alüminyumdan	a l 3 m i n u m d a n
alınabilen	o l u n a b i l e n
alınabilmesi	o l u n a b i l m e s i
alınmasıdır	o l u n s u d 3 r
alınırdı	o l u n  r d 3
alışkanlıklarını	o l u S  l 3 k k  u n
alışmış	o l u S m u S
alışıldık	o l u S u l d u
amacından	a m a k u nd~ a n
ameliyatla	a m e l i y a t l a
amin	a m i n
amp	a m p
anahtarlı	a n a k i a X l u k
anarşistler	a n a r S i s t l e r
androjen	a n c e n
anlamakta	a n  w t a
anlarını	a n  u n
anlarız	a n  u z
anlatılmış	a n l a t u l m u S
anlatıp	a n l a t u p
anlaşmalara	a n l o S b e r m a l a r a
anlıyor	a n l 3 k n i o z i
anomaliler	a n u m o l i l e r
ansiklopedik	a n i k o p e d i k
antenler	a n t e n l e r
antenleri	a n t e n l e r i
anılarından	n   u nd~ a n
aort	a o r
arabirim	a r a b i r i m a
araştırılmış	a r a S t u r u l m u S
araştırılır	a r a S t u r u l u r
arkalarından	a r k a l a r u nd~ a n
arp	a r p
artist	i t i s
artınca	i t u C a
artırıcı	i t u r u k k
artırılır	i t u r u l u r
arınma	a r u n m a
asbest	a s % s a m a
asfalttır	a s f a l t u r
asitle	a s i
askerdi	a s k e r d i
askerliği	a s k e r l i X i
aslanların	a s l a*  3 n
asrın	a s r 3 n
astar	a s t a r
astı	a s t k
atanmasıyla	a t a n m a s u y l a
atasözleri	a t a s o 3 z l e r i
atlamıştır	a t l a m u S t u r
atlatan	a t l a t a n
atletlerin	a L e  i n i n
atmasını	a t s u n
atıldılar	a t u l d u l a r
avlarlar	a b l a l a r
avukatın	a b u k a t 3 n
ayaklarıyla	a y a q  u y l a
aydınlatan	a y d 3 n l a t a n
aydınlatmalı	a y d 3 n l a t m o l u
ayetler	a y e t l e r
aylağı	a y l o X k
aynadan	a  3 s 3 r 3
ayran	a y r i
ayrıcalıklarını	a y r u k a l 3 k k  u n
ayrılacağı	a y r u l a k o X k
ayrılmaları	a y r u l m o l o r k
ayrılırdı	a y r u l u r d 3
ayrımına	a y r u m u n a
ayırırlar	a y u r u l a r
azalmasından	t r o l s u nd~ a n
azalsa	t r o l s a
azaltmakta	t r o l t m a k t a
azaltılır	t r o l t u l u r
azat	l a u k a t
azimli	a z i N l i
açılmadan	a u l d a n
açılmasında	a u l s u nd~ a
açılıyor	a u l u n i o z i
ağacını	o X a k u n
ağrının	o X r u n  n
ağzındaki	o X z u nd~ a k i
ağzıyla	o X z u y l a
ağırladı	o X u l a d 3
aşikar	o S i k a r
aşirete	o S i r e t e
aşçılık	o S u l u
aşınır	o S u n  r
babalar	b a b a l a r
babalarını	b a b a l a r u n
bahşın	b a h S 3 n
bakalım	b o k o l u m
bakımlı	b a k u m l 3 k
bakışla	b a k u S
balonu	b a l o n u
barkod	b a r k o d
barmen	b a r m e n
barutu	b a r u t u
barın	b a r 3 n
barındırabilir	b a r u n d 3 r a b i l i r
batışı	b a t u S k
bayrakta	b a y r a k t a
bayrağına	b a y r o X u n a
bağlamaya	b o X l a m a y a
bağışları	b o X u S  k
bağışıklığı	b o X u S u k l 3 k X k
başarabilen	b o S a r a b i l e n
başat	b o S a t
başkanlarını	b o S   u n
başkentinin	b o S k 3 n t i n i n
başladıklarını	b o S l a d 3 k  u n
başlamasında	b a S  s u nd~ a
başlatmıştı	b a S  t m u S t k
başvurularını	b o S   u n
beat	b a
becerilere	b e z i r i l e r e
bekledikten	b e k l e d i k t e n
beklenebilir	b e k l e n e b i l i r
bekliyoruz	b e k l i y o r o  u
belgesele	b e l g 3 s e l e
belirlediler	b e l i l l e d i l e r
belirlenemeyen	b e l i l l e n i m e y e n
belirsizdi	b e l i l s i z d i
belirtilmemiş	b e l i r t i l y o g o S
belirtilmişti	b e l i r t i l m i S t e
belirtip	b e l i r t i p a
benzemekte	b e n z e m e k t e
benzemez	b e n z e m e z
benzerdi	b e n z e r d i
beraberlikleri	b E r a b e r l i k l e r i
bestecidir	b e s t o i n e kw~ i d i r
betimlemesi	b e t i m l e m e s i
bildirileri	b i l d i r i l e r i
bileşene	b i l e S e n e
bileşenini	b i l e S e n i n i
bilgilendirir	b i l g i l e n d i r i r
bilgisayarlardan	b i l g i s a y a l a r d a n
bilgisayarlarına	b i l g i s a y a l a r u n a
bilimcilerin	b i l i m i l e r i n
binalarla	b i n a l a l a
binom	b i n o m
birimiyle	b i r i m i y l e
birimleriyle	b i r i m l e r i y l e
birliktelikleri	b 3 r l i k t e l i k l e r i
bitişiktir	b i t i S i k m 3 t i r
biyolojisi	b i y o l o h i s i
biyomedikal	b i y o m e d i k a l
biyopsi	b i y o p s i
bodrumunda	b o d r u m u n d a
borcunun	b o r k u n u n
borda	b o r d a
borçlunun	b o r l u n u n
boyadı	b o y a d 3
boylar	b o y l a r
boyutların	b o y u tL~ a X n a 3 n
boyutlarındaki	b o y u tL~ a X n a u nd~ a k i
bozmuştur	b o z m u S t u r
bozularak	b o z u l a r a
bozulduğunda	b o z u l d u X u n d a
bozulmuştu	b o z u l m u S t u
boğanın	b o X o n  n
boşalması	b o S a l s k
boşalmış	b o S a l m u S
boşlukların	b o S  b l a r 3 n
boşluktaki	b o S  a k i
bulamadılar	b u l a m a d 3 l a r
bulamazlar	b u l a m a z l a r
bulmakla	b u l m o k l a
bulmalarını	b u l m o l o r u n
bulundururlar	b u l u nd~ l a r
bulunmalarına	b u l u n m a r  u n a
buluntulardan	b u l u n t u l a r d a n
bulunuyorlardı	b u l u n u y o r  d 3
buluşmayı	b u l u S m a y u
burasını	b u r a s u n
burasının	b u r a s u n  n
buyurdu	b u y u r d u
buzullaşma	b u z u l l o S m a
böceklerle	b u w o u k l e r l e
bölündüğü	b u w o 3 3 nd~ 3 X 3
bülten	b l t e n
büyüklüğünden	b u m v 3 k 3 3 X 3 nd~ e n
büyümeden	b u y m 3 e d e n
bırakılırsa	b u r a k u l u s a
bırakınca	b u r a k u C a
bıçağın	b u o X 3 n
caiz	k a i z
camilerin	k a m i l e r i n
canlandıracağı	k a* l a n d 3 r a k o X k
canlanmasına	k a* a nz~ s u n a
canları	k a*  k
casuslar	k a s u s l a r
cehennemi	k e h e m m i
cepheler	C E p E h e l e r
cildinin	i l d i n i n
cisimden	i b u p d e n
corporation	k o r p o r a t i o n 3
dahilindedir	d a h i l i n d e d i r
dairelerinde	d a i r e l e r i d e
dalak	d a l a k
dalan	d a l a n
dalgalara	d a l g a l a r a
dalındaki	d o l u nd~ a k i
das	d a s
davacı	d a v a k k
davranıştır	d a b r o n  S t u r
dayanmayan	d a y a x a n m E n
dayanıksız	d a y a o n  k s u z
dayanılmaz	d a y a o n  l m o
dağılmışlardır	d o X u l m u S  d 3 r
dağılımından	d o X u l u m u nd~ a n
dağılırlar	d o X u l u l a r
dağıtıldığı	d o X u t u l d u X k
debriyaj	d e b r i y a X
dedektörü	d e d e h a a s
dedikten	d e d i k t e n
dehası	d e h a s k
delillerin	d e l i l l e r i n
demokrasisi	d e m o k r a s i s i
denemelere	d e n i m e l e r e
denetlenen	d e n e t l e n e n
denetleyicisi	d e n e t l e y i k i s i
deneyci	d e n e y k i
dengeleyici	i s u r e l e y i C i
denilebilecek	d e n i l e  l e k k
denizcileri	d e n i z i l e r i
denizlerinde	d e n i z l e r i d e
depolarına	d e p o l a r u n a
deresinin	d e r e s i n i n
dergilerini	d e r g i l e r i n i
derinliğinin	d e r i n l i X i n i n
derisinde	d e r i s i n d e
deriyi	d e r i y i
derlenmesi	d e r l e n m e s i
deste	d e s t e
desteklemekte	d e s t a k l e m e k t e
destekleniyordu	d e s t a k l e n i y o r d u
destekten	d e s t a k t e n
destekçilerini	d e s t a k i l e r i n i
devetüyü	d e b e t 3 m v 3
deviren	d e p i t e n e n
devirip	d e v i r i p
devletçe	d e b l e t e
devredilmiş	d e b r e d i l m i S
devriminden	d e b l i m i n d e n
değerlendirmeyi	d e X r xy~ E kw~ e n d i r m e y i
değişip	d e X i S i p
değişmezliği	d e X i S m e z l i X i
değiştirdikten	d e X i S t e o n
dikdörtgenin	d i k d a r t g e n i n
diledikleri	d i l e d i k l e r i
dinleyicilerine	d i n l b a i l e r i n e
direktörleri	d i r e h a l e r i
direnişine	d i r e n i S i n e
direnişçi	d i r e n i S i
direğin	d i r e X i n
dizilere	d i  l e r e
dizilişi	d i z i l i S i
dokuyu	d o k u y u
dolabı	d o l 3 b u a k
dolduğu	d o l d u X u
doluluk	d o l u l u g i t
dolup	d o l u p
donanımda	d o* o n  m d a
donör	d o* o r
dosyalarına	d o s m a r a r u n a
dosyasına	d o s y a s u n a
doğmasını	d o X s u n
doğruca	d o X r u k a
durakları	d u r a q  k
durdurulmasını	d u r d u r u l m o s u n
duvarından	d u b a r u nd~ a n
duygularla	d u y g u l a l a
duyurulur	d u y u r u l u r
döküldü	d k l d 3
dönene	d 3 e n e
döngüyü	d n g u m v 3
dönüşümünün	d 3 3 S m 3 i o N
dövdü	d o v d 3
dünyalarını	d 3 5 a l a r u n
düzeylerinin	d 3 z e y l e r i n i n
düzmece	d 3 z m e k e
düğünleri	d 3 X i l e r i
düğününe	d 3 X i i e
düşünceyle	d 3 S i u y l e
düşürecek	d 3 S 3 r E C E k
düşürmesi	d 3 S 3 s a y m 3 s i
düşürmeyi	d 3 S 3 s a y m 3 i
düşürülmesini	d 3 S 3 r l S i n i
ebeveyni	e b e b e y n i
ebeveynin	e b e b e y n i n
edebilmiştir	e d e b i l m i S t i r
edemediğini	e d e m  X i n i
efsanesinin	i f s a n e s i n i n
ehli	e h l i
ekiyle	r l e
eklediler	e k l e d i l e r
ekvatoral	e k v a t o r a l
elektrodinamik	e l e k tr~ u w
elemelerini	e l e m e l e r i n i
eleştirdiler	e l e S t 3 r d i l e r
eleştirinin	e l e S t i r i n i n
eleştirmiş	e l e S t i r m i S
elmasları	e l s  k
elyazması	E l y z s k
embriyonik	e m b a r i y o n i k
emindir	e m i n d i r
emsalsiz	e m t o s i t e
endokrin	e n d o k n i n
enfeksiyondan	e n f k s i y o n d a n
engellerden	g e l l e r d e n
erdirmiştir	e r d i r m i S t i r
erişiminin	r i S i m i n i n
erkeklerinin	e r k e k l e r i n i n
espriler	e s p r e l e r
ester	3 S t a r
eteklerindeki	e t e k l e r i n d e k i
etiketlenmiş	e t i k e t l e n m i S
etkilenip	e t k i l 3 n i p
etkileyeceğini	e t k i l e y o j e X i n i
etkinlikten	e t k i n l i k t e n
etkisindeki	e t a h i d e k i
etmeksizin	e t k i t e  n
etmemekte	e t y o g o k
etmeyeceği	e t m e y o j e X i
etraflarında	a t 3 r a f  u nd~ a
etsin	 i n
ettirecek	e t i r E C E k
ettirildiği	e t i r i l d i X i
evlenebilmek	p i r l e n e  l w i t a
evlenmelerine	p i r l e n m e l e r i n e
evrelerde	p i r r e l e r d e
evrenler	p i r r e n l e r
evresinden	p i r r e s i n d e n
evriminde	p i r l i m i n d e
eylemdir	b l e m d i r
eylemidir	b l e m i d i r
eğilerek	e X i l e r a
eğilimlidirler	e X i l i m l i d i r l e r
eğilme	e X i l m e
eğimlidir	e X i m l i d i r
eğitilmesi	e X i t i l m e s i
eşcinselliğe	e S k nsw$ i "  X e
fail	f a i l
faktörlerle	f a h a l e r l e
fanları	f a  k
faresi	f a r e s i
fast	f s d a
faşizme	f a S i z m e
federasyonlarda	f e d e r a s o n l a r d a
fenomendir	f e n o m e n d i r
fetal	f e t a l
firmada	f E i r m a d a
firmadır	f E i r m a d 3 r
firmalarından	f E i r m a l a r u nd~ a n
fiziğe	f i L X e
fonların	f o n l a r 3 n
fotoğrafçılar	f o  X r a f u l a r
fotoğrafçılığa	f o  X r a f u l u X a
futbolunu	f u t b o l u n u
fırlatarak	f u l a t a r a
fırlatmak	f u l a t
fırtınanın	f u r t u n  n
fıçı	f u k
galeride	g a l e r i d e
galerileri	g a l e r e l e r i
gastrik	g a s t r i k
gazetecileri	g a z e t e i l e r i
gazetecisi	g a z e t e k i s i
gazlı	g a z l 3 k
gelebilirler	g e l e b i l i l l e r
gelebilmek	g e l e  l w i t a
gelindi	g e l i n d i
gelişiminden	g e l i S i m i n d e n
geliştiricilere	g e l i S t i r i i l e r e
genişledikçe	g e n i S l e d i k e
genişletmeyi	g e n i S l e t m e y i
genişlikleri	g e n i S  k l e r i
genomun	g e n o m u n
geometride	g e o m E t r i d e
gerekenleri	g e r e k 3 n l e r i
gerektir	g e r e k m 3 t i r
gerektiriyor	g e r e k t r i y o r o
gerçekleşirken	g e r e k l e S i r k e n
getirmesine	g e t e s a y m 3 s i n e
getirmişlerdi	g e t i r m i S l e r d i
getirtti	g e t i r t t i
gevreği	g e b a X i
gezdiği	g e z d a i X i
gezer	g e 8 e
gezisinden	g e a i n d e n
gezmek	g e z w i t a
geçebilen	g  e  l e n
geçimi	g  i m i
geçirebilir	g  i r e  l i r
geçiremedi	g  i r E m E d i
geçirilebilir	g  i r i l e b i l i r
geçirmekle	g  i s a y m 3 k l e
geçkin	g  k i n
geçmekle	g  k l e
giderdi	g i d e r d i
giderlerini	g i d i n l e r i n i
girdileri	g i r d i l e r i
girilebilir	g i r i l e b i l i r
gitarları	g i t a l a r k
gizlendiği	g i z l e n d i X i
gizlidir	g i z l i d i r
gizliye	g i z l i y e
glam	g l a m
gospel	g o 8 p e n e l
gut	g u t
göklere	g k l e r e
görevdeyken	g a r E f d e y k e n
görselleştirme	g a r s l 3 l e S t e o m e 7
görülebildiği	g a r k e l e  l d i X i
görünmeden	g a r i m e d e n
görüntülenmektedir	g a r i t 3 l e n k  r
görünüşüne	g a r i 3 S i e
görüşlerinde	g a r 3 S l e r i d e
görüşleriyle	g a r 3 S l e r i y l e
göstergedir	g o s t E r x e d i r
gösterilerden	g o s t E r e l e r d e n
gözlemcileri	g o 3 z l e m i l e r i
gözlemlenmiş	g o 3 z l e m l e n m i S
gözlükleri	g o r L 3 k l e r i
göçmüş	g o m 3 S
göçmüştür	g o m 3 S t a r
gündeminde	N n d e m i n d e
güçlüsü	N l 3 s 3
hacimdeki	h a i l a b k i
hainliği	h a i n l i X i
hakimiyetinden	h a k i m i y e t i n d e n
haklarıyla	h a q  u y l a
halasının	h a l a s u n  n
halatlar	h a l a L a r
halden	h a l d e n
halefleri	h a l e f l e r i
hallerinde	h a l l e r i d e
hamamlar	h a m a m l a r
haneye	h a n e y e
hapishanelerde	h a p i S a n e l e r d e
hapsedilmesi	h a p y o l m e s i
hapsedilmiştir	h a p y o l m i S t i r
hapsinde	h a p s i n d e
hapı	h a p k
harbe	h a r b e
harbi	h a r b i E
harekatı	h a r e k h a k
harflere	h a r f l e r e
haritasına	h a r i t a s u n a
harmanlanmış	h a r a nz~ m u S
harmanlayan	h a r m a n l a y a n
hastalığıdır	h a s t o l u X u d 3 r
hastaneyi	h a s t a n e y i
hatadır	h a t a d 3 r
hatasından	h a t a s u nd~ a n
hatırlanması	h a t u u r a nz~ s k
hayatımın	h a y a t u m 3 n
hayvanlarıyla	h a y v a n  u y l a
hazırladığını	t r o n d u l a d 3 X u n
hazırlamayı	t r o n d u l a m a y u
hazırlanıyor	t r o n d u l o n  n i o z i
hedeflenmiştir	h e d e f l e n m i S t i r
hesaplamalara	h e s a p l o m o l a r a
hesaplanmış	h e s a p a nz~ m u S
heyetinde	h e y e t i n d e
hidrojeni	h i c e n i
hidroliz	h i d r o l i z
hilafet	h i l a f e t
hipofiz	h i p o f i z
hipotezin	h i p o t n k a
hissederler	h i s e d i n l e r
hizmetlisi	h i z * L i s i
hoparlörler	h o p a l a r l e r
hub	h u b
hücumlara	h i k a r u m l a r a
hükmünde	t a 7 i k m 3 nd~ e
hükümdara	t a 7 i k 3 m d a r a
hükümetlerin	t a 7 i k 3 m e t l e r i n
hızlandırma	h u s  l a n d 3 r m a
icabı	i k a b k
iddialarıyla	i d i a l a r u y l a
ihanetini	i h a n e t i n i
ihracı	i h r a k k
ihsan	i h s a n
ihtimalleri	i h t i m a l l e r i
ikincilikle	i k i n k i l i k
ilahiler	i l a h i l e r
ilerlemesinin	i l a l e y a h i n
ilerleyecek	i l a l e y o j k
iletirler	a l  r l e r
ilgiye	i l g i y e
ilişkilendirme	i l i S k i l e n d i r m e
ilişkilerle	i l i S k i l e r l e
ilmik	i l m i k
imalatında	i m o l o tw~ u nd~ a
imkanlar	i m  l a r
imkânlarını	i m k 3  u n
imparatorlukları	i m p a r a t o r l u k  k
implant	i m p nz~ i
incelemelerini	m a e l e m e l e r i n i
indeks	i n d e k
indirgenir	i n d i r g e n i r
indirildiği	i n d i r i l d i X i
infeksiyon	i n f k s i y o n
intravenöz	i n t r a v e n o
inşaatta	i n S a t t a
inşasının	i n S a s u n  n
irtibatı	i r t i b a t k
iskeletini	i s k e l e t i n i
