li 	l i
żagħżagħ	a g a g
żjut	x u t
żżur	u r
Ann	n n
Barokk	a r o k
Bażilika	i l i k a
Bill	i l
Bini	i n i
Bormliż	u r r h a y
Brisbane	r i s b a n e
Call	o l
Categories	a t e g o r i
Cervantes	e r v a n t e
Charmaine	h a r m a i n e
Costa	o s t a
Curran	u r
Da	a
Dari	a r i
Edmond	d m o n d a
Edwards	d w a r d
Elena	l e n a
Ezatt	z a t
Flores	l o r e
Flus	l u s
Ghajn	h a n
Ghandha	h a n d a
Gunner	u n n 3 q
Horsley	u r w t a
Ifhem	f h e m
Inizjattivi	n i z y a t t i b i
Irlandiża	r l a n d i a
Itolbu	t o l b u
Jan	a n
Jaqbel	a q b e l
Jemmen	e m e n
Jieħdu	i e d u
Kandja	a j a
Kapitali	a p i t a l i
Karkariż	a r k a r i
Kavallieri	a b a ly~ i e r i
Laura	a u r a
Lee	e
Leonardu	e o n a r d u
Membership	e m p l a y s i p
Michele	i l a g u r r
Museum	u s e u m
Nagħlaq	y l a q
Nazzarenu	a z z a r e n u
Nikodemu	i k o d e m u
Otto	t t o
Oxford	S h d
Palace	a l a k e
Protestanti	r o t e s t a n t i
Qalulna	a l u L n a n
Renato	e n a t o
Rescue	e s k u e
Ritratt	i t r E t
Ruben	u b e n
Siena	i e n a
Sintendi	i n t e n d i
Solidarjeta	o l i d a r o x e t a
Sophie	o ph~ i e
Sors	u r
Spiċċa	p i a
Suzuki	u z u k i
Toninu	q o n i n u
Uliedi	l i e d i
Vandali	a nd~ a r i
Village	i l l a g e
Volontarji	o l o nt~ a r u
Young	o u N
abbandunaw	a b " b a d u n a w
accettabbli	a k s e t mp~  l i
adulterju	a d u l t E r C u
allahares	a ly~ a h a r e k
ambizzjoni	a m b i s z y a r o n i
argumenta	a r g u m e nt~ a
arkati	a t i
attrezzati	a t t r e z z a t i
baghtet	b a gh~ e th~
bandist	b a n d i s
bands	b a n d
bankarja	b a n f i j a
bankina	b a n k i n a
bejnietkom	b e i h n i e t k o m
berbaq	b E b a q
bilqegħda	b i l E y a
binti	b i n t i
borma	b o r m a
bxejn	b j n
certifikati	C E r t i i S t i m a
daw	d a w
ddiskutew	d i s k u t o
denja	d e n j a
denju	d o k u
dinjituż	d i n j i t u
diżabbiltà	d i mp~  l t 7
dokumentat	d o k u m e n t a t
esposta	e s p o s t a
espressa	e s p r 3 s a
espressjonijiet	e s p r e s cx~ o*  e
evalwati	p i r a l w a t i
ezemplari	d 3 mp~ l a r i
ezercizzju	e r i ly~ i z z y a r u
famuz	f a m u
fermament	f e r m a m E n t
feruta	f e r u t a
fettillu	f e t i l l u
field	f i e l
finta	f i t a
fissi	f i s s i
forensici	f o r e ns~ i C i
ftehmu	f t e h m u
gemiem	g e m i e m
ghajnejha	x a x n j a
ghonqu	x o n ky~
guvintur	g u b i t u r
gwarniċ	gw~ a r n i
għinna	g i N
għonqhom	g o* k o m
halq	h a l
hamra	h a m r a
harga	h a r g a
hax	h a
hdejna	h d e h a n a
hitan	h i t a n
hsejjes	h sx~ e xe i
hsibijiet	h s i b e
ibsin	i b s i n
iddiskuta	i d i s k u t a
identifikata	d e n t i i S t i m a
idolu	d o l u
iffurmata	f f u r m a t a
ikejjel	i k e h o x e l
ikellimna	i k e ly~ i m n a
ikisser	i k i s e r
immaġini	i m i i n i
imqabbad	i m k mp~
imsejjes	i m sx~ e xe i
imsejjħa	i m sx~ e xe j a
imsiefer	i m s i e f e r
infettiv	i n f e t i
infinita	i n f i n i t a
inflazzjoni	i n f l a z z y a r o n i
informattiva	i n f o r m a t t i v a
informaw	i n h m au
inqatlet	i n q o L e
intensivi	i n t e s i b i
intenzjonata	i n t e n z y o n a t a
intervistat	i n t E r i s t a t
intimi	i n t i m i
intitolata	i n t i t o l a t a
intkom	i n t k o m
intlaqa	i n a N g a
intużat	i n t u a t
inġib	i n X i a
ippublikat	i p p u b l k a t
irjus	i r h u s
irmied	i r m i e d
irrelevanti	i r e l e v a n t i
irrimarka	i r i m a r
isemma	i s e m a
isewwi	a s w i
issarraf	i s s e r a f
issemmiet	i s e m m i e t
issolvi	i s s o l w i
itellgħu	i t e l a x u
izzejjed	i r 8
janalizzaw	h a n a l i z z a w
jappoġġa	y a p p o i N g a
jaqbillek	y a q b i l l e k
jaqilghu	y a q i l x u
jarawni	h a r a x n i
jaħli	y a l i
jaħtru	h a t r u
jejd	h e h d
jerfghu	h e r f x u
jergaw	h e r g a w
jgholli	h t o l l i
jgorru	h g o r u
jgħidulhom	h g i d u L o m
jibbaża	h i b b a
jiccelebra	T i T s e l e b r a
jiddubita	h i d  a
jidhrilhom	h i d r i L o m
jidħolx	h i d o l 7
jiffinanzjaw	h i f i n a n z y a w
jiftiehmu	h i f t i e h m u
jimitaw	h i m i t a w
jinbdew	j i n b b
jinbtu	j i n b t u
jindaqq	h i d a k " o
jinkixfu	j i n k i S w u
jintbaghtu	h i t b a gh~ t u
jintilfux	j i n t i l f u S
jintrefa	h i t r e n i
jinħeba	j i n e b a
jirkupraw	h i r k u p l a w
jirraġunaw	h i r a NG~ u n a w
jirriskja	h i r i s k j a
jirrizenja	h i r i z e n j a
jirriżenjaw	h i r o k a w
jissieltu	h i s s i e l t u
jistkennu	h i s t k 3 n
jistħoqqilha	h i s t o k " o i L a
jitgawdew	h i t kh~ o b
jitratta	h i tr~ a t t a
jittajru	h i t e r u
jitħarsu	h i t a r  u
jiġġeddu	h i N g x d d u l
jkattar	k s a l o t a r
jnehhi	h n e h
joħolmu	h o l m u
jridna	h r i d n a
jsolvi	h s o l w i
jtaffi	h t a f f i
jużahom	w a o m
jwaqqa	fw~ a k " o a
jxerrdu	h f e r d u
kampjonati	k a m p j o n a t i
kapriċċ	k a p r i
kkontrollat	k k o nt~ r o l l a t
kkuntattjat	k k u n t a t y a t
kompartimenti	m i p i t i m e n t i
kondizzjonijiet	nd~ i z z y a r o* e
konservattivi	q o n i k e r v a t t i b i
konsumatur	q o n i k s u m a t u r
kontribuzzjonijiet	k o nt~ b u z z y a r o* e
korretti	k o r  t i
kreattività	k r E a t t i b i t 7
kreditu	k r E d i t u
kuntrarjament	k u n t r i c e n t
kuraġġuż	k u r a X i NG~ u
laboratorju	l a b o r a t o r C u
lahqu	l a h k
leġittimu	l E X i a t i m u
leġiżlazzjoni	l E X i a l a z z y a r o n i
manager	m a n a g a r
mappa	m a p p a
maqbudin	m a q i a n
marrux	m a* r S
marzu	m a L u
marċi	m a r i
mastrudaxxa	s t r u d a T T a
medjokri	m e d h o k r i
megħjun	a w a n h u n
merfugħa	m e r f u g w a
mghammad	m x a m d i b
mgħoddi	hwy$ o d i
midalji	d a l u
migrazzjoni	m i g r a z z y a r o n i
mikxuf	7 qy~ f
mikxufa	7 b a n a
milħuqa	l b a
misjuq	m i s xy~
miżerja	m i e r j a
mmexxu	m e T T u
nafha	n a p a
namel	n a m e l
ndaqs	nd~ a q
nhawi	h a u w i
niddependu	n i d a e p e n d u
niftakarx	n i f k a r 7
nikkonfermaw	n i k k o* f e r m au
nilmaħ	n i l m a
ningħataw	n i N a t a w
ninsistu	n i ns~ i s t u
nirringrazzjak	n i r i N X i l z y a k
nispiccaw	n i S C o* a* k a w
nitħarrġu	n i r X i u
normi	n o r m i
nqata	n q a t a
nqatta	n q a t t a
ntuzat	t u z a t
nuruhom	i k a o m
nużawhom	n u a l o m
nżamm	n a m m
onorati	n o r a t
organi	u r g a n i
organu	u r g a n u
pagana	p a x a n a
partiġġan	p e r t i N g i
partiġġjani	p e r t i i X i j a n i
pasturi	p a s t u r i
patrimonju	p a t r i m o* C u
pinna	p i N
please	p l e a s e
point	pw~ a
potenzjalment	p o t e n z y a l m E n t
pozittiva	p o  t i v a
press	p r e s
preċiżjoni	p r e i j o n i
prigunerija	p r i g u n e r i j a
prijoritajiet	p r i j o r i t a
progressiva	p r o g r 3 s a Ng~ e a
promozzjonijiet	p r o m o z z y a r o* e
qassmu	q a 7 m u
qbid	q py~ i t
qbilt	q b i l
qrunu	q r u n u
qziez	q  e z
rax	r a
rcieva	r C y e v a
rewwixta	r E f % r a
riflessi	r i b u Ng~ l e s
rikonċiljazzjoni	r i k o n i l b u l a u k z y a r o n i
ripetut	r i p e t u t
risposti	r i s p o s t i
rivisti	r i i s t i
ronda	r o n d a
rreferiet	r e f e r i e t
sabha	s a b a
sabieh	s a b i e x
screening	s k h r e n i N
second	s e k o n d i
sejħiet	s e j i e t
sfurzat	s f u r a t
shop	S o p
shubija	S u b i j a
simboliku	s i m b o l i k u
sinerġija	s i n e r X i a h a
skomda	s k o m d a
solvut	s o l b u t
sostitut	s o s t i t u t
soċjetajiet	s o x e t a
speċjalisti	s p e q  s t i
spirti	s p i r t i
sponsor	s p o Th~ o r
spunt	s p u n t
ssibhom	s s i b o m
stabbiliet	s t a b i k a C i e t
staġuni	s t a NG~ u n i
strateġiji	s t r a t e X i a l w a
surcharge	s u r d a l g e
sħan	s a n
taddotta	t a d t t a
tagħlima	t a g l i m a
tajjart	t a m a x
taqbez	t a q b e z
taxi	t a x i
taħthom	t a t o m
tbassir	t b a s s i r
tehel	t e h e l
teknoloġiku	t a k n o l o X i a k u
televiżjoni	t e l e v i j o n i
teskludi	t e s k l u d i
teħodha	t e o d a
tgergir	t g e r g i r
tgħajjat	t g a
thejjija	th~ j j i j a
tigbed	t i gb~ 3 d
tikkonkludi	t i k k o nk ~ l u d i
tikkontesta	t i k k o nt~ e s t a
tintrebaħ	t i n t r e b a
tispeċjalizza	t i 8 p e n e q  z c a
tissuġġerixxi	t i 7 u X i x ry~ T T i
tkomplix	t k i m p l i S
tmexxew	m e S " e a
tomna	t o m i a
torrijiet	t o r e
tospita	t o s p i t a
tqarraq	t q o m i 7 r a q
transizzjoni	i t r i s i z z y a r o n i
trattata	tr~ a t t a t a
trofew	t r o f e w
ttajjar	t a a r
tħallix	t a l l i S
tħarreġ	t a r  i
ubbidjenti	u b e k u a j i n t i
umilta	m i l t a
vandali	v a nd~ a r i
vilel	v i l e l
viżiva	v i i v a
viżwali	v i w a l i
voluntier	v o l u n t i E r
vuci	v u k i
wahedha	w a h e d a
waqajt	w a q a
weghdi	w e x d i
weġibni	w e X i a b n i
wissiet	w i s s i e t
zaghzugha	z a gh~ a f o gh~ a
zbalja	z C i C j a
Ċentri	e n t r i
Ċiviku	i v i k u
ġietni	X i a e t n i
ġirja	X i a e j a
ġurament	N g u r a m E n t
ġuvintur	N g u b i t u r
ħabat	a b a t
ħabbarna	a b " bh~ a r n a
ħakma	a k m a
ħariġx	a ry~ NG~ 7
ħatra	a t r a
ħdejja	d e h a j a
żġur	N g u r
Age	g e
Alfons	l f o* s
Anniversarju	n Ng~ e r e n s e r C u
Anzjani	n z y a n i
Aqbeż	q b e
Assistants	s s i s t a n c
Assolutament	a d a m l u t a m E n t
August	t u g u s
Authority	u t h o r i t u s
Avolja	v o l j a
Bejni	j n i
Benelli	i n i L i
Bengħajsa	g a j s a
Brockdorff	r o k k d o r f
Calypso	t a ly~ p s o
Charlon	h a l o n
Comments	o m e n c
Contributed	n b u t e d
Court	o r
Crucis	r u C a i s
Diska	i s k a
Environment	n v i r o n m E n t
Frederick	r e d e r i C
Gadajs	a d a
Ghaddew	h a d o
Ghar	h a r
Ghaziz	t r o n d i z
Homo	o m o
Hospital	o s p i t a l
Islander	s l a n d e r
Jane	a n e
Jones	o i
Kapuccini	a p u k k i n i
Kaz	a z
Konċilju	q o n i l C u
Kullħadd	u y a d
Losco	o s k o
Luca	u k a
Mediterranean	e d i t e r i
Mistoqsijiet	i s t o x C e
Mohammed	o h a m t
Moro	o r o
Nadur	a d u r
Naħsbu	a s b u
Of	f
Patricia	a t i cy~ i a
Politiku	o l i t i k u
Port	u r
Prof	r o f
Progress	r o g o r e s
Proverbji	r o e r by~ i
Redentur	p i e d 3 n t u r
Regiment	g i m E n t
Sabrina	a b " r i n a
Sapiano	a p i a
Sedqa	p i e d N g a
Sikwit	i kw~ i t
Sina	i n a
Sinai	i n a i
Skoċċiż	k o i
Soler	o l e r
Sopo	o p o
Soċjetà	o x e t 7
Stock	t o k
Tagħlim	y l i m
Taħriġ	a ry~ i
Tidher	d u r
Tinsewx	s e w S
Torok	o r o k
Trees	h r e s
Ugolino	g o l 3
Università	n i v e r s i t 7
Vallette	a l l e t
Viżjoni	i j o n i
Ward	a r d
Wojtyla	o h T l a
Xaghra	a x r a
Zaren	a r e
abbati	a b " b a t i
adolexxenti	a d o l e T T l e v e n t i
aggredit	y g r e d i t
akwati	a k w a t i
amministrat	a m i n i s t r a t
amministraturi	a m i n i s t r a t u r i
amnestija	a m i s t i j a
appostli	a p p o s L i
appuntati	a p p u n t a t i
aqra	a q r a
armla	a r Ng~ u S i
artali	i t a l i
assoċjata	n i c a t a
attakka	a t k
attakkaw	a t k k a w
attribwit	a t b w i t
awtonomija	a w t o n o m i j a
aġenzija	a x n z i j a
baqghux	b a q w u S
barmil	b a r m i l
bill	b i l
bizzilla	b i z z i l l a
bnejt	b j
boat	b o a t
boats	b o a c
bżar	b a r
cajta	k a h t a
ccelebrata	kh~  e l e b r a t a
cirku	l k u
dalam	d a l a m
daqt	d a q
darha	d a r a
defiċit	d e f u i t
dehriet	d e h r i e t
dejjiemi	d e h a n o x e m i
dekorazzjonijiet	d e k o r a z z y a r o* e
delegazzjonijiet	d o l o a z z y a r o* e
dghajfa	d x a a n a
dieqa	d i w N g a
direzzjonijiet	d i r e z z y a r o* e
dis	d i s
dispost	d i s p o s
divorce	d i v o r k e
diżabilità	d i a b i l i t 7
diżappunt	d i a p p u n t
diżgwid	d i gw~ i d
domna	b n a
doni	d o n i
eccezzjonali	e T k d z y a r o n a l i
estern	3 S t E r n
estremi	e s t r e m i
etniċi	e t n i
ewlenijaDwar	e w l e n i j a w a r
eżerċizzji	e l i z z y a r i
fehmiet	f e h m i e t
fejjiedi	f e h j i e d i
feliċi	f e l i
fizika	f i z i k a
ftahir	f h i r i
gallina	g a ly~ i n a
garbet	g a r b e t
ghalqet	x a q e t
ghatx	x a 5
ghola	x o l a
gholluh	x o l l u
gramma	g r a m a
grew	g r E f
griż	g r i
gurnal	g u r n a l
għadx	g a d 7
għajnuniet	g a x n u n i e t
għamluh	g a m l u
għemil	g e m i l
għoliet	g o l i e t
għomorhom	g o m o r o m
habtu	h a b t u
hadmet	h a Z e
hataf	h a t a f
heaters	h e a t e r
hela	h e l a
hemx	h e m 7
hesrem	h e s r E m o
ideja	d e h a i
ihossuhom	i h o s a o m
ija	i y a N u
ikkunsidrata	i k sw~ ns~ i dr~ a t a
ikkwotat	i k k w o t a t
ikliet	i k l i e t
imdawrin	i m d a r a n
imdejjaq	i l a b a q
imisshom	i m i s o m
imlaqqam	i m l a k " o a m
imsejħin	i m sx~ e xe i n
imsieħba	i m s i e b a
imwarrab	i m o m a n a b "
imwiet	i m v i
imħaddma	i m a d m a
ineħħu	i n e u
infetħu	i n f e t u
ingabru	i N a b r u
ingibu	i N i b u
ingredjenti	i N X i e a j i n t i
inhawi	h a u w i
inkompetenti	m i m p e t e n t i
insensittiv	s e ns~ i t i
insult	s u l
intalab	i n t a l a b
interjuri	i n t E r h u r i
interpretat	i n t E r p r e t a t
intilfu	i n t i l f u
intużaw	i n t u a w
inħalli	i n a l l i
inħarġu	i n a r NG~ u
iqanqal	i k a* l u k
ironikament	i r o n i k a m E n t
irtir	i r m 3 t i r
isejjah	a s a h
isolvu	i s o l b u
issalva	i s s a l v a
issuġġerixxa	i s s u X i x ry~ T T a
iżżommu	i o m m u
jaghtiha	y a t  a
jahasra	y a h a s r a
jahbi	y a h b i
jarak	h a r a
jassumu	y a s s u m u
jaħtfu	h a t w u
jbaxxi	h b a T T i
jbiegħ	h a
jbigħ	h b i g
jegħreq	h e g r a q
jehtiegu	h e h t i e x u
jemigraw	j e m i g l a w
jeħodhom	h e u c u m
jgħaddih	h g a d i
jgħożż	h g o
jiddahhlu	h i d a a h L u
jiddeciedu	h i d a i n d u
jiddejjen	h i d a j i
jidraw	h i dr~ a w
jidru	h i d r u
jiftiehem	h i f t i e h e m
jiggieled	y i g i e l e d
jikkopera	h i k k o p e r a
jikkummentaw	h i k k u m e n t a w
jikkundannaw	h i k k u n d a n a w
jinbidilx	j i n  dy~ i
jinqalghu	j i n q o l x u
jirrendi	h i r  d i
jispeċjalizzaw	h i 8 p e n e q  z z a w
jissellef	h i s e l l e f
jistinka	h i s t i n
jitkabbru	h i t k mp~  r u
jitkanta	h i t k a nt~ a
jitkantaw	h i t k a nt~ a w
jitkattru	h i t k a t t r u
jitniżżlu	h i t n i l u
jittajjar	h i t t a a r
jittallbu	h i t t a l g u h
jitwarrbu	h i t w a r b u
jivvintaw	x i v v i n t a w
jizbalja	h i z C i C j a
jiċċaqalqu	j i a q a q
jiħux	i S
jkellmu	h k e ly~ m u
jpinġi	h k  i
jsarraf	h s e r a f
jsibx	h s i b 7
jużaha	w a h a
jċemplu	j e m p l u
jħajjar	y a a r
kattoliċi	k a t o l i
kazini	k a z i n i
każwali	k a w a l i
kiefer	k i e f e r
klassifikat	k l a s s i i S t i m a
kompożizzjoni	k o m p o i z z y a r o n i
konness	q o n i k n e s
kontrollat	k o nt~ r o l l a t
korrott	k o r o t t e
kostruttiv	k o s t r u t i
kostumi	k o s t u m i
kummiedja	k u m m i e d h a
kurrent	k u r
leġġendi	l E N g x n d i
lingwistika	l i n gw~ i s t i k a
lokal	l o
lħaqna	l a q l a
maggur	m a h g u r
maghmulin	m a gh~ l i n
maghquda	m a gh~ k d a
mahdum	m a h d u m
mahsuba	m a 7 s u b a
maqtugh	m a q t u x
matrimonjali	m a t r i m o* q
maturita	m a tw~  i t a
mdaħħla	m y e z i
mgħobbi	m g o b b i
minflokha	m i n f d r a
mirbuħa	m i r a
misluf	C i w f n a
misteri	m i s t E r i
mitluqin	m i L b i n
mkabbra	m k mp~  r a
mmut	m u t
moniteraġġ	m o n i t E r a i i
mpitter	p i t t e r
mqabbda	m k mp~  d a
mqaddes	m q a d m 3 s
mżejjen	m e
nagħmilhom	n a g m i L o m
najd	n a x a d
naqdi	n a q d i
narawx	n a r a w S
navigazzjoni	n a v i g a z z y a r o n i
necessarja	d e* k a* b 3 s a  j a
neżlin	n e l i n
nhallsu	h a ly~ s u
nibtu	n i b t u
niddeċiedi	n i d a i e d i
niddiskuti	n i d i s k u t i
nigri	n i g r i
nilqghu	n i l k u
ninzel	n i n z e l
nirnexxu	n i r S T T u
nirranġaw	n i r a  a w
nissel	n i 7
nistieden	n i S th~ i e d e n
nitħarreġ	n i r  i
nqabdet	n o m a r u w d e t
ntalab	nt~ a l a b
ntilfu	t e l f u
ntwera	t w e r a
nxandru	n a nd~ r u
nħeġġu	n e NG~ NG~ u
ohti	o h E t i
ordinarji	u r d i n a r u
ordnata	u r d n a t a
parking	p i i N
parruċċani	p e r a n i
passiggieri	p a s s i m i e r i
pedamenti	p E d a m e n t i
perċezzjoni	p e r e z z y a r o n i
pitch	p i t
pjattaforma	ph~ a t t a h m a
porvli	p o r e l i a
poġġejna	p o X i x i h n a
prattikanti	p r a t t i k a n t i
preparamenti	p r e p a r a m e n t i
preżentati	p h r e n t a t i
procedura	p r o k e d u r a
profeziji	p r o f E z i h i
qadi	q a d i
qatigħ	q a t i g
qattajt	q a t t a h
qedghin	q o x i n
qered	E r e d
raġjonevoli	r a NG~ j o n e v o l i
rcevew	r u % d o
register	r e g i s t e r e n
regolament	r E k o l a m E n t
reklami	r e k l a m i
repubblika	r e p u b bl~ i k a
reputazzjoni	r e p u t a z z y a r o n i
reqqa	r E q o
ricerka	r i C E a X a
rock	r o k
roti	r o t i
rregolari	r e g o l a r i
rrisponda	r s p o n d a
ruxxmata	r u T T m a t a
saqajk	s a q a
sarulu	s a r u l u
sat	s a t
sejjahlu	s e j b u l a f " l u
sfortuna	s h t u n a
sfrenata	s f r e n a t a
siequ	s i e k
sieħba	s i e b a
skantat	s k a nt~ a t
skoss	s Z i
skurjajt	s k u r j a
smajtha	s C t a
solitudni	s o l i t u d n i
somom	s o m o m
sospizi	s o s p i z i
spalltu	s p a ly~ t u
strett	s t r e t
studjuż	s t w a j u
supplimentari	s u p p l i m e n t a r i
swat	s w a t
taqliba	t a q l i b a
tarmi	t a r m i
taru	t a r u
taħbi	t a b i
taħdmu	t a d m u
taħrab	t a r a b
telefon	t e l e f o n
telfiet	t E l f i e t
temperatura	t e N p e r a t u r a
teoriji	t e o r a l w a
territorju	t e r i t o r C u
testendi	t e s t e n d i
teżori	t e o r i
tghaqqad	t x a k " o a d
tgħidilhom	t Ng~ i dy~ lx~ o m
thallsu	th~ a ly~ s u
thedded	th~ e d 3 d
tigu	t i x u
tikkonsidra	t i k k o s i d r a
tiktbu	t i k t b u
tinnegozja	t i N i g o z y a r m
tinġieb	t i  i e
tirbah	t i r b a h
tispjegali	t i s p h m e g a l i
tissewwa	t i s w u w a
titghallem	t i t x a l l 3 m
tixtiequ	t e r e n k
tonn	t o n n
tpassi	t p a s s i
traduttur	tr~ a d u t t u r
ttellgħu	t t e l a x u
twaħħlu	t w a l u
twiegħed	t w i e g 3 d
tyres	t r e
tħallih	t a l l i
varjeta	v a r o x e t a
wahdek	w a 7 b
wasslitu	w a s l i t u
waħidha	w a i d a
zaghzagh	z a gh~ c a G
zbaljati	z C i C j a t i
Ċertu	e r t u
ċempilt	3 mp~ i l
ċm	m
Ġieħ	i e
Ġo	o
ġabru	N g a b r u
ġibda	N g i b d a
ġisimhom	X i a b u p o m
ġustifikati	N g u s t i i S t i m a
ġġenerat	N g x n e r a t
Ħdimna	d i m n a
ħadra	a d r a
ħakmu	a k m u
ħatru	a t r u
ħbiebu	b a 5 a u
ħejjew	j o
ħerqa	e r X a
ħidmet	d e
ħidmietu	d m i e t u
ħuk	u k
żammejt	a m j
żguri	g u r i
żgħażugħ	g a u k
żmienhom	o m
Abbati	b w a t i
Adelaide	d e l a i d e
Anjeze	n o x e z e
Annabelle	n a mb~ 3
Appostolika	p p o s t o l i k a
Aragona	r a g o n a
Arkanġlu	m a   l u
Assessment	a d a 3 s a m E n t
Astrid	s t r i d
Attendew	t o
Bari	a r i
Bedingfield	e d i N a E l d u r
Bil	i l
Bilkemm	a l k e m m
Boats	o a c
Caritas	a r i t a s
Cesare	e s a r e
Cikku	i k k u
Citta	i t t a
Claudette	l a u d e t
Daqxejn	a q j n
Emigranti	m i g r a n t i
Erkole	r k o l e
Esperti	s p e r t i
Furjaniż	u r j i 7 a n i
Gakobb	a k o b
Galatin	a l a t i n
Gara	a r a
Gaża	a
Ghajnsielem	h a u ns~ i e l e m
Ghid	h i d
Goethe	o e t e
Golden	o l d e n
Grand	r a n d
Grasso	r a s
Grey	r E
Għajnuniet	a x n u n i e t
Għamlu	a m l u
Għaxar	a g a r
Għinna	i n n a
Hieni	i e n i
Hyundai	y u n d a i
Illejla	l j l a
Immaġina	m X i a t u
Immedjatament	m  j a t a m E n t
Industrija	u z i j a
Inguanez	N o i
Italia	t a l i a
Jistqarr	i s t k ar
Juan	u a n
Julian	l i a n
Kbir	b i r
Konsegwenza	o* s e g w e n z a
Kopja	o p j a
Kulunelli	u l u n e l l i
Kumpanija	u m p a n i j a
Kuncizzjoni	u n C i w z z y a r o n i
Lady	a d
Law	o
Liena	i e n a
Magħżul	a g u l
Malajr	a l a r
Moira	o i r a
Mux	u S
Nassigurak	n i i g u r a
Ninnota	i n n o t a
Niskanta	i s k a nt~ a
Nistaqsiha	i s t a q s i h a
Nistiednu	i s t a o n u
Olivia	l i v i a
Oscar	s k a r
Osimo	s i m o
Padovani	a d o v a n i
Page	a g a
Pollakk	o l l a k
Presidenti	r e s i d e n t i
Raising	a i s i N
Riżultat	i u l t 3 t
Robbie	o b e k u e
Roberta	o k t a
Sarah	a r a h
Sawdita	a w n e n
Saħħa	a
Serq	e r
Show	h o
Snieter	n i e t e r
Sodom	o d o m
Soċjalisti	c a l i s t i
Staqsi	t a q s i
Stefano	t e n i
Stennejt	t e j
Tagħrif	y r i f
Taliana	a l i a n a
Taqsima	a q s i m a
Teatru	e a t r u
Teknoloġija	e k n o l o X i a h a
Teo	e o
Tgħidx	g i d 7
Tisma	i s m a
Tistghu	i s t 3 x
Titkellem	i t m a l l 3 m
Umbad	b a d
Uża	a
Valentinu	a l e n t i n u
Via	i a
Waslu	a s l u
Watch	a S o
abbatini	a b " b a t i n i
abbli	a b " bl~ i
abbużat	a b " a t
addio	a d i o
ahdar	m a h d a r
allegaw	a l l e 7 a w
ambjenti	a m by~ E n t i
amministrati	a m i n i s t r a t
ansjetà	s E t 7
appuntamenti	a p p u n t a m e n t i
aqraw	a q l a w
arbli	a r bl~ i
artista	i t i s t a
arċipriet	a r i p r i e t
attivament	a t t i w a* m E n t
bankarju	b a n f i C u
be	b e
bierda	b i e r d a
cahad	k a h a
child	C i l 7
cirkostanzi	l Z i t a nz~ i
ddejjaqni	d j j a q l
definizzjoni	d e f i n i z z y a r o n i
