eta 	e t a
Dantzari	a n c  a r i
Darwinek	a r % i k
Das	a s
Defentsarako	e f e nt~ a b a r a k o
Dentsitate	e n c i t a t e
Descartesen	e s k i t e s
Deutsche	u C e
Dionen	i o n e n
Discovery	i s k o e r
Disneyk	i s n e y
Donejakue	o i n i 5 u e
Ederra	d e r a
Einstein	s t o i n u r
Eleanor	l E a n o r
Eliz	l i z
Elizbarrutiko	l i z bh~ a r t i k o
Equus	k u s
Erlijioa	r l i j i o a
Errota	r o t a
Errugbi	r e b i
Escuela	s k u e l a
Eskaera	s k a e r a
Eskoziar	s k o  a r
Eskulturak	s k u l t u r a
Espartako	s p i t a k o
Español	s p a 5 o l
Estetika	s t e t i k a
Etiopiako	t i o p i a k o
Eusebio	u s E b 3 o
Ezagutzaren	z a g u c a r e
Films	i l m
Flores	l o r e
Formatu	o r m a t u
Foro	o r o
Frankismoaren	r a n k i s y a r e
Franklinek	r a n k l i i k
Freudek	r E u d e k
Fruitu	r u i t u
Fruitua	r u i t u a
Fujiwara	u b w a r a
Gaizki	i z k i
Gako	a k o
Galaxia	a l a x i a
Galileoren	a l i l e o r e n
Garaiaren	a r a i a r e
Gazteria	a z t E r i a
Geralekuak	e r a l e k u a k
Gertakizun	e r k i z u n
Gizartean	i r i t e a n
Gogoratu	g o r a t u
Gokuren	o k u r e n
Golkoko	o l k o k o
Gorago	o r a g o
Guduaren	u d u a r e
Guerra	u e r a
Gunea	u n e a
Hannah	a n n 3 h
Harenak	a r e n a k
Hauetariko	a u e t a r i k o
Hills	i ly~
Histoire	i s t o i r
Hollywood	o l ly~ w o d
Horiei	u r i e i
Hungaria	u N a r i a
Hungarian	u N a r i a n
Idazlearen	d a z l e a r e
Ideologia	d e o l o g i a
Ikerkuntza	k e r  n c a
Inari	n a r i
Indonesiako	d o n a k o
Ingelesa	g e l e s a
Istorioak	s t o r i o a k
Istripu	s t r e p u
Istripua	s t r e p u a
Itsasoa	c a s o a
Iturria	t u r i a
Izarren	z a r
Jakintza	u ly~ o c a
Jeffrey	e f a
Jessica	e s s i k a
Jesukristoren	e s u k r i S th~ o r e n
Joaquin	o a k i n
Just	u s
Karrera	m a n e r a
Katolikoa	a t o l i k a
Ken	e n
Komunen	n e n
Komunikazioa	n i k a Z  o a
Konbentzio	o b e n t a o
Kondaira	d a i r a
Kongo	o n g o
Kontsumo	n c u m o
Koparen	o p a r e
Koroak	o r o a k
Kristina	r i s t i n a
Lagunak	g u n a k
Lankidetza	a n k i d e c a
Larry	a r
Law	o
Legebiltzarrean	E g E m e l w i d i
Light	i t
Lola	o l a
Luke	u k e
Lurzoru	u r z o r u
Luxenburgoko	u " e a nb~ u r g o k o
Magma	y m a
Maia	a i a
Maisua	a i s u a
Manu	a n u
Margolanak	a r o l a n a k
Marianne	a ry~ a n e
Martinen	i t i n e n
Martxa	a r C a
Maryk	a r k
Masters	a s t E r
Mendoza	e n d o y a 7
Milanen	i l a n e n
Milioi	i l i o i
Model	o d
Morganek	u r  i k
Multimedia	u l t i m e d i a
Musulmanen	u s u l m o n e n
Negozio	e g o  o
Neptunoren	a p t u n o r e n
Nerea	i d i
Osasunaren	s a s u n a r e
Ospea	s p e a
Oteizak	t e i z a k
Out	u t
Paperezko	a p u r z k o
Partidu	i t i d u
Pasaia	a s a i a
Patricia	a t i cy~ i a
Pauloren	a u l o r e n
Pertsonen	e r c o n e n
Perón	e r o n
Petit	e t i
Philosophy	h i l o s o p a
Piazza	i a z d c a
Pirinioak	r i o a k
Popularrak	o p u l a r a k
Poseidonen	o s e i d o n e n
Probintziaren	r o b i t a a r e
Proteina	r o t e i n a
Publikoa	u b l i k a
Rafa	a f a
Revue	e e
Rift	f
Rob	o b
Ryan	y a n
Sala	a l a
Salle	a l
Saturno	a t u r n o
Serbia	e r b i E a
Simmons	i m m o* s
Sindikatu	i n d i k a t u
Sinn	i n n
Smithek	m i t h i k
Sortutako	u r t u t a k o
Sound	o u nd~
Southern	o u t h e r n
Sport	p o r
Stalinek	t a l  i k
Stuart	t u a r
Suite	k i t e
Tarteko	i t e k o
Teherango	e h e r a Ng~ o
Teknologiaren	e k n o l o g i a r e
Telesailaren	e l e s e i l a r e
Tell	E l o
Telmo	e l m o
Temple	3 mp~ l e
Tesla	e s
Testuak	e s t u a k
Texasko	" a s k o
That	h a t
Tokian	o k i a n
Tommy	o m
Tradizioaren	r a d i L o a r e
Trenbidearen	r e n b a r e
Trinidad	r i n i d a d
Trinity	r i n i t
Tristan	r i s t a n
Tunel	u n e l
Txapeldunen	S a p e l d u n e n
Txekiar	S r a r
Unibertsala	n i b e r c a l a
Urola	r o l a
Urre	r
Urteen	r t e n
Vianako	i a n a k o
Wolf	o l f
Wu	u
Zentralaren	e n t r a l a r e
Zentroak	e n t r o a k
Zientzietan	i e n t a 3 t a n
Zonalde	o n a l d e
Zuberoa	u b e r o a
Zuzendariak	u z e n d a r i a k
abadia	a b a d i a
abandonatua	a b a n d o n a t u a
abelburu	a b " a l b u r u
aberriaren	a b e r a r e
abortua	a b o r t u a
abstentzioa	a b " s t e n t a o a
adiskidea	a d i s k i d e a
adiskideak	a d i s k i d e a k
administrazioko	a d m i n i s t r a z i o k o
agortzen	a g o r c e n
ahizparekin	a h i z p a r e k i N
ahoskatua	a h o s k a t u a
ahulagoa	a h u l a g o a
aitatzat	i t a c a t
aitorpen	i t o r p e n
aitortuko	i t o r n a
aktibatu	a k t b a t u
alarma	a l a r m a
aldaketan	a l d a k 3 t a n
aldarrikapenak	a l d a r k a p e n a k
aldearen	a l d e a r e
aldenduz	a l d e n d u
aldetan	a l d 3 t a n
aldiak	a l dy~ a k
algak	a l g a k
alkoholaren	a l k o h o l a r e
alokairua	a l o i r u a
alorrak	a l o r a k
altxatzea	a l T a c e a
amaieraren	a m a i e r a r e
analogikoa	a n a l o g i k a
angeluko	a n g e l u k o
anonimoa	a n o n i m o a
antenak	a n t e n a k
antzerkigile	a n c r i ly~ k i g i l e
antzezteko	a n c  d t e k o
antzinakoena	a n c  n a k i e n a
antzokiak	a n c  k i a k
apaizen	a p a i z a n
apiriletik	a p e r e l e t i k
aplikatua	a p l k a t u a
apropos	a p r o p o s
apustuak	a p u s t u a k
arauek	a r a k i k "
arazten	a r a z t e n
argibide	a r g i b i d e
argiena	a r g i e n a
arkeologikoa	a r k e o l o g i k a
arkeologikoek	a r k e o l o g i k o k
arkitekturako	a r k a m u u r a k o
armarik	a r m a r i k
arretan	a r 3 t a n
arteriak	i t E r i a k
asentamendu	a s e n t a m e n d u
askatasunean	a s k a t a s u n e
asteburu	a s t e b u r u
astronauta	a s t r o n a u t a
astronomoek	a s t r o n o m o e k
atetik	a t e t i k
atxikitzea	a 5 i* k i c e a
aurreiritziak	a u r a i r i c i a k
aurrizkiak	a u r i z k i a k
autobusa	a u  s a
azkarreko	a z l 3 m a n e k o
azkartasuna	a z i t a s u n a
azkartu	a z i t u
azpi	a z p i
aztertua	a z t E r t u a
bahitua	b a h i t u a
baimenduta	b a i m e n d u t a
bakun	b a k u n
balentzia	b a l e n c i a
baliozko	b a l i o z k o
banakoen	b a n a k i e n
banandua	b a n a d i
banatzean	b a n a c e
banderaren	b a n d e r a r e
baselizaren	b a s l 3 N z a r e
bateratze	b a t e r a c e
batetako	b a t e t a k o
bazirudien	b a z i r u d i e n
bazuela	b a z u e l a
begiratoki	b e g i r a t o k i
belardiak	b e l a r dy~ a k
belaunaldiak	b e l a u n a l dy~ a k
beldurraren	b e l d u r a r e
berdinaren	b E r d i n a r e
bereganatuko	b e r e g a n a t u k o
bereiziz	b e r a i L
berreraikitzea	b E r e r a i n a 7 i c e a
besteengandik	b e s t i 3 N a nd~ i k
betearazlea	b e t e a r a z l e a
betizuak	b e t i z u a k
bezeroari	b e r i ly~ a a r i
bigun	b i g u n
bilaketak	b i l a k e t a k
bilatzera	b i l a c e r a
bilduak	b i l d u a k
bilobak	b i l o b a k
biltegiratze	b i l t e g i r a c e
biluzi	b i l u z i
biologian	b i o l o g i j a
birsortzen	b 3 r s o r c e n
birusen	b 3 r u s e n
bisitariek	b i s i t a r i e k
bizikletaz	b i s i k l e t a z
bizilagunek	b i s i l a g u i k
bizilekuak	b i s i l 3 k u a k
bizimoduak	b i s i m u o d u a k
blog	b l u
borroken	b o r o k e n
botoei	b o t o e i
botoiak	b o t o a k
britainiarraren	b r i t a i a r a r e
brontzea	b r o n c e a
budistak	b u d i s t a k
bukatutakoan	b u k a t u t a k a
bulegoko	l e g o k o
city	i ty ~
dadila	d a d i l a
dantzarako	d a c a r a k o
daramala	d a r a m a l a
datuei	d a t u e i
definizioaren	d e f i n i L o a r e
deritzonaren	d e r i k z o n a r e
deszifratzeko	d e s  f r a c e k o
detektibea	d e t e k t b e a
deuseztatzeko	d e u s d t a c e k o
dezakezu	d e z a k e z u
dialektika	d i a l e k t i k a
dibertigarria	d i b e r t i g a r i a
diferentziala	d i f e r e n t a a l a
digitaleko	d i g i t a l e k o
diotena	d i o t e n a
dizu	d i z u
dokumentalean	d o k u m e n t a l e
dokumentuetan	d o k u m e n t u 3 t a n
don	d o n
donostiarrak	d o* s t i a r a k
dukerria	d u k e r i a
ed	3 d
edonola	e d o n o l a
edonolako	e d o n o l a k o
egiazki	g i a z d k i
egiaztatzea	g i a z d t a c e a
egitasmoaren	g i t a s y a r e
egoeratan	e g o e r a t a n
egoitzaren	i g o nh~ w i
egokitasuna	e g o k i t a s u n a
egokitze	e g o k i c e
egonaldia	e g o n a l d i a
egotekotan	e g o t e k o t a n
egunerokotasunean	e g u n e r o k o t a s u n e
ekiditzeko	r dy~ c e k o
ekonomialari	e k o n o m i a l a r i
elastikoa	e l a s t i k a
elastikoak	e l a s t i k o a k
elektrikoan	e l e k t r e k a
elektrikoek	e l e k t r e k o k
elektrizitatearen	e l e k tr~ t e  t a t e a r e
elektroiaren	e l e k tr~ o a r e
elizetan	e l i z e t a n
elkargunean	e l u l g u n e
emakumeetan	e m a k u m e 3 t a n
emigrazio	e m i b o ch~ 5 o
enkarguz	a n y a r g u
entrenamendua	e n t r e n a m e nd~ i
erabakitzea	e r a b a k i c e a
eraginari	e r a g i n a r i
eraikinera	e r a i n a 7 i n e r a
eraikitzearen	e r a i n a 7 i c e a r e
eraistea	e r a i s t e a
erak	e r a
erakargarritasuna	e r a k a r a r i t a s u n a
erakundeari	e r a k u n d e a r i
erakundeekin	e r a k u n d e e k i N
erasoaldi	e r a s o a l d i
erasoek	e r a s o* k
erasoko	e r a s o k o
erdigunearen	e r d i g u n e a r e
erdikoak	e r d i k o a k
erdiz	e r Z u
eritasunak	r i t a s u n a k
erlojupekoa	e r l o h u p e k o
erosotasun	e r o s o t a s u n
erotu	e r o t u
erraztasunak	e r a z t a s u n a k
erreaktiboen	e r  a k t i b o e n
erreferentziarik	E r e f e r e n nk~ a r i k
errefuxiatuen	e r  pw~ n a t u e n
errekonozimendu	E r e k o n o  m e n d u
errepertorioa	E r e p e r t o r i o a
errepikapena	E r e p i k a p e n a
errepikatzeko	E r e p i k a c e k o
erretzeko	E r e c e k o
errima	e r i m a
erronda	e r o n d a
errotak	e r o t a k
errotuta	e r o t u t a
errutina	e r t i n a
esanahiarekin	e s a nt~ a r e k i N
eskandalua	p i p 3 l 3 e n y e z i
eskena	e s k e n a
esparruak	e s p a r a k
espekulazio	e s p d o l o t e l a 5 o
espezialistak	e s p a  a l i s t a k
espezializatzen	e s p a  a l i z a c e n
espezieko	e s p a  e k o
espirituaren	e s p i r i t u s a r e
esplotazio	e s p l o t a a o
esportazioen	e s p o r t a z i o e n
estadioan	e s t a d i o a n
estatuburu	e s t a t u b u l u
estazioak	e s t a z i o a k
estimulatzen	e s t i m u l a c e n
estreinaldia	e s t r e i n a l d i a
etenaldi	e t e n a l d i
etengabean	e t e N a b e
etorria	e t o r i a
etortzea	e t o r c e a
etxeetara	e 5 e th~ a l a
europarra	u z i  r a
exekuzioak	" e k u z i o a k
exijitzen	" i j i c e n
ezaugarriek	d a u N a r k
ezaugarritzen	d a u N a r i c e n
ezbehar	d b e h a r
ezkon	d u N 7 o n
ezkontzaz	d k o* w i
faktoreren	f a k t o r e r e n
faseetan	f a s E r e t a n
faszia	f a s 5 a
faxista	f a x i s t a
filmerako	b i l * a k o
filosofiako	b i l o s o f i a k o
finantzario	f i n a n w i o
fisikoari	f i s i k o a r i
fiskalak	f i s k a l a k
foku	f o k u
fonema	f o n i m a
formarik	f o r m a r i k
fosfato	f o s b o t o
fundazioaren	f u nd~ a z i o a r e
gailuaren	g a i l u a r e
gailuek	g a i l u e k
gailurretik	g a i l u r e t i k
gainbegiratu	g a i N N e b e g i r a t u
gainbeheraren	g a i N b e h e r a r e
gaindi	g a i n d i
gaindituko	g a i d i t u k o
gainontzekoa	g a o ndw$ a c Nw~ 3
gaixoek	g a i S o k
gaizkia	g a i z k i a
galaxien	g a l a x i e n
garbitasuna	g a r b i t a s u n a
gatazkatsua	g a t a z k a c u a
genetika	g e n e t i k a
genituen	g e n i t u 7 3 n
geografikoaren	g e o g r a f i k o a r e
geologikoak	g e o l o g i k o a k
gerrek	g e r k
gerrikoko	g e r k o k o
geruzan	g e r u w Z
gezur	g d u r
gizatalde	g i z a t a l d e
gizonezkoa	g i z o n e z k a
gobernuburu	g o b E a n u b u l u
gorabeherako	g o r a b e h e r a k o
gordeko	g o r d e k o
gordin	g o r i a n
gorriarekin	g o r a r e k i N
gorriranzko	g o r i r a nz~ k o
gorrixkak	g o r i S m a k o u
gortearen	g o r t e a r e
greko	g r e k o
guneen	g u n e n
gunetik	g u n e t i k
gurdiak	g u r dy~ a k
gurpila	g u r p i l a
gurtzarako	g u r c a r a k o
gustoko	g u s t o k o
gutxinaka	g u 5 i* a k a
hamarraldietan	h a m a r a l d i 3 t a n
hamarren	h a m a r
handiagokoa	h a n d i a g o k a
handiaz	h a n d i a z
handiegirik	h a n d i E k i r i k
handietarako	h a n d i e t a r a k o
harekiko	h a r e k i k o
haril	h a r i l
harizko	h a r i z k o
harrian	h a r i a n
harrobi	h a r l o b i
harrobia	h a r o b i a
harrobian	h a r o b i a n
harrotu	h a r o t u
hartakoa	h a r t a k a
hauentzat	h a u c a t
hauez	h a u e z
hausturak	h a u s t u r a
hegaldiak	h 3 a l dy~ a k
hegaldian	h 3 a l dy~ a n
hegazkinez	h e g a z k i n e z
helarazten	h e l a r a z t e n
heldutasunean	h e l d u t a s u n e
herenean	h e r e n e
heroiak	h e r o a k
herrialdeekin	h e r a l d E r e k i N
herrietara	h e r e t a r a
herritarrekin	h e r i t a r r e k i N
heziketaren	h e z i k e t a r e
hezitzailea	h e z i c a i l e a
hezkuntzak	h e z k u n c a k
hildakoa	h i l d a k a
hilen	h i l e n
hilobiratu	h i l o b i r a t u
hirukia	h i r u k i a
hirukotea	h i r u k o t e a
hizkeraren	h i z k e r a r e
hizkuntzatik	h i z k u n c a t i k
hoberenaren	h o b e r e n a r e
homosexualak	h o m o s E r b a l a k
homosexualen	h o s " a l e n
hondakinetan	h o n d a k i n e t a n
hondamen	h o nd~ a m e n
hondarretan	h o n d a r 3 t a n
hondartzaren	h o n d a r e w i
horra	h o r a
hotzaren	h o w i
hurbila	h u r b i l a
hurbilduko	h u r b i l l u 7 o
hurbilduz	h u r b i l d u
hurbiletik	h u r b i l e t i k
ibairik	i b a i r i k
idatzien	i d a c i e n
idazketan	i d a z k 3 t a n
igarobidea	i N a r o b i d e a
igerileku	i g e r e l e k u
ikasleentzako	i k a l e n c a k o
ikaslek	i k a w t a
ikusiak	i w o i  a k
ikusizko	i k u s i z k o
ikuskatzeko	i k u s k a c e k o
ikuskizunaren	i k u s k i z u n a r e
ikuspen	i k u 8 p e n e ty~
ileak	i l a a k
ilustrazioa	i l u s t r i  o a
indarrari	i n r
indartsuenak	i n d a r e c u e n a k
indartuz	i d a r t u s
independientea	i n d e p e n d i e n t e a
indusketak	i d u s k e t a k
indusketetan	i d u s k e t e t a n
industrialean	u z i a l e
inertzia	i n e r c i a
informalean	i n h k a m a l E
injustizia	r o n o x u s t i L a
inposta	i n p o s t a
instalazioa	s t a l a z i o a
iradokizun	i r a d o k i z u n
iraganaren	i r a g a n a r e
iragazi	i r a g a z i
iraungi	i r a u N i
iraunkorrean	i r a a N kp~ i r d i
irekian	i r e k i a n
iris	i r i s
irlan	i r c
irtena	i r t e n a
irudiz	i r u d i z
iruzkin	i r u z k i n
isilik	i s i l i k
iskanbila	i s k a n b i l a
isolatutako	i s o l a t u t a k o
istorioetan	i s t o r i o 3 t a n
italiarrek	i t a l i a r k
itsasgizon	t i a s g i z o n
itsasoari	t i b o a r i
itxuraren	C u r a r e
itxurari	C u r a r o
izendapenaren	i z e n d a p e n a r e
izkina	i r k i n a
izkinetan	i r k i n e t a n
izurriteak	i r u r i t e a k
jabeari	y a b e a r i
jartzera	h a r c e r a
jasoak	y a s o* a k
jeloskor	j e l o s k o r
jokatutako	j o k a t u t a k o
jolasa	j o l a s a
kaian	k a i a n
kaltegarri	k a l t e g a r i
kamioi	k a m i o i
kamioiak	k a m i o a k
kanalen	k a n a l e n
kanporatuz	k a n p o r a t u s
kantoi	k a n t o i
karbonoaren	k a r b o n o a r e
kargen	k a r g 3 n
kezkatu	k e z k a t u
kimikaren	k i m i k a r e
kirolean	l o l e
klasikoek	k l o i k o k
kliniko	k l i n i k o
kloruroa	k l o r u r o a
kolonoen	k o l o n o e n
kolpearen	k o l p e a r e
komertzialen	k o * c i a l e n
konbinaketa	q o n i k d 3 b i N k e t a
kondairaren	q o n d a i r a r e
konektatutako	k o n e k t a t u t a k o
konkistaren	k o nk ~ i s t a r e
konpainien	q o n i k p a i n i e n
konparaketa	q o n i k p a r a k e t a
konstituzioak	q o n i k s t i t u z i o a k
kontakizunaren	k o nt~ a k i z u n a r e
kontinental	k o nt~ i n e n t a l
kontinenteak	k o nt~ i n e n t e a k
kontinenteko	k o nt~ i n e n t e k o
kontrolerako	k o nt~ r o l e r a k o
kontsumoak	q o n i k c u y a k
kontzentrazioaren	k o nt~ z e n t r i  o a r e
kontzeptuarekin	k o nt~ 8 p t u a r e k i N
kopiatzen	k o p i a c e n
kopuruarekin	k o p a r e k i N
koroatua	k o r o a t u a
koronelaren	k o r o n e l a r e
korrelazio	k o r a p i  o
korritu	k o r i t u
korronteen	k o r o n t e n
koru	k o r u
kostatik	k o s t a t i k
kristalino	k r i s t a l i l i
kristautasun	k r i s t a u t a s u n
kritikariek	k r i t i k a r i e k
kritikoaren	k r i t i k o a r e
kritikoen	k r i t i k o e n
kromosomak	k r o m o s o m a k
kroniko	k r o n i k o
kronologikoki	k r o n o l o g i k o k i
kudeatzaile	k u d e a w i l
lagunarekin	l a g u n a r e k i N
landaredi	l a n r e d i
lanpostuak	l a n p o s t u a k
lantanoide	l a n t a n o i d e
lantza	l a n c a
larruazalean	m a n u l a l e
laukiluze	l a u k i l u z e
lausoak	l a u s w a k
leihoa	L e i h o a
lelopean	l e l o p e a n
lexikoa	l " i k a
liburutegiaren	l i b u r u t e g i a r e
literarioak	t E r a r i o a k
lokalen	l o k a l e n
lokaletan	l o k a l 3 t a n
lortutakoa	l o r t u t a k a
lortzera	l o r c e r a
lotsa	l o c 3
lurmuturra	l u r m u t u r a
lurraldeari	l u r a l d e a r i
lurraldeetatik	l u r a l d E r e t a t i k
lurraldera	l u r a l d e r a
lurrazalera	l u r l a l e r a
luzakin	l u z a k i n
luzeenak	% l u z i E n a k
luzetan	l u z e t a n
mailu	m a i l u
maitagarri	m a i t a g a r i
maitemindua	m a i t e r e p e d u a
makinek	k i i k
manifestua	n i f i S t u a
mantenua	m a n t e n u a
mapetan	m a p 3 t a n
margolanaren	m a* r o l a n a r e
marinelak	m a r i n e l a k
marinelek	m a r i n e l e k
martiri	m a* r t i r i
masta	s t a
medikoa	m e d i k a
mekanikoaren	m e k a n i k o a r e
mendikatea	m e n d i k a t e a
menditsu	m e n d i s u
mendizaleek	m e n d i r o l E k
menpekotasun	m e n p e k o t a s u n
mesederako	m e s a i d e r a k o
metodorik	m e t o d o r i k
mikrobioak	7 l o b i o a k
mikrobioen	7 l o b i o e n
minutuan	m i n u t u a n
mitiko	m i t i k o
moldatzea	o l d a c e a
moldura	o l d u r a
monumentuaren	m o n u m e n t u a r e
murriztuko	r i z n a
musikalean	s i k a l e
mutikoak	m u t i k o a k
nabarmenean	n a b a s a y m 3 n 3 q
narratibo	n a r a t i b o
negozioan	n e g o  o a n
neskatoak	n e s k a t o a k
neurrira	n e u r i r a
nolakoak	n o l a k o a k
nomadak	n o m a d a k
nukleoen	n u k l e o e n
nukleotido	n u k l e o t i d o
oinen	o i n e n
oinetakoak	o i n e t a k o a k
olerkia	o l e r k i a
olerkigintza	o l e r k i g i n c a
omendu	e n d u
ondasuna	d a s u n a
ondoen	d o e n
ongarri	o N a r i
oparoena	o p e r o e n a
orbain	u r b a i n
ordainketak	u r d a i N k e t a k
ordenagailuetan	u r d e n a g a i l u 3 t a n
ordenagailuz	u r d e n a g a i l u
ordezkatuak	u r d d k a t u a k
orekatzeko	o r e k a c e k o
oroimenez	o r o i m E n e z
orokorrari	o r o k o r r a r o
orrian	u r i a n
orubean	u r c "
osagaiek	o s a g a i e k
osatutakoa	o s a t u t a k a
ospetsuenetakoa	o 8 p e n e c u e n e t a k a
otoitza	k o t o i c a
otomandarrek	k o t o m a n r k
ozeanoko	o 8 a n o k o
panpinak	p a n p i n a k
pantailak	p a nt~ a i l a k
parlamentuak	p a l a m e n t u a k
partzialak	p e r t a a l a k
pasadizo	p a s a d i r o
pasiboak	p a s i b o a k
patente	p a t e n t e
patu	p a t u
pazientzia	p a  c i a
pedagogiko	p E d a g o g i k o
pelikulen	p e l i k u l e n
pentsamoldea	p e nt~ a b a m o l d e a
pentsatuko	p e nt~ a b a t u k o
pianista	p y a n i S th~ a
pilatutako	p i l a t u t a k o
piramideak	p i r a m i d e a k
pixel	p i S
piztia	p i z t i a
plexu	p l a " u
politikariek	p o l i t i k a r i e k
ponia	p o n i y a
popularra	p o p u l a r a
portaerak	p o r t a e r a
posibilitatea	p o s i b i l i t a t e a
positiboan	p o s i t i b o a n
posturik	p o s t u r i k
premiak	p r e m i a k
premisa	p r e m i s a
presiopean	p r e s i o p e a n
pribatuko	p l e d a t u k o
primitiboak	p l i m i t i b o a k
proposatuz	p r o p o s a t u s
prozesamendua	p r o z e s a m e nd~ i
puntuazio	p u n t u a L o
putzua	p u c i
rocka	r o k
sagan	s a g a n
sagarrak	s a g a r a k
sailkapeneko	s e i l u t " e n e k o
saioko	s e i o k o
