an 	a n
motivéierten	m o t i v e i e r t e n
muenchmol	m u e n C m o l
musizéieren	s i z E i e r e n
nick	n i C
nierwt	n i e r w
niveau	n i v e a u
nordkoreanesche	n o r d k o r e a n e s C e
nostinn	n o s t i n n
ofhale	o p h a l e
ofrappen	o f r a p p e n
ofschléisse	o f S l e i s s e
onbedenklech	o b e d e Nkw$ l E C
one	o 7
oniwwersiichtlech	a w w e r  i C L n
onlogesch	o l a l i g e S
onnéidege	o n e i d e g e
ontransparent	o t r i s p a d e
opgehaange	o p g e h a n a N a
opgelueden	o p g e l u e d e n
opschaffen	o p S f e n
optional	a t i o n a l
paralell	p a r a l e l o
part	p e r t
performanten	p e r f o r m a n t e n
populistesche	p o p u l i s t e s C e
portraitéiert	p o r tr~ a i t e 7 i e r
prekärer	p r e k 3 r e r
provokant	p r o v o k i
quel	k e l
rationell	r a t i o n 3 "
reparéieren	r e p a r e i e r e n
reparéiert	r e p a r e i e r
revendiquéiert	b e b e n d i k e i e r
riet	r i e t
rouegt	r o u e g
réng	r e n
scheiner	S E i n 3 q
schleefe	S l e f e
schloofen	S nd~ o f e n
schäerfen	S 3 e r f e n
seriöe	s e r i o e
signifikativ	s i g n i f i k a t i
skandaléis	s k a nd~ a r e i s
skandinavesche	s k a n d i n a b e s C e
solitaire	s o l i t a i r
stousse	s t o u s s e
streamen	s t r e a m e n
strukturéierten	s t r u k t u r e i e r t e n
surrealistesch	s u r  a l i s t i S
symboliséieren	s i m b o l i s e i e r e n
séi	s e i
séin	s e i n
tick	t i k
titel	t i t e l
täuschen	t 3 S E N
ubelangt	u b e l a N
uerge	u e r g e
ukrainesch	u k r a i n i S
unhat	u z a t
unzëerkennen	u n z 3 e r k 3 n e n
urifft	u r i f
uschleissen	u s k L e i s e n
verléiren	e r l e i r
virenthalen	v i r  8 a l e n
virgedroe	v i r g e d r o e
weiderbréngen	w e i d i n b r e n g 3 n
weiderleeden	w e i d i n l e n d e n
weiderschaffen	w e i d e r S f e n
weitem	w e i t e m
widderstoen	w i d a s t o 7 o n
wirkléch	w i r a k l e
wäers	w 3 e r
zeréckgewisen	z e r e S k g e w i e n
zesummegeholl	z e s u m e g e h o l o
zesummeliewen	z e s u m e l i e u e n
zougefouert	z o u g e f o u e r
zougeschnidden	z o u g 3 s C n i d a e n
zougetraut	z o u g e t r a u t
zoustemmen	z o u s t a m
zoutreffen	z o u t r e f e n
zouzegestoen	z o u z e g 3 s t o 7 o n
zweschend	z e z i S
zäitgenësseschen	z 3 i t   7 e S E N
Ähnleches	hn~ l e C e i
Ënnerwäsch	a n n e r w 3 S
Ënsber	s k
éichten	e i C t e n
ënnerenee	3 n n e r e n i
ënnergoen	3 n n e r g o e n
ënnerschätzt	3 n n e r s Ch~ a c
ënnerwerfen	3 n n e r w e r f e n
Aarbechtsaccidenter	a r G C c a k i d e n t e r
Abousse	b o u s s e
Aboussen	b o u s e n
Abstraktioun	b s t r a k t o u n
Achsen	C e n
Aleedung	l e n d u N
Altwies	l t w k
Ammermüller	m e r m l l e r
Andalusien	nd~ a r u s e i
Aneschters	n e S t E a
Annalena	l e n a
Annette	a n n e t
Antarktis	nt~ a r i s
Apostel	p o s t e l
Apparaten	p p a r a t e n
Apport	p p o r
Asti	s t i
Astronaut	s t r o n a u t
Astronauten	s t r o n a e r o k
Asylrecht	s u y a t
Athus	th~ u s
Atomstroum	t o m u z a u m
Atouten	t o e r o k
Auditoire	u d i t o i r
Auf	u f
Ausgank	u s  n
Ausschnëtter	u s S  t t e r
Aën	a n
Bahn	a h n
Bahrain	a h r a i n
Bang	a N
Banquier	a* k i e r
Bauerenhäff	a u e r e n ph~ 3  f
Behind	e h i n d
Beliichtungen	e l i C t u N 3 n
Beliichtungszait	e l i C t u N s z a i t
Beschreiwunge	3 S r s u N a
Beschëlderung	3 S 3 l d e r u N
Bewonnerung	e w o n n e r u N
Bezierkscomité	a  e r k s k o m i t e 7
Bicherbuttek	i C e r t t e k
Bikini	3 k 3 5 i p e
Bim	i m
Blood	l o d
Blosen	l o s e n
Bluetooth	l u e t o a
Botzfra	t o nk~ f r a
Broschüren	r o s C 3 t a 7 i r e n
Bâtiment	a t i k m E n t
Bäbbi	3 b b i
Bénévolat	ky~ e v o l a t
Büroe	3 r o e
Caféë	a f e 3
Calais	a l a i s
Care	a r e
Carmen	a r m e n
Castro	a s t r o
Chaussures	h a u s s u r e
Check	h e k
Chinese	h i n e s e
Christ	h r i s
Chèques	k  s o X
Civile	i v i l e
Cotter	o t t e r
Countdown	o N t d o w n
Danny	a n 5
Darts	a r c
Debaten	e b a t e n
Delegatiounen	E l E g a t i o u n e n
Delosch	e l o S
Denkustéiss	t o m u s t e i s
Determinatioun	e t e r m i n a t i o u n
Diir	u i a
Direkteren	i r e k t E r E n
Doktorat	o k t o r a t
Donkel	o nk ~
Duerffest	u e r f a* 7
Déifferdéng	e i f e r d 3 7 N
Déiljen	e i l x e n
Démare	e m a r e
Eekel	e k
Eewäiss	e w 3 i s
Ekologie	k o l o g i e
Elterenhaus	l t e r e n a u s
Energiewend	n e r g i e w e n
Englesche	N l e s C e
Entree	t r e
Erausfuederung	r a u s pw~ e d e r u N
Erkrankungen	r k p a p a  3 n
Europaspiller	u r o p a s p i l l e r
Europawale	u r o p a w a l e
Européens	r u a z e
Exekutioun	f e k u t i o u n
Faarwtéin	a r w n i n
Fatalitéit	a t a l i t e i t
Felge	e l g e
Filmgeschicht	i l hwy$ e s C i t
Financial	s a m a i a l
Flütt	l i
Forever	o r e v e r i
Formatiounsinstituter	o r m a t i o n m i a  s t i t u t e r
Forster	u r s t e r e n
Fotoë	k o t o 3
Fraerot	r a e r o t
Frontex	r o n t E 7
Fuarwen	u a r w e n
Fuerschungsinstitut	u e r S u N s s t i t u t
Fuesend	u o w o d
Fuglsang	u L s a N
Furen	u r E n
Gaby	a b "
Gaspar	a s p a r
Gebailechkeete	e b a i l e C k e 7 e t e
Gegrills	g r e l l
Geheit	e h e i t
Gelhausen	e l a u s e n
Gentechnik	e n t e C n i k
Gesamtbudget	e s a m d b u d k
Gewier	e w i e r
Ghost	h o s
Giff	f f
Give	i v E
Grammys	r a m y
Grieser	e s e r
Grip	r i p
Grondwaasser	r o n d w a n i e r
Guido	k i d o
Gustave	u s t a b e
Haaptstied	a s u s t i 3 d
Haaptsëtz	a p t o c
Haaptthema	a p t th~ 3 m a
Hank	n
Hanks	a n k
Hannah	a n n 3 h
Harel	a r e l
Hautkriibs	a u t k r i b
Haydn	a y d n
Headliner	e a d l i n 3 q
Hellinghausen	e ly~ i N a u s e n
Henriette	e n r i e t
Heringer	r i N e r
Herrlechkeet	e r l e C k a
Herrschaften	e r s C a f t e n
Hesperange	e s p e r a N a
Hesse	e s s e
Huewer	u e w e r
Idealismus	d e a l i s m u s
Impôt	p t
Infektiounsrisiko	n f k t o u s r i s i k o
Integratiounspolitik	t e g r a t i o u s p o l i t i k
Investmentfongen	n v a* 7 m e n t f o N 3 n
Joresrapport	o r e s r a p p o r
Jugendpompjeeën	t u g e n d p o m p j E k a n
Kampagne	a m a j
Kapen	a p e n
Kenosha	e n o s a
Keyboard	e y b o a r d
Kilometeren	i l o m e t e r e n
Kollegin	o l l e g i n
Kongresser	o N r e s e r
Kontaktlënsen	o* t a k L 3 n e n
Kontaminatioun	o* t a m i n a t i o u n
Konzil	n z i l
Kooperativ	o p e r a t i
Krimien	l i m i e n
Krisenzäit	r i s e n z 3 i t
Kuelenhydrater	u e l e c dr~ a t e r
Kutsch	u t S
Kyoto	y o t o
Kënn	3 n n
Lakers	a k e r
Landa	a n d a
Landstrooss	a n d s t r o s
Leadership	e a d i n S i p
Leet	o t a x a
Libesgeschicht	i b e s g 3 s C i t
Liewesqualitéit	i e w e s kw~ a l i t e i t
Linguistik	i n g i s t i k
Literaturzeen	i t E r a t u L a n
Loftwaff	o f tw~ a f
Longen	o N 3 n
Luxinnovation	S i 7 i ny~ n o w a t i o n 3
Maggele	y g e l e
Markiewicz	a r k i e w i k
Mathematiker	a th~ e m a t i k a r
Mechanissem	e T a n i 7 e m
Meeschterwierker	e S t E a % e r k a r
Memphis	3 mp~ i s
Mikrofinanz	i k r o f i n nz~ i
Mindestalter	i n d e s t a l t e r
Mona	o n a
Mueller	 e r
Muerten	u e r t e n
Museken	u s e k e n
Museksvideo	u s e k s i b o
Muséker	u s hy~ e
Mëttelfristeg	3 kw~ a u l f r i S t a
Nairo	a i r o
Nantes	a n c i
Nationalitéite	a t i o n a l i t e i t e
Navetten	E b e t
Navigator	a b i g a t o r
Negociatiounen	e g o k a t i o u n e n
Neierdéngs	e i e r d 3 7 N
Nervenzellen	e r f e n z e l l e n
Neuens	u
Nikola	i k i
Nische	i s C e
Nothum	o th~ u m
Nouspelter	o u s p e l t e r
Nutriscore	u t r i s k o r e
Ofwier	f w i e r
Olga	l g a
Olm	l m
Onkloer	k o e r
Onkloerheeten	k o e r h e e t e n
Onschold	s C o l
Optrieden	p t r i e d e n
Orchesteren	r x 3 S t E r E n
Orleans	r l e a*
Ouren	u r E n
Over	v e r i
Pafendaller	a f e n y e z l e r
Palästinenser	a l 3 s t i n e n e r
Parrainage	a r a i n a g e
Parverband	a r e r b a nd~
Passen	n i e n
Passé	n i
Patréinesch	a t r e i n i S
Patton	a t t o n
Phila	h i l a
Piron	i r o n
Pistoul	i s t o u l
Plaffong	l a f o N
Plaintë	l a i t 3
Portemonni	u r t e m o* n i
Projekt	t o n o x e k
Prominenz	r o m i n i N
Propriété	r o mb~ e ry~ e a
Père	e
Queesch	k i k " i S
Quot	u o t o
Range	l e a
Reanimatioun	e a n i m a t i o u n
Regierungsvertrieder	g i e r u N s e r t r i e d e r
Reiler	e i l e r
Rekordzäit	e k o r c 3 i t
Rentesystem	e n t e s y s t e m
Reprochë	a p r o C 3
Retsch	e t S
Revelatiounen	u s k u a t i o u n e n
Rondel	d e l
Roughmix	o u x m i S
Réckstänn	e S k s t 3 n n
Sammelklo	a m e l k l o
Sara	a r a
Saturn	a t u n
Save	a b e
Schafft	C a f
Scheckiwwerreechung	C e k p a w e r e C u N
Schmatt	C m a t
Schoultransport	C o l t r i s p o r
Schoulvakanz	C o l v a k a n c i
Schoulwee	C o u l u a
Schëllege	C E ly~ l e g e
Schülertransport	C k e l e r tr~ a s p o r
Seil	e i l
Seniore	e n i o r e
Shepherd	h e p i* d
Singlecharts	i N l e p i t
Skupin	k u p i n
Smartphones	m a* r t f o n i
Snack	n a k
Solutioune	o l u t i o u n e
Sourcë	o u r k 3
Sozialaarbechter	o  a l a r G t E r
Sportlycée	p o r L S e k a j
Sportshalen	p o r Ch~ a l e n
Sportsveräiner	p o r c e r 3 i n 3 q
Staater	t a t e r
Steemetzer	% t e m e t 8 e
Stolkonzern	t o l k o r i ly~ n
Streams	t r e a m
Strenz	t r e n z
Stroumproduktioun	t r o u m p r o C u k t o u n
Stäerkte	t 3 E a X t e
Sympathisante	y mp~ a th~ i s a n t e
Sécherheetsmoossnamen	e S e r h i* c d i 7 n a m e n
Sëtzpositioun	3 c p o s i t i o u n
Telefonsgespréich	e l e f o s g 3 s p r e i C
Theaterplaz	h e a t e r p l a n i n
Theodor	h e o d o r
Thérèse	h y e s e
Timberen	i m b e r e n
Toilettepabeier	o l  p a b e i e r
Toskana	o s k a n a
Traffic	r a f f i k
Tropestuerm	r o p e s t u e r m
Ugefouert	g e f o u e r
Umelle	m e l
Unhaltspunkt	h a l c d o m a
Unplugged	n p k e g 3 d
Upcycling	p Ty~ k l i N
Upgrade	p b o ch~ d e
Urbex	r b e 7
Urecht	r E C i
Usammlung	s a m l u N
Vakanzenzäit	a k a n z e n z 3 i t
Valentin	a l e n t i n
Valverde	a l e r d e
Valérie	a l y i e
Verdeedegungsministère	e r d e n d e g u N s m i n i S th~ e
Verfassungstext	e r y 7 u N s t "
Verfilmung	e r u k a C m u N
Veronsécherung	i d o s e S e r u N
Verschäerfung	e r s Ch~ a e r u Ng~ o th~
Verstinn	e r s t i n n
Veräinsliewen	e r 3 nsw$ i l i e u e n
Vinyl	i n y
Virfaren	i r f a r e
Virsëtzende	i r o c e n d e
Virtual	i r t u a l
Vollgas	o L x a s
Waasserleitung	a s e r l e i t u N
Waasserqualitéit	a s e r q u a l i t e i t
Waasserversuergung	a s e r e r s u e r g u N
Wanterpaus	a n t E r p a u s
Was	a s
Wirtschaftlech	i r c C a f L n
Woumat	o u m a t
Wëld	3 l
Zynismus	y n i S m u s
Zäregaser	3 r e g a s u r
Zéif	e i f i
Zënssaz	3 n 7 a z
afält	a f 3 t a s
agefaange	a g a y l e a
aloggen	a l o g g 3 n
anecht	i t
anonymiséiert	a n o n m i s e i e r
anstännege	s t 3 n n e g e
aplangen	a p l a n g 3 n
auseneen	a u s e n e n
ausféierleche	a u s o f o k i r xy~ E kw~ i n
ausgedoen	a u s g e d o e n
ausgeschott	a u s g 3 s C o t t e
ausgläiche	a u s L 3 i C e
ausschléisst	a u s S l e i 7
austoben	a u s t o b e n
automatiséiert	a u t o m a t i s e i e r
bedeitendsten	b e d e i s t e i n
befonnt	b e f o n a 5 a
beléifter	b e l e i f i t e r e n
beoptragt	b e a t r a g
beriicht	b E i C
berüümten	b E a s m 3 t e n
beurteelen	b e o r d u e l e n
bewege	b e w e g e
bewonnere	b e w o n n e r e
bezeien	b e z e i e n
bezüglech	b e z 3 L n
beäntwerte	b e a* d t w e r t e
biologesche	b i o l o g 3 s C e
bluddegen	b l u d e g 3 n
bléien	b l e i e n
blénken	b l ky~ k e n
béiss	b e i s
bësseg	b e s e
charakteristesch	C a r a k t E r i s t i S
chronologesch	C r o n o l o g e S
chère	C e
coeur	k o e u r
comptes	k o m p t e
dermatt	d e r m a t
designéierte	d e s i N n i e i e r t e
diversifizéieren	d i e r   z E i e r e n
dropleeën	d r o p l e a n
duerchgeholl	d u i l l g e h o l o
duerchschnëttleche	d u i l l S  t L e 5
défense	d e f s e
déne	d ky~ e
ememr	E m E m r
erausliesen	e r a u s l i e s e n
erbruecht	e r b r u e t
erfir	e r f i r
ergoe	e r g o e
erlidden	e r l i d a e n
ernannte	E a n a nt~ e
erofgefuer	e r o f  pw~ e r
erschaffen	e r S f e n
eskaléiert	p i p 3 l 3 m l e i e r
facebook	f a k r o k
femmes	f a m
fetteg	f e t t e
fi	f i
flecken	f l e k k e n
flottes	f l o th~ m 3 s
fortzelafen	f o r c e l a f e n
franséischem	f r i s e i S E m
fräigeschalt	f r 3 i g 3 s p i h
frëndlechem	f r 3 n d l e C e i m
gebuerge	g e b u e r g e
gedd	g e d
gefréckelt	g e f r e k n z a g u r
gemobbt	g e m o b w
gerénge	g e r e n g e
geschwuer	g e S  w i a
gespigelt	g e s p i g e l
gespillte	g e s p i l l t e
gestuel	g e s t
gewandert	g e w a d i n
gewéinleche	g e wy~ i n l e 5
glaten	g l a t e n
goes	g o s
gäere	g 3 e r e
géréiert	g e r 7 n i e r
heinsto	h e  s t o
heller	h e l l e r
hescht	h e s t
hinhuelen	h i n w e l e n
houngen	h o u N 3 n
huës	w 3
iergendwa	i e r g e n dw$ a
immenst	i m e n s d a
impfe	i m p f e
informatesche	i n f o r m a t e s C e
invasiv	i n b E s i b E
irakesch	i r a k e S
iwwerlaf	i w w e r l a f
jeweilegen	h e w e i l E g E n
jidferengem	h i d f e r e N e m
kan	k a n
kapitalistesche	k a p i t a l i s t e s C e
knallhaart	k n a ly~ a r
kompetenter	m i p e t e n t e r
krimineller	k r i m i n e l l e r
kréit	k r e i t
libescher	b e S E r
lusch	l u S
manuellen	m a n u e l l e n
materiellen	m a t e r i e l l e n
mathale	m a t a l e
meint	m e i nt~
mierks	m i e r k
mixte	m i S
ml	m l
more	m o r e
multinationale	l t i n a t i o n a l e
myenergy	my~ e* N a rx~
natiirléch	n a t i s E kw~ e
negociéieren	n e g o m e T i e i e r e n
nerveg	n e r p e m u a
nuklearen	n u k l e a r e
nächstem	n 3 C s t e m
ofschléisst	o f S l e i 7
ofwieren	a i e r e n
onberéiert	o k e i e r
onerwënscht	n e r w e Th~ t
onmëssverständlech	o k i S 7 e r s t 3 nd~ l E C
onopfälleg	n o p f 3 l l a
opderschmelz	o p d e r S m e l
opgemeet	o p b i g o o t a x a
ophunn	o ph~ u n n
ops	o p
opsteet	o p s t a
optiméieren	o p t i c p a u i e r e n
opweise	o p w e i s e
participativ	p e r t i k i p a t i
passéiren	p a s  i r
pluriannuelle	p l u r i a n
populisteschen	p o p u l i s t e S E N
portrait	p o r tr~ a i t
programmatesch	p r o g r a m r a i S
propperer	p a z p e r a r
provisorescht	p r o i s o r e s t
publiques	p u b l i k e
quitte	k i t t e
rational	r a t i o n a l
realisteschen	r e a l i s t e S E N
reenerege	h r e n e r e
regelrechte	r e  l a t e
relatif	r e l a t i f
renger	r E N E r
responsable	r e s p o i r a r u w l e
reusséiert	r E u s  i e r
räicht	r 3 i t
saat	s a t
salarial	s a l a r i a l
schaarfen	S a r f e n
scheine	S E i n e
schoulescher	S o l e S E r
schrëftlecher	S r e f L e C e i r
schwieren	S % e r e n
sol	s o l
sondern	s o n d i n
sous	s o u s
speziel	s p a
sportif	s p o r t i f
spéciale	s p e i a l e
strenger	s t r e N e r
stëmmungsvoll	s t 3 m u N s v o l o
syreschen	s 3 r e S E N
séit	s e i t
thema	th~ e m 3 a
tonnen	t o n n e n
topeg	t o p e
toxesch	t o f e S
traumatesch	tr~ a u m a t e S
uergen	u e r g 3 n
ugeluechte	t u g e l u e t e
ugewuess	t u g e u e s
ukrainesche	u k r a i n e s C e
uleet	u l a
uniform	u n i h m
unzewennen	u n z e w 3 n e n
upake	u p a k e
ustrengenden	u s t r e N e n d e n
verfält	e r f 3 t a s
verhaange	e r a n g e
verschléckt	e r S l e S k
verstréckt	e r u z e S k
verstäerkten	e r s t 3 a
verwëscht	e r w e s t
virugefouert	v i r u g e f o u e r
virzewerfen	v i r 8 w e r f e n
viséieren	v i s e i e r e n
voire	v o i r
vreckt	v r E C k
weil	w e i l
weint	w e i nt~
welch	w e l
weltbekannte	w e l t b e k a n nt~ e
wiekleg	w k b l a
wollts	w o L c
wonnerschéint	w o n n e r S e i nt~
woubei	w o u b e i
wäsche	w 3 s C e
wéigedoen	wy~ i g e d o e n
zeréckgeschéckt	z e r e S k g 3 s C e S k
zouleeën	z o l e a n
zueleméisseg	z u e l e m u s e
zäitlos	z 3 i L o s
Äisbier	i s a r
Äishockey	i S o k k u y
Ärzte	L t e
Éieregaascht	i e r e g a s o t
Équipen	k i p e n
Ëffnungszäite	f n u N s z 3 i t e
Ënnerorganisatiounen	a n n e r o r g a n i s a t i o u n e n
éierbar	e i e r b a r
éierlechen	e i e r l e C e i n
éiwegen	e w e g 3 n
ëmgefall	m  b o l
ëmt	m
ënnergruewen	3 n n e r g r u e u e n
ënnermoolt	3 n n e r m o l
Abbey	b w 7y~
Acquisitioun	k k i s i t i o u n
Acts	k c
Aire	i r
Airtramp	i r tr~ a m
Aktiounskomitee	k t o u s k o m i t e r i
Aroma	r o m a
Assuré	a d a u r e
Athlete	th~ l e t e
Atomkraaftwierker	t o m k r a a a f tw~ i e r k a r
Atomprogramm	t o m p r o g r a m 3 n
Ausenanersetzunge	u s e n a n e r e c o N a
Ausernanersetzungen	u s E r n a n e r e c 3 n
Ausnamefäll	u s n a m e f 3 l o
Aussergewéinlech	u s e r g e wy~ i n l E C
Ausserhalb	u s e r l o
Automatismus	u t o m a t i s m u s
Baguette	g u e t
Banannen	a n a n e n
Baussewelt	a u s e w e l
Bauterrainen	a u t e r a i n e n
Bauwierk	a u w i e r
Bearbeschtung	e a r b e S t u N
Benotzernumm	e n o t r i ly~ S E w
Bezeechnunge	d e C n u N a
Biblio	i b l i o
Bir	i r
Bleiwt	L e i w
Bobby	o b b i e
Bonnevoie	o n e v o i e
Boonen	o n e n
Bopebistro	o p e  s t r o
Boucle	o u k l e
Boule	o l e
Brett	r e t
Bulle	u l
Bénéfice	ky~ e f i k e
Bëssen	e s e n
Cape	a p e
Celsus	e l u s
Challengen	h a l l 3 N 3 n
Chief	hy~ e f
Chrëschtmäert	h r e S t m 3 e r
Cie	i e
Civitanova	i v i t a n o v a
Classics	l a s s i k s
Collection	o l l e k t i o n 3
Concertssäll	o z i r c s l o
Conciliatioun	o i l i a t i o u n
Conseilspresident	o* s i r l s p r e s i d e n t
Consolatrix	o s o l a t r i S
Control	o t r o l
Cotisatioune	o t i s a t i o u n e
Crime	l i m e
Daubenfeld	a u b e n m a n u l
Debakel	e b a k e l
Debussy	e s
Dechen	e C e i n
Delta	e l t a
Desinformatioun	e s i n f o r m a t i o u n
Disque	m i s kw~ i
Dorobber	o r o b k
Dosenden	o s e n d e n
Dotatioun	o t a t i o u n
Doudesfall	o u d e s b o l
Doudesstrof	o u d e s u z
Doum	o u m
Dous	u
Droot	r o u t
Drotiesel	r o t i E s
Drénglechkeetssëtzung	r e n g l e C k e c o c u N
Däitlech	3 i L n
Déierenaarten	e i e r e n a r t e n
Déierewelt	e i e r a w e l
Edith	d i
Educatrice	d u k a i cy~ e
English	N l i S
Entloossunge	t o s o N a
Entréeën	t r o k u i a n
Enzyklika	cy~ y k l i k a
Eppelduerf	p p e l d u e r f
Erkältung	r k 3 l t u N
Erzielunge	r  e l u N a
EuGH	u
Evo	v o
Exemplar	S 3 mp~ l a r
Fabia	a b i a
Fabien	a b i e n
Faibel	i b e l
Feit	a i
Feitler	e i L e r
Ferdinand	e r d i n a
Festland	e s t l a N
Fiduciaire	d u k a i r
Filtrage	i l tr~ a g e
Finalisten	i n a l i s t e i n
Finallen	i n a l l e n
Finanztransaktiounssteier	i n a n c~ tr~ a s a k t o u s S t a i e r
Formuléierung	u r l e i e r u N
Foster	o s t e r e n
Fotoshooting	k o t o S  o t i N
Foyere	o y e r e
FragenLandwirtschaft	r a g e n a d w i r a c C a f
Franséischer	r a s e i S E r
Fraude	r a u d e
Freud	r E u d
Friemenhaass	r i E m E n h a s o
Fräibéier	r 3 i b i e r
Fuck	u C
Fuesvakanz	u e s v a k a n c i
Gaul	a u l
Gaye	a y e
Gemengewale	e m e N e w a l e
Gemitt	e m i t
Gesamtfläch	e s a m d f l 3
Gesamtheet	e s a m 3 th~ i
Geschichtsschreiwung	e s C i C c S r s u N
Gesetzesentworf	e s a i c o w o t e* f
Gesondheetskommissioun	e s o nd~ h i* c k o m m i s s i o u n
Giacomo	i a k o m o
Giele	i e l e
Gimp	i m p
Glasgow	l a s g o
Grafiken	r a f i k e n
Greis	r e i s
Grondgesetz	r o n d g 3 s e c
Grott	r o t
Grousst	r o u s s d a
Gäns	a* d
Handke	a nd~ k e
Haten	a t e n
Heemer	e a m e
Helsem	e l s e m a
Hierstellung	i e r s t e l l l u N
Hiewanen	i e w a n e n
Hindernis	i d i n n i s
Holding	o l d i N
Homo	o m o
Honduras	d u r a s
Hugh	u 3 x
Hunt	u n t
Hypothees	3 p o t x e s
Héichschoulministère	e i C s C o l m i n i S th~ e
Hëtztwell	3 c tw~ "
Independent	d e p e n d e n t
Inspekteren	s p e k t E r E n
Installatioune	s t a l l a t i o u n e
Instanze	s t a n z e
Interessenten	t e r e s e n t e n
Iwwersetzunge	w w e r e c o N a
Iwwerzeegunge	w w e L a g u N a
Jardins	a r Z u
Joreswiessel	o r e s % 3 s a
Jupp	u p p
Kairo	a i r o
Keelen	e l e n
Kellen	e l l e n
Kinnekshaus	i n t Nw~ S a u s
Kniddelen	n i d a e l e n
Kompensatiounsfong	i m p e s a t i o u s f o N
Komplimenter	i m p l i m e n t e r
Konjunkturpak	o k " a N kp~ i t u r e t a N i
Konkuer	o nk ~ i a
Konverter	o e r t e r
Kreta	r e t a
Krisemanagement	r i s e m a n a g E m E n t
Kulturgeschicht	u l t u r g 3 s C i t
Käre	r i e a
Lafe	a f e
Landjugendgrupp	a n d h u g e n d g a m p
