on 	o n
passiivset	p a s s i Ng~ e e t
patuste	p a t u s t e
paugupealt	p a u g u b e a l t a s
peaeesmärgiks	p e a e s m 3 r g i k
peakonsulaadi	p e a k o* r e p e n a a d i
pealiku	p e a l i k u
pealinnale	p e a l i n t a l e
pealtvaatajaks	p e a l t v a t a k
peatreenerile	p e a t h r e n e r e l e
peatudes	p e a t u d e
pedagoogiline	p E d a  o g i l i n e
peenikest	p e k a* 7
peenraha	p e r a h a
pehmete	p e h w i t a b 3
pensioniikka	p e ns~ i o n i k
peolt	p e o l
perekondades	p e r e k o n d a d e
perekondlikel	p e r e k o n d l i k e l
peresuhted	p e r e s o k i 3 d
perioodiliselt	p e r i d i l a s l 3
pesumaja	p e S u m a h a
petised	p e t i s 3 d
pidamisega	p i d a m i s e N a
pidulikel	a t o l i k e l
pidulisi	a t o l i s i
pidurdunud	a t u r d u n u d
pidustusi	a t u s t u s i
pihtis	p i t t i s
piimakombinaadi	p i i m a k o mb~ i n a d i
piimatootjate	p i i m a t o t j a t e
piirarvu	p i r a r b u
piirduks	p i r l u 7
piirhinna	p i r h i n n a
piirialadel	p i i r i a l a d
piirivalvebüroo	p i i r i v a l e b " a r o
piirivalvet	p i i r i v a l f e d
piiriületus	p i i r i 3 l e t u s
piirkondlikud	p i nd~ l i k u d
pilvisus	p i l v i i u s
pimedatel	p i m e d a t e l
pinki	p i n k i
pisiasjad	s p i s i a s a q
planeeringuga	p l a y i S i n i N u g a
poelettidele	p o e l e t i d e l e
pommiga	p o m m i g a
pommigrupp	p o f a N a m p
populaarseimad	p o p u l a r e i m a d
postkast	p o s t  s d a
postmark	p o s t n a l i m a
praamiliikluse	p r a m i l i i k l u s e
prae	p r a e
praktikate	p r a k t i k a t e s
praostile	p r a o s t a l
presidendikantselei	p r e s i d e n d i k a n c e l e
presidendilossi	p r e s i d e nd~ i l o s s i
pretsedenti	p r  y o l e v e n t i
prisket	p r i s k e t
professionaalsus	p r o f e s s i o n a l u s
professionaalsuse	p r o f e s s i o n a l s u s e
professorite	p r o f e s  r i t e
progressi	p r o g r e s
projekteerimist	p t o n o x e k % t e l i m i s
prokuratuuriga	p r o k u r a t u r i g a
propageerimiseks	p a z y e l i m i s Nw~
protokolliga	p r o t o k o l l i g a
protokollist	p r o t o k o l l i s
psühhiaatrid	p s 3 a t r i d
psüühiliste	p s 3 3 i l i s t e
puhastust	p u a s t u s
puhkekeskuse	p u i k e k e s k u s e
puhkesid	p u i k e s i d
puhkpilliorkestri	p u h kw~ i l l i u r X % r u z i
puhutud	p u h u t u d
pult	p u l
pulti	p u l t i
purjelaeva	p u r r o n o x e l e v a
purskkaevu	p u r s k k a e b u
pussitamises	p u s s i t a m i b e
puududa	p u d u d a
puuvilja	p u i lx~ a
päringuid	p 3 7 r i N o i
päringule	p r i e  g u l e
päringut	p 3 7 r i N u t
pääsemisest	p 3 sx~ C u w o
põdev	p o b
põgene	p o* N g e n e
põgus	p o* N g u s
põhiküsimuseks	p o i k 3 b u p u s Nw~
põhimõtetel	p o i m o* N t e t e l
põhiosas	p o u h a o s a s
põhiseaduslikule	p o u h a s a d u s l i k u l e
põhitegevuse	p o h i t e  b u s e
põhiturniir	p o h i t u r x u i a
põhjendamata	p o h nd~ a m a t a
põhjendamatuks	p o h nd~ a m a t u k
põhjustati	p o h u s t a t i
põldudelt	p o l d u d e l
põliselanikud	p o l a s l 3 a n i k u d
põlisrahvaste	p o C i w r a h v a s t e
põues	p o u e
pööbel	p a t 3 b e l
pöördumisest	p a t 3 o m i s a* 7
pügada	p 3 g a d a
pühakute	p 3 a k u t e
pühendatakse	p 3 h e n d a t a k s e
pühkinud	p 3 i k i n u d
pükstega	p 3 k s t e g a
pürgimist	p 3 r g i m i s
püsides	p 3 s i d e
püsivaks	p 3 s i w a k
püssid	p 3 s s i d
püssiga	p 3 s s i g a
püüdlik	p 3 3 d b u C o
püünele	p 3 i e l e
raamatupood	r a m a t u p o d
raeplatsil	r a e p l a c i l
raev	r a e v
rahakotid	r a h a k o t i d
rahal	r a h a l
rahalisest	r a h a l i s a* 7
rahanappus	r a h a n a p p u s
rahastati	r a h a s t a t i
rahasummat	r a h a s u m m a t
rahuaja	r a w a h a
rahulolematuid	y a w a l o l e m a t u i
rahulolev	y a w a l o l e v
rahuloluks	y a w a l o l u k
rahunema	y a w a n i m a
rahutusi	r a h u t u s i
rahutust	r a h u t u s
rahvaesindajate	r a h v a e s i n d a j a t e
rahvaluule	r a h v a l u l e
rahvusena	r a h  e n a
rahvuslus	r a h b u s l u s
raiskavad	r a i s k a v a d
rajatisi	r a j a t i s i
raju	r a C u
rakenduste	r a k e n d u s t e
rallile	r a ly~ i l e
rangemalt	r a n g 3 m a l t a s
rannaala	r a a l a
rasedus	r a s e d u s
rasketele	r a s k e t e a
rassism	r a s s i s m
ratastega	r a t a s t e g a
ratifitseerimiseks	r a t i f i s E r e r i m i s Nw~
rattamaratoni	r a t m a r a t o n i
raviarst	r a w i a r S
ravinud	r a v i n u d
ravitakse	r a w i t a k s e
realiseerimata	r e a l i s e l i m a t a
reamees	r e a m e s
rebase	r e b a s e
rebaste	r e b a s t e
regulaarsed	r e g u l a s 3 d
regulaarset	r e g u l a s e t
reguleerimiseks	r E 3 r e l i m i s Nw~
reisijatega	r e i s i j a t e g a
reisirongi	r e i s i r o N i
reklaamimine	r e k l o a m i m i n e
rekordarvu	r e k o r d a r b u
relvaäri	r e l v a r i e
remondile	r E m o* d i l e
remontimiseks	r E m o* t i m i s Nw~
renoveerimistööd	r e n o w e l i m i s h a t 3 d
respublikaan	r e s p u b l k a
restruktureerimise	r e s t r u k n h r e l i m i s e
retseptisoovituse	r e t e p t i c a b a n i v i t u s e
revolutsioonist	r E f u p e r i N o n i S th~
riietele	r i e t e a
riietest	r i e t e s
riietusruumi	r i e t u S u k m i
riietusruumis	r i e t u s r u m i s
riietusruumist	r i e t u s r u m i s
riigiametnikele	r i g  a m e t n i k e l e
riigihankeid	r i i g i h a n k e i d
riigijuhtimise	r i g  dy~ u a nth$ i m i s e
riigireform	r i g  r e h m
riigisektori	r i g  z o k t o r i
riigiti	r i i g i t i
riigivisiidil	r i i g i v i s i d i l
riiklikele	r i i k l i n z a g u r r
riiklikes	r i i k l i k e s
riisunud	r i s u n u d
riiuli	r i u l i
rikastavad	r i k a s t a v a d
rikkega	r i k g i g a
rikkumata	r i k k u m a t a
rikutuse	r i k u t u s e
ringkond	r i N k o n d i
rinnus	r i n nd~ u t i a
ripakile	r i p a k i l e
riputatakse	r i p u t a t a k s e
rivaalid	r i v a l i d
rohkematele	r o h k e m a t e a
roller	r o l l e r
rongkäiguga	r o N k 3 i g u g a
roogi	t o n g i
roosid	t o n s i d
rooside	t o n s i d e
ropult	r o p u l
rubriik	r u b r i
rutiin	r u t i i n
rutta	r u t u a n i
ruumidele	r u m i d e l e
räsis	r a e S i s
räägitaks	r 3 g i t a k
rõõmsam	3 o m s a m
rühib	a s i
rühmadesse	a s hm~ a d 3 s a
rünnakuks	r i n a k u k
rünnakutele	r i n a k u t e a
saastatud	s a s t a t u d
saatkonnad	s a t k o
saatmineKOHUTAV	s a t m i n e
saatmisel	s a t C u w e l
saatusekaaslased	s a t u s e k a l a s 3 d
saavutustega	s a a b u t u s t e g a
sabast	s a b s d a
saladuskatte	s a l a d u s k a t t e
salapolitsei	s a l a p o l i 5 u
sanktsioonidele	s a n f i c i o " w i d e l e
sarnasest	s a r n 3 s o a* 7
sattuvad	s a t t u b a d
seadusel	s e a d u s
seekordki	s e Nw~ 3 o k i
seenior	s e n i o r
seiga	s e i g a
seiklustest	s e i k l u s t e s
seintega	s e i t e g a
seisukorrast	s e i s u k o r s d a
seisuses	s e i s e
selgemast	s l 3 k  s d a
sellena	s e l l e n a
sellepeale	s e l l e p e a l e
seltsingu	s e l c i Ng~ u
seltsist	s e l c i s
seltskonnal	s e l c k o* n a l
seostavad	s e o s t a v a d
serveeriti	s e r e e r i k i
shoki	S o k i
sidudes	s i d u d e
sidumist	s i d i m i s
sihivad	s i h i v a d
sihtasutused	s i h t a s u t u s 3 d
sihtmärk	s i h t m 3 r
siili	s i i l i
sikutada	s i k u t a d a
sileda	s i l e d a
silmakirjalikkust	s i l m a k i r q  k k u s
silmapaistvat	s i l m a p a i s t p a t
silmapilk	s i l m o p i l
sinnasamasse	s i n t u sw~ s s e
sisaldaks	s i s a l d a k
sisendab	s i s e n d a b
siseruumidesse	s i s E r u m i d 3 s a
sisserännet	s i s e r a* d n e t
skeemis	s k e m i s
sobivaima	s o b i v a i m a
soditud	s o d i t u d
sokutanud	s o k u t a n u d
solidaarsed	s o l i d a s 3 d
solistide	s o l i s t i d e
soodustamine	s o d u s t a m i n e
soolist	s o l i s
sooritus	s o r i t u s
soosida	s o s i d a
soovitades	s o v i t a d e
soovitusega	s o v i t u s e N a
soovunelm	s o b u n e l m
sorteerida	s o r % t e r i d a
sorteeritud	s o r % t e r i t u d
sotsiaaldemokraatlik	c i a l d e m o k r a r 3 s i g b u C o
spetsiifilised	s p e i u k a C i w 3 d
spordialasid	s p o r dy~ a l a s i d
spordikool	s p o r d i k o l
sportlasena	s p o r L a s e n a
sse	s s e
staatusesse	s t a t u s 3 s a
stalinismi	s t a l i n i S m i
stimuleerida	s t i m u l e e r i d a
strateegiast	s t r a % t e x i s d a
strateegid	s t r a % t e x i d
streigist	s t r e i g i S
struktuurifondidest	s t r u k t u r i f o n d i d a* 7
struktuuriga	s t r u k t u r i g a
struktuurseid	s t r u k t u r e i d
suhkruga	s o k k r u g a
suhtele	s o k i a l e
suitsetajad	s u i 5 u  a q d
suitsetajate	s u i 5 u  a j a t e
sukad	s u k a d
sulama	s u l a m a
summale	s u m m a l e
sund	s u n d
suremas	s u r E m a s i
sust	s u s
suunduma	s u n d u m a
suundumused	s u n d u N s 3 d
suurpankade	s u r p a n k a d e
suurriiki	s u r i k i
suursaadikule	s u r sw~ a d i k u l e
suursündmuseks	s u r s 3 nd~ s Nw~
suurvee	s u r e e
suurvõistlustel	s u r i o i s t l u s t e l
suuskadel	s u s k a d
suvalises	s u b a l i e
suvepuhkuse	s u b e p u i k u s e
suvepäevi	s u e p 3 7 p i r i
säilimisele	s i l i m a s l 3 e
sätivad	s t i v a d
sääraste	s 3 r a s t e
sõbrannadega	s o o* a* n a d e g a
sõbrannat	s o o* a
sõduritel	s o d u r i t e l
sõidule	s o i d u l e
sõimad	s o i k m a d a r
sõitjal	s o i k ty~ a l
sõitke	s o i t k e
sõjaliseks	s o q  s Nw~
sõjaolukorras	s o  l u k o r a s
sõjaväelane	s o j a b 3 e l a n e
sõnavõttude	s n o* n a b n a k t u d e
söögikohtade	s o  g i k o h t a d e
sügavamal	s 3 g a v a m a l
sümfoonia	s 3 m f o
sümptomeid	s 3 m p t o m e i d
sünnis	s i n i s
süstemaatiline	s 3 s t e m a a t i l i n e
süttimisohu	s i t i m i s o h u
süttivad	s i t i v a d
süvendas	s 3 f e n d 3 s
süüdimõistev	s 3 3 d i m o* N i S t E f
süütult	s 3 i b
taastamistööd	t a s t a m i s h a t 3 d
taastuvad	t a s t u b a d
taevariik	t a p i r a r i
tagakiusamise	t a g a k i u s a m i s e
tagandamine	t a g a nd~ a m i n e
tagasihoidlikumaks	t a g a s i h o i d l i k u m a k
tagasimaksmine	t a g a s i m a k S m i n e
tagasisaamise	t a g a s i s a m i s e
tagasisaamiseks	t a g a s i s a m i s Nw~
tagastamatu	t a g a s t a m a t u
tagatiseta	t a g a t i s e t a
tagava	t a g a v a
tagumises	t a g u m i e
tagusel	t a g u s
tahm	t a h m
tahma	t a h m a
taiest	t a i a* 7
taimedele	t a i m e d e l e
taluniku	t a l u n i k u
taluvuse	t a l u b u s e
talveajale	t a l e a j a l e
talvega	t a l b e g a
tantsimine	t a n c i m i n e
tantsitakse	t a n c i t a k s e
tantsutüdrukud	t a n c u t 3 d r u k u d
taotlustest	t a o t L 3  s t e s
taovad	t a o w a d
tapjate	t a p j a t e
tapmised	t a p C u w e d
tarbijahinnad	t a l b i j a h i n t i
targal	t a r g a l
tarkusele	t a r  e l e
tasakaalustamiseks	t a s a k a l u s t a m i s Nw~
tasane	t a s a n e
tavakodanike	t a v a k o d a n i k e
tavatseb	t a v a c e
teadusdirektor	t e a d u s d i r e k t o r
teadustööd	t e a d u s h a t 3 d
teatriga	t e a t r i g a
teemalisi	% t e m o l i s i
teenetemärki	% t e n e t e m 3 r k i
teenindusjaamades	% t e n i d u s j a m a d e
teenistuste	% t e n i S t u s t e
teenistustel	% t e n i S t u s t e l
teeserva	% t e e r v a
tegutseti	t e g u c e t i
tehnikast	t e h " b a s d a
tehnikaülikoolis	t e h n i k a l i k o l i s
tehnoloogiale	t e h n o l o g i a l e
teisipäevase	t e i s i p 3 7 e b E s e
teivashüppes	t a i  a S i p p e 7 e s
tekitamist	t a k i t a m i s
telefonist	t e l e f o n i S th~
telesaadete	t e l e s a a d e t e
telesarja	t e l e s a r j a
telesse	t e l e s s e
tellime	t e ly~ i *
tembeldatud	t e mb~ e l d a t u d
teoloogide	t e o l o g i d e
teostunud	t e o s t u n u d
teravas	t e r a w a s
territoriaalset	t e r i t o r a l e t
terroriakt	t e r ph~ a k
terroriohu	t e r ph~ i o h u
tervitades	t E r v i t a d e
testimise	t e s t i m i s e
testimiseks	t e s t i m i s Nw~
tibid	t i b i d
tigedust	t i g e d u s
tihenenud	t i h i N o n u d
tippaeg	t e p p u i
tippsündmus	t e p p s 3 nd~ m u s
tohutus	t o h u t u s
tohutute	t o h u t u t e
toibunud	t o i b u n u d
toidulaual	t o d u l a u a l
toidupoe	t o d u p o e
toimepanemist	t o i m e p a n i m i s
toimepanija	t o i m e p a n i j a
toimetajale	t o i m e t a j a l e
toimetamisel	t o i m e t a m i s
toimikut	t o m i k u t
toimingut	t o m i N u t
toimisid	t o m i s i d
toimivate	t o m i v a t e
toodame	o d a m e
tooksin	o k s i n
toorest	o r e s
toosama	o s a m a
tootmismahtu	o t m i s k i w
tootsid	o c i d
tosinat	t o s i n a t
trahviühikut	tr~ a h v i 3 i k u t
traktorid	t r a k t o r i d
transpordiamet	i t r i s p o r dy~ a m e t
traumapunktis	tr~ a u m a p u n i s
trendide	t r e n d i d e
trükiseid	tr~ 3 a s i d
tsehhi	c e h
tsunami	c u n a m i
tubliks	t u b l i k
tublim	t u b l i m
tugevnemise	t u x e b n i m i s e
tugiteenuste	t u x i % t e n u s t e
tukkuma	n a k u m a
tulemuslikkus	t u l e m u s l i k k u s
tuletanud	t u l e t a n u d
tulevikuplaanid	t u l e v i k u p l a n i d
tumedate	t u m e d a t e
tummaks	t u m m a k
tundidest	t u n d i d a* 7
tundmatuid	t u nd~ m a t u i
tundmatule	t u nd~ m a t u l e
tundugi	t u n d u g i
tundvate	t u nd~ v a t e
tunnetatud	t u n n e t a t u d
tuntuima	t u n t u i m a
turbakombinaadi	t u r b a k o mb~ i n a d i
turismiliidu	t u r i s m i l i d u
turuosaliste	t u n u o s a l i s t e
turuväärtuse	t u n u b E r t u s e
turuväärtusest	t u n u b E r t u s a* 7
turvamehi	t u r v a m e h i
tutvustamisele	t u t b u s t a m a s l 3 e
tuuleparki	t u l e p a r k i
tuulik	t u l i k
tuulutada	t u l u t a d a
tuumapommi	t u m a p o m m i
tuumiku	t u m i k u
tuvastatakse	t u b E s t a t a k s e
tädid	t a r i d
tähtpäevadel	t E h t i m a p 3 7 p i r a d
tähtsamatest	t E h t i m a % s a m a t e s
täiskasvanule	t 3 s k u r  s v a n u l e
täiskasvanutel	t 3 s k u r  s v a n u t e l
täispikka	t 3 a  k
täistunnil	t 3 i s t u n n i l
täitusid	t 3 i t u s i d
tänapäev	t 3 n a p 3 7 e v
tänaselt	t 3 n a s l 3
tänavani	t 3 n a v a n i
tänujumalateenistus	t 3 n a j i m o l o tw~ e n i S t u s
tõendav	t e m e n d a
tõenditest	t e m e n d i t e s
tõlgendusi	t e m l 3 k  d u s i
tõlkija	t e m l k i j a
tõmbaks	t e m a m b a k
tõrje	t o* r b i e
tõsidusest	t e m i d u s a* 7
tõsisest	t e m s i s a* 7
tööjõuturule	h a t 3 o u t u r u l e
tööstuskaupade	h a t 3 s t u s k a u p a d e
töösuhteid	h a t 3 s o k i a i d
töötukassast	h a t 3 n k a s  s d a
töötundide	h a t 3 t u nd~ i d e
tööturuamet	h a t 3 t i C e
tühimikku	m a n t i m i k k u
tükike	m a n t k i k e
tüliga	t 3 l i g a
tüütab	m a n t i a b "
tüütud	m a n t 3 t u d
ujusid	u h u s i d
ulatuvat	u l a t u p a t
ulualust	u l u a l u s
unenäos	u n e n 3 o s
unest	u n e s
ungari	u N a r i
unikaalset	u n i k a l e t
universum	u n i v e r s u m
usaldades	u s a l d a d e
usaldaks	u s a l d a k
usuteadust	u s u a d u s
uudiskiri	u d i s k i r i
uudistetoimetuse	u d i s t e t o i m e t u s e
uuemate	u e m a t e
uurimisorganite	u r i m i s o r g a n i t e
uurimistöid	u r i m i s t o i d
uusim	u s i m
vaadakem	v a a d a k e m
vabanda	v a b a n d a
vabanema	v a b a n i m a
vabatsooni	v a b a c o n i
vaesekesed	v a e s e k e s 3 d
vagunit	v a g u n i t
vagunite	v a g u n i t e
vaheaegadega	v a h e a g a d e g a
vahendav	v a h e n d a
vahetasime	v a h e t a s i m e
vahetasin	v a h e t a s i n
vahetusel	v a h e t u s
vahistamine	v a h i s t a m i n e
vahtimist	v a th~  m i s
vaibuda	v a i b u d a
vaide	v a i d e
vaidlustamise	v a i d l u s t a m i s e
vaikelu	v a i k e l u
vaikitud	v a i k i t u d
vaiksel	v a i k s
vaimuhaige	n a i n e n i g e
vajakajäämisi	v a k a x 3 m i
vajalikele	v a q  n z a g u r r
valdkonnale	v a l d k o l e
valedele	v a l e d e l e
valitsusjuhiks	v a l i c u s xy~ i k
valitsuskomisjon	v a l i c u s k o C u w cx~ o*
vallandab	v a l l a nd~ a b "
vallutas	v a l u t o s
valmimisele	v a l m i m a s l 3 e
valmistuva	v a l m i s t u b a
valutavad	v a l u t a v a d
valveta	v a l b e t a
valvurit	v a l b u r i t
vanaduses	v a n a d u e
vanadusest	v a n a d u s a* 7
vanainimesi	v a n a i n i m e s i
vanarahva	v a n a r a h v a
vanavanaema	v a n a v a n a e m a
vandaalide	v a nd~ a l i d e
vannis	v a n n i s
vaprust	v a p r u s
vapustatud	v a p u s t a t u d
vapustavalt	v a p u s t a v a l
varadega	v a r a d e g a
varastamises	v a r a s t a m i b e
variandiks	v a r i a nd~ i k
variantide	v a r i a n t i d e
vastselt	v a s t s l 3
vastuluure	v a s t u l u r e
vastutame	v a s t u t a m e
vastuvõetava	v a s t u b o e t a v a
vastuvõtmisele	v a s t u b n a k m a s l 3 e
vastuvõttudel	v a s t u b n a k t u d
vedava	f e d a v a
veebruarile	v e r e b r u a r i l e
veedeti	v e r e d e t i
veekogudes	v e r e k o g u d e
veeldatud	v e r e l d a t u d
veenduma	v e r e nd~ i m a
veepargi	v e r e p a r g i
veerg	v e r a rx~
veidrad	f e i dr~ a d
veinid	f e i n i d
venimine	f e n i m i n e
venitatakse	f e n i t a t a k s e
veoga	e o g a
vestleb	f e s t l e
vettinud	f e d t i n u d
videovalve	v i d e l o v a l v e
vigadeta	v i g a d e t a
vihaga	v i a g a
viielt	v i
viiesaja	v i e s a h a
viigistasid	v i i g i s t a s i d
viimasegi	v i i m a s e g i
viivitas	v i i v i t a s
viletsas	v i l e c o s
viljasalve	v i l y a s a l v e
viskame	v i s k a m e
viskasin	v i s k a s i n
voib	v o i b
volbriöö	v o l o* i o
voodikohta	v o d i k o h t a
vormile	v o r m i l e
väeosade	v 3 e o s a d e
vägistas	v 3 Ng~ i S t o s
vähemat	v 3 h e m a t
väidelda	v 3 i d e l d a
väidetest	v 3 i d e t e s
väikeaktsionärid	v 3 i k e a k c i o n 3 r i d
väikebuss	v 3 i k e s
väikeettevõtjad	v 3 i k e th~ u s n a k j a d
väikesaarte	v 3 i k e s a i t e
väiksemast	v 3 i k e m s d a
väisanud	v 3 i s a n u d
väitlus	v 3 i L u s
väitluse	v 3 i S o S  s e
väliseid	v 3 l z o i d
välisesinduste	v 3 l i o i d u s t e
välismaalastega	v 3 C i w m a p i S t E g a
välismaaltEesti	v 3 C i w a l t e s t i
välismaaltVIDEO	v 3 C i w a l t a s
välispoliitiliste	v 3 l i s p o l i i t i l i s t e
väljaehitamist	v 3 lx~ a e h i t a m i s
väljamaksmine	v 3 lx~ m a k S m i n e
väljaminekud	v 3 lx~ a m i n e k u d
väljanägemist	v 3 lx~ a n 3 g e m i s
väljapaistva	v 3 lx~ a p a i s t v a
väljastamist	v 3 L s t a m i s
väljenduse	v 3 lx~ i s e
väljumisel	v 3 lx~ i m i s
vändata	v a* d d a t a
väravaks	v 3 r a v a k
värvati	v r i e v a t i
väsib	v a e S Ch~ o
väärisid	v 3 r i s i d
vääritu	v 3 r i t u
väärkohtlemine	v E r k o h L e m i n e
väärkohtlemist	v E r k o h L e m i s
väärtusele	v E r t u s e l e
väärtusta	v E r t u s t a
võidumängus	v o i k k d u m 3 n g u s
võidusõidu	v o i d u s o i d u
võimudelt	v o i m u d e l
võimukandjad	v o i m u k a j a d
võimumeeste	v o i m u m e k 3 n C
võitjast	v o i k ty~ s d a
võitlusesse	v o i S o S  o s e
võitmas	v o i t m a s i
võltsis	v o l c i s
võrdlusest	v o* r b i d l u s a* 7
võrdlusi	v o* r b i d l u s i
võrdsem	v o* r b i j e m
võrdsust	v o* r b i j u s
võrreldagi	v o* r e l d a g i
Õiged	i g 3 d
Õigluse	i g l u s e
Õlu	l u
Õp	p
Õpetajaid	p e t i j e i
Õppelaenu	p k f e n u
Üheski	h e s k i
Ülavere	l a v e r i
Üliõpilased	l i o p i l a s 3 d
Üllatuslikult	l l a t u s l i k r u
ähvardamine	E h t i v a r d a m i n e
ärahoidmine	3 r a h o i d m i n e
äraproovitud	3 r a p o v i t u d
äratundmise	3 r a t u nd~ m i s e
ärihuvid	3 r i w v i d
ärikatele	3 r i k a t e a
äriühingule	r i e c u m b e
ärkasin	r i e k a s i n
