të 	t 3
gjithpërfshirëse	gy~ i th~ a p i r f S i r e s e
gjo	gy~ o
godas	g o d a s
grata	g r a t a
gripale	g r i p a l e
guerile	g e r e l e
gulçim	g u l i m a
gërmuar	g 3 r m u a r
hajnat	h a x n a t
hakerat	h a k e r a t
hapsirë	h a p X a 3
harrua	h a r a
hedhje	h e d e
hekurin	h e k u r i n
heroina	h e r o i n a
hidrocentrale	h i C E n tr~ a l e
higjena	h i x o x e n a
himn	h i m n
hospitalizuarve	h o s p i t a l i n a f o v e
hoxhë	h o g e
humnerë	h u m i r 3
ibuprofen	i b u p r o f e n
idea	d e a
ikni	i k n i
ilaçesh	i l a i
impaktit	i m p a k t i
importuesit	i m p o r t u e s i t
imëta	i m u t a
inauguruar	i n a u g u r u a r
insektet	s Nw~ e th~
institutet	s t i t u t
integruara	i n t e g r u a r a
interpelancën	i n t E r p e l a n k o a n
interurbane	i n t E r u r b a n e
intervistimin	i n t E r i s t i m i n
jelek	j e l e k
jonormale	j o n o r m a l e
juriste	x u r i s t e
justifikohen	x u s t i f i k o h e n
justifikuara	x u s t i f i k u a r a
kabinën	k a b i  n
kantieret	k a n t i e r e t
kantierin	k a n t a o r i n
kapelë	k a p e l 3
kapuç	a h i
karrigia	k a r x i a
katalizator	k a t a l i z a t o r
katedrales	k a t e d r a l e
katolikët	k a t o l i k 3
keqpërdoret	k e k a p i r d o r e t
kirurgu	k i r u r g u
kiteve	k i t e i t v e
klan	k l a n
klime	k l i m e
kodrës	k o d r e
kokainën	k o k a i  n
komandantëve	k o m a n y v e
kombëtareve	m i b 3 b e b e
komisar	k o m i s a r
kompozitor	k o m p o z i t o r
komunikoj	m i u n i k o x
komunisti	m i u n i S t i
koncepteve	q o n i k u p t e v e
konkluzioneve	k o nk ~ % i s i o n e v e
konkurrentë	k o nk ~ u r  t 3
konkurseve	k o nk ~ u r s v e
konsulent	q o n i k r e p e n
konsumatorin	q o n i k s u m a t o r i n
kontaminuara	k o nt~ a m i n u a r a
kontribuuesit	k o nt~ b u e s i t
kontribuuesve	k o nt~ b u e s v e
kontrollë	q o n i k tr~ u L 3
konviktin	q o n i k v i k t n
korit	k o r i t
korr	k o r
kosovarin	k o s o w a r i n
krijime	k r i j i m e
kriminalizimit	k r i m i n a l i  m i t
krishtera	k r i S i k E m i
krishtere	k r i S k i a r
kritikash	k r i t i k a S
kronikat	k r o n i k a t
kryengritësit	k r e N X i q y s i t
kthyera	k th~ y e r a
kujtojne	k u h t o x n e
kulti	k u l t i
kuna	k u n a
kund	k u n d
kundërshtojmë	k u nd~ 3 r S t o h m 3
kundërshtonin	k u nd~ 3 y s th~ o n i n
kundërvlerë	k u nd~ 3 g a r 3 l e r 3
kurioziteti	k u r i o  t e t i
kushtëzon	w o j  y z o n
kuzhine	k u z h i n e
kuzhinier	k u z h i n i e r
këmbëngulë	k b b 3 n g u l 3
kënduan	k 3 n d u a n
kërceu	k 3 r e u
këshillimit	k e s i l l i m i t
labe	l a b e
lajthitje	l a th~ i jw~ e
lançuar	l a n a r i
legjislaturë	l E g g i w r a t u r 3
leshi	l E S i
leverdi	l E e r d i
linda	l i n d a
lodhen	l o d 3 n
lodhet	l o d e t
logjistikën	l o g j i s t i k a n
londinezët	l o n d i n e z 3
luftrave	l u f tr~ a b e
luheshin	l u h e s i n
lëkundja	l e k u n d h a
madhin	d i n
madrilenëve	d r e l e  v e
magazinat	a z i n a t
majte	C t e
maqedone	m a q e d o n e
marijuanës	m a* r L i w a
marreveshjen	m a* r u s k S i
mashtruesi	m a Ch~ tr~ u e s i
maternitet	m a t E r n i
maturën	m a tw~  a n
mbajtëse	b a y s e
mbiemrit	b i e m r e
mbingarkohet	b i N a r k o h e t
mbjellur	mb~ i L u r
mbulojmë	b u l o h m 3
mburrur	m b u r k i t
mbushni	m b u s n i
mbylla	b y L a
mediumeve	m e d m i f a l u s k
merresha	m e r  a
metaleve	m e t a l e v e
metali	m e t a l i
metrazh	m e t r a z
metrosë	m e t r o s 3
minishengenit	m i n i S e N e n i t
minoritare	m i n o r i t a r e
mirënjohjes	m i r 3 n j o h i
mirëpritet	m i r 3 p r e
miu	m i u
modesti	m o d e s t i
morra	m o r a
mpiksjen	p i k s i
mujt	m u h
mundova	m u n d o v a
municioni	m u n i C i o n i
mutacionit	m u t a k i o n i t
mëlçi	m E ly~ i
mërziten	m E L i t e n
ndaluarve	nd~ a r u a r v e
ndermjet	d e r m
nderruar	d e r a r
ndonese	d o n e s e
ndërfetare	nd~ 3 r f e t a r e
ndërlikimet	nd~ 3 l i k i m e t
ndërmarrësit	nd~ 3 r m a r e s i t
ndërpriste	nd~ 3 p r i s t e
ndërpritej	nd~ 3 p r i t a
ndërtoj	nd~ 3 r t o
ndëshkohej	nd~ 3 S k o d n C i s
nego	n e g o
ngadalshme	N a d a l S m e
ngadalshëm	N a d a l e m
ngadalësojmë	N a d a l 3 z a s m 3
ngarkesave	N a r k e s a b e
ngrisin	N r i s i n
njihnim	j E hn~ i m a
njohësve	nj~ o h e s v e
normalja	n o r m a l j a
nuancat	n u a n k a t
numërojmë	n u mp~ 3 r o h m 3
nxitë	! i t 3
nê	n E
nënshtetësisë	n 3 n C t e s i s 3
nē	n a N
obeziteti	o b a  t e t i
ofensive	o f e ns~ i v E
ofensivën	o f e ns~ i v E n i
optik	a t i k
orienton	u r i n t o n
orientuese	u r i n t u e s e
osmanët	o s
ovo	o w o
paduruar	p a d u r u a r
pakuptueshëm	p a k u p t u e e m
pamatur	p a m a t u r
pandërprera	p a nd~ 3 p r e r a
panegociueshme	p a n e g o i u e S m e
panikë	p a n i k 3
paraardhësve	p a r a  8 e s v e
parandaloi	p a r a nd~ a r o i
paraqita	p a r a q i t a
paraushtarake	p a r a u S t a r a k e
parlamenteve	p a l a m e n t e v e
pasgoditje	p a s k a t e jw~ e
pashqetësuar	p a S E y t a r i
pashëm	p a e m
pashërueshme	p a e r u e S m e
pastërtia	p a s y r t i a
pasurimit	p a s u r i m i t
pasurohen	p a s u r o h e n
pengimit	p e N i m i t
perdes	p e r b
performancave	p e r h k a b e
performance	p e r h j e
permendur	p e r m e n d u r
peshkuar	p e S k a kw~ a r i
peshkun	p e S i k u n
pesëvjeçar	p e o v  a r
pikënisja	p i k 3 n i s a q
plagosen	p l a y i g o s e n
planetëve	p l a y i S y v e
plaçkë	p l a y i k 3
populizmit	p o p o t z m i t
postuan	p o s t u a n
prenotuar	p r e n o t u a r
pretendoj	p r e t e n d o x
prezantuesi	p r e z a n t u e s i
primitiv	p l i m i t i
prisnit	p r i s n i t
pronen	p r o n e n
propagandes	p r o p a g a n d e
propozonte	p r o p o  b u* d a k
protagoniste	p r o t a g o n i S th~ E
proteston	p r o t e s t o n
protestonte	p r o t e s t o n t e
prozë	p r o z 3
proçesin	p r o e s i n
psikiatrike	p i k i a t r e k e
punimi	p u n i m i
pushimesh	p u s i S
pushkatimit	p u S k a t i m i t
përafrimin	a p i r a f l i m i n
përballesh	a p i r C i C l e S
përdoruesi	a p i r d o r u e s i
përfitoj	a p i r f i t o
përftuar	a p i r f t u a r
përgënjeshtron	a p i rx~ 3 n o x e S tr~ u n
përjavshme	a p i r j a b S m e
përjetuara	a p i r o x e t u a r a
përkujdesen	a p i r k u h b e n
përleshjeve	a p i l e S k u s k
përmbarimit	a p i r mb~ a r i m i t
përmbylli	a p i r mb~ u y L i
përparimtare	a p i p a r i m t a r e
përpunohet	a p i p u n o h e t
përshkruante	a p i r S k r u a n t e
përshëndetjen	a p i r S 3 n a S i  e n
përurimit	a p i p a N a n i m i t
përzgjedhin	a p i L gy~ e d i n
përçon	a p i r o n
përçuar	a p i r a r i
pështirë	a p i sC~ t i  r 3
qau	q a u
qendrojmë	q o n d r o h m 3
qendrojne	q o n d r o x n e
qenia	q o n i a
qeshi	E S i
qeshte	q o t e
qetësuese	E y s u e s e
qimet	q i m e t
qëndro	q 3 n d r o
raketash	r a k e  s o
raportoj	r a p o r t o
ratifikimit	r a t i f i k i m i t
referim	r e f e r i m
reflektimin	r e f l e k t m i n
reformim	r e f o r m i m
rektori	r e k t o r i
relativ	r e l a t i
reshtur	r a m a k i u r
restaurimit	r e s t a u r i m i t
resë	r e s 3
revoltës	r E f o l y
rezidenca	r a  d e n k a
riktheheni	r i k th~ e f e n a
rimbursimi	l i m b u l s i m i
ringjall	r i N q " o l
riparimi	r i p a r i m i
rrahjeve	r a h k u s k
rregullatori	r e g u y a t o r i
rrethim	r  i m
rrumbullakët	r r u mb~ u y a k 3
rusi	r u s i
sekretare	s e k r E t a r e
sekretarët	s e k r E t a r e
seksion	s e k S i o n
senatorëve	s e n a t o r e v e
sensitive	s e ns~ i t i v E
sensorë	s e Th~ o r 3
serviret	s e r p i t e n e t
servis	s e r v i s
shalqi	S a q
sharlatan	S a l a t a n
shembin	S e m b i n
shirave	S i r a v e
shitblerjes	S i t b l e r i
shitësi	S i t e s i
shkarkoni	S k a t k o n i
shkelqyer	S k e l qy~ e r
shkollash	S k o r u
shportë	S p o r t 3
shprehem	S p r e h e m
shpresëdhënës	S p r e o 8 3 n 3
shpërblen	S a p i b i r e l e n
shtojcë	S t o h k 3
shumëpalëshe	S u m 3 p a l e s e
shëroheni	e r o h e n i
shërojmë	e r o h m 3
simbolikisht	s i m b o l i k i sC~ t i
sindikatë	s i n d i k a t 3
sipërm	s i p e r m
skadojë	s k a d o h 3
skanerin	s k a n i n i n
skenike	s k 3 n i k e
skulpturë	s k u l p t u r 3
speca	s p e k a
spinaqi	s p i n a q
sportivë	s p o r t i b 3
stafetën	s t a f e t e n
standart	s t a n r
stimulues	s t i m u m b u g
stoqe	s t o x e
studioja	s t u d i h a
subjektive	s u by~ E i v E
subvencionimi	s u b e nC~ i o n i m i
supergol	s u p e r g o l
suplementare	s u p l E m E n t a r e
sysh	s i m S
taka	t a k a
tejmbushur	t a   S u r
tendence	t e n d e n C i e
tendencioze	t e n d e n C i w o z e
tendosje	t e n d o s e
tenisi	t e n i s i
termet	t E r m e t
tezës	t e z 3
thelbësisht	th~ e l b e s i sC~ t i
themelit	th~ e m 3 e l i t
thirrjeje	th~ i r o x e h e
thith	th~ i c
thithë	th~ i t e
thërrasim	th~ 3 r a s i m
tinguj	t i N u x
tipin	t e p i n
tiu	t i u
transmetohej	i t r i s m e t o h e
trapin	tr~ a p i n
tritoli	t r i t o l i
trokasin	t r o k a s i n
truprojat	t o u p r o j a n
turpëruese	t u r a p i r u e s e
ujësjellësi	u s e s i L e s i
universit	u n i v e r s i t
urdhërojnë	u r d e r o x n E
ushtrise	u s t r i s e
vaki	v a k i
varrosin	v a r s i n
varrosjen	v a r o s i
varrosën	v a r u o n
vartësi	v a r y s i
vazhdimësisë	v a z h d i m u s i s 3
vazhdohen	v a z h d o h e n
vemë	f e m 3
vendimarrje	f e n d i m a r e
vetave	f e t a b e
vetëgjyqësi	f e d 3 g hy~ k e s i
vijues	v i y u e
vogëlushen	v o gw~ 3 l u S e n
vrapoi	v r a p o i
vrarët	v r a r e
vrullin	v r u l l i n
vërtetohen	v E n r t o h e n
yjor	i L o r
yjore	y j i
yndyrave	y ndy$ r a v e
zakonin	z a q o n i n
zaraženih	z a r a Z e n n i
zbardhja	z bh~ a r 8 j a
zemërgjerë	z e m E r gy~ e r 3
zhvatje	Z h u y e
zhvendosin	z a f e n d o s i n
zhvilluesit	z h v i l l u e s i t
zjarrfikëses	z y a r m f i k 3 e
zorrë	z o r 3
çarter	i t e r
çetave	e t a b e
çmojmë	m o h m 3
çmon	m o n
çrregullimi	r e g u l l i m i
Abazin	b a z i n
Academy	k a d e m
Ada	d a
Ademaj	d e m a x
Agrare	g r a r e
Agronit	g r o n i t
Akil	k i l
Alo	l o
Antoneta	th~ o n e t a
Ashraf	s r a f
Association	a d a m i a t i o n 3
Baby	a b "
Baker	a k a r
Balili	a l i l i
Barazi	a r a z i
Barra	a r a
Bashkurti	a S i k u r t i
Bernë	E a n E
Best	e s t
Birx	i r 7
Biznes	i r n i
Britney	r i t n e
Buna	u n a
Byrnes	y r n i
Bëjnë	3
Cali	a l i
Call	o l
Cardi	a r d i
Carla	a r l a
Ce	e
Crevena	b e b e n a
Debatet	e b a t e
Dekoratën	e k o r a t e n
Dera	e r a
Deskoska	e s k o s k a
Detroit	a t 3 r o i t
Diasporë	i a s p o r 3
Dibala	i b a l a
Didier	d i e r
Disha	i s a
Divizioni	i p i t e  o n i
Dola	o l a
Down	a u n
Duas	u a s
Dusseldorf	u s e l d o r f
Ebolës	b o l 3
Eldi	l d i
Eleni	l e n i
Elmi	l m i
Emigracionit	m i b o ch~ i o n i t
Eneda	n e d a
Enkelejda	k e l e y d a
Estoni	s t o n i
Falja	a l j a
Feron	e r o n
Festën	e s t e n
Fjalën	y a l a n
Florjan	l o r a d " a
Fol	o l
Francisko	r a n C i i s k o
Fund	u n d
Gabriele	a b " r i d i
Ganiu	a n i u
Gattusos	a t t u s o s
Gecaj	e k a x
Gentiloni	e n t i l o n i
Gjej	h e
Gjermeni	h e r m e n i
Gjokës	j o k 3
Glezos	l e z o s
Gol	o l
Granadas	r a n a d 3 s
Greca	r e k a
Hapni	a p n i
Hapësirës	a p e s i r e
Hazirin	a z i r i n
Hazirit	a z i r i t
Higjienës	i g n o x e
Hilton	i l t o n
Ibrahimaj	b r a h i m a x
Ines	n e
Infantino	n f a n t i n o
Ingels	g e l
Insporti	s p o r t i
Institucione	s t i t u k i o n e
Institucionin	s t i t u k i o n i n
Integrated	t e g r a t e d
Isen	s e n
Islandë	s l a n d 3
Italine	t a l i n e
Jill	i l
Kelmendin	e l m e n d i n
Kielini	i e l i n i
Kinen	i n e n
Klima	l i m a
Klipi	l i p i
Klubeve	l u b e v e
Kompleksin	i m p l e k s i n
Kontes	b u* d a k
Kontroll	o t r o l o
Korabit	o r a b i t
Koti	o t i
Krelani	r e l a n i
Kryebashkiakja	cy~ e b a S i k i a k j a
Kryediplomati	cy~ e d i p xy~ u 7 t i
Kuba	u b a
Kufij	u f i
Kura	u r a
Kushtojini	u s t o j i n i
Kuçana	u a n a
Lalëzit	a l 3 z i t
Lekës	e k 3
Lena	e n a
Leskaj	p i p 3 l 3 m
Letrën	a t 3 r e n
Likja	i k j a
Lloji	l o h i
Luftes	u f t e
Luiz	k i z
Malajzia	a l a L a
Manhattan	a n a t t a n
Manushi	a n u S i
Margjeka	a r gy~ e k a
Markoviq	a r k o v i
Mayweather	a y w e a t h e r
Mbeturinat	b e t u r i n a t
Mekës	e k 3
Mete	e t e
Metes	e t e
Meçi	 i
Micevski	i C E f u r
Middleton	i d a l e t o n
Millosheviçi	i l l o S e i i
Minishengenin	i n i S e N e n i n
Ministritë	i n i s t r e 3
Miqësisë	i k e s i s 3
Miratohet	i r a t o h e t
Misteri	i s t E r i
Mnuchin	n u C i n
Moj	n d a
Monde	o* d e
Mondi	o n d i
Monza	o z a
Moon	o n
Muaj	w a h
Muqiqi	b i k i
Muzikës	u z i k 3
Muçit	u i t
Nathan	a th~ a n
Nature	a t u r e
Natyrshëm	a t e r a e m
Ndue	d u e
Ndërmjet	d 3 r m
Ngrënia	g r 3 n i a
Norbert	u r k
Norës	u r e
Nuredin	u r E d i n
Ofertat	f e r t a t
Off	f
Oqeanit	E a n i t
Oslo	s l o
Pakti	a k t i
Palit	a l i t
Paneli	a n e l i
Parmën	a r m a n
Portës	u r y
Preshevën	r a m a k e v E n i
Pretendimi	r e t e n d i m i
ProCredit	r o r e d i t
Progresive	r o g o r e s i v E
Punën	u n E n
Punësim	u n E s i m
Përshëndes	3 r S 3 n d e
Përvec	3 r b e k
Qirjako	i r  k o
Rambujesë	a m b u h e s 3
Rame	a m e
Reagime	e a g i m e
Reduktimi	e d u k t i m i
Risia	i s i a
Rrallë	r a ly~ 3
Rripin	r i p i n
Ruçin	u i n
Sabiha	a b i s i
Sanxhakut	a n h a k u t
Sazanit	l a u k a n i t
Semedo	E m E d o
Serxho	e r h o
Sfishta	f i S t i m a 7
Shangai	h a N a i
Shinzo	h i n z o
Shkuam	h k u a m
Shohim	h o h i m
Shpalljes	h p a ly~ i
Shpendi	h p e n d i
Shumicën	h u m i C a n
Sindikatën	i n d i k a t e n
Skerdi	k e r d i
Spezia	p e z i a
Spezias	p e  a s
Stabilizim	t a b i l i s i m a
Strategjik	tr~ a t e g n o x
Suksese	u k s e s e
Sulltanit	u L t a n i t
Sylejmani	y j m a n i
Sytari	3 t a r i
Söder	o d e r
Tabanoc	a b a n o k
Tajvanin	c v a n i n
Tbilisi	b i l i s i
Tenesi	i n i
Tjetri	h e t r i
Trajkovski	r a h k o p u r
Trashin	r a s i n
Treguesi	r e g e s i
Uefa	e n i
Ujku	h k u
Urdhëri	r d e r i
Utd	t d
Vaun	a u n
Vehbi	e h b i
Veljanovski	e l x a C v u r
Versajës	e r v u 3
Vijnë	g i y
Vishaj	i S a x
Vëllaznimit	3 y a z n i m i t
Wallace	a ly~ a k e
Xhelili	h e l i l i
Yale	a l e
Zagrebi	y r e
Zhvatja	h u y a
Zoologjik	o l o g n o x
abuzon	a b u z o n
adhuron	a d u r o n
administruese	a d m i n i s t r u e s e
adrese	a d r e s e
aferës	a f e r e
agjërim	y T a r i m a
agresivitetin	y r e s i b i t e t i n
ajer	a x e r
ajsbergut	c s b e r g u t
aksidentua	a k s i d 3 n t u a
aksionere	a k S i o n e r e
aktivizojnë	a k t p i t e  c
ambasade	a m b a s a d e
ambicieve	a m b i C y e v e
ambiciozë	a m b i i o c o 3
amendimet	a m e n d i m e t
amshim	a m S i m
anijeje	a n i y e h e
anipse	a n i p s e
antiCOVID	a n t i
anulime	a n u l i m e
anësori	a n e s o r i
anëtares	a n 3 a r e
aparaturave	a p a r a t u r a v e
apasionuarit	a p a s i o n u a r i t
aqsa	a q s a
arkë	a r k 3
armata	a r m a t a
armatë	a r m a t 3
artificialisht	a r   i a l i sC~ t i
artilerike	i t i l e r i k e
ashpërsim	n a N t a N a p i s i m
bagazhin	b a g a z h i n
bakrit	b a k r e
balte	b a l t e
barishte	b a r i s t e
bashkëngjitet	b a S i k 3 n g g i w a
baterive	b a t e r i v E
betohen	b e t o h e n
bimor	b i m o r
binarë	b i n a r 3
blerësi	b l e r e s i
bosht	b o sC~ t i
brekët	b r e k 3
brenga	b r e n g a
buken	b u k 3 n
bërryl	b e r i
cenojë	C E n o x 3
dekor	d e k o r
demet	d e m
dendësi	d e nd~ 3 s i
denohet	d e n o h e t
depolitizim	d e p o l i t i s i m a
detyronin	d e t r o n i n
devijimi	d e v i j i m i
dhatë	d a t 3
dietat	d i e t a t
diktuara	d i k t u a r a
disbursuar	d i s s u a r
disfata	d i s f a t a
diskrecion	d i s k r E c i o n
dobësinë	d o b e s i
dobësohen	d o b e s o h e n
doktrina	d o i n a
doreheqjen	d o r e h e k i
drekën	d r e k a n
dëgjo	d 3 gy~ o
dëgjoheshin	d 3 gy~ o h i  n
dëmshpërblimit	d b S a p i b i r e l i m i t
edukohen	e d u k o h e n
eger	E g E r
egoistë	E k a s t 3
eksplozivi	e k s p l o z i v i
ekstradohet	e k s t r a d o h e t
ekstravagante	e k s t r a v a g a n t e
ekstremistë	e k s t r e m i s t 3
ekuivalent	e k u i v a l e n t
ekzakte	e k z a k t e
embargon	e m b a l i m a g o n
emërtim	e m E r t i m
energjetikë	e n e r gy~ e t i k 3
enjteje	E nj~ t e h e
epidemik	a p i d e m i k
epërsisë	a p e s i s 3
establishmentit	e s t a b l i S m e n t i
esëll	e o l o
etika	e t i k a
evazionin	p i r a z i o n i n
eventi	p i r l e v e n t i
evitimin	p i r i t i m i n
familjesh	b o m e L i
fashë	f a e
fejesë	f e h o
festua	f e S t u a
finalizim	f i n a l i s i m a
fishekzjarre	f i S e k z y a r
fitimtarë	f i t i m n a p a 3
fjetjes	fy~ e t i
flase	f a l a
flotë	f l o t 3
forcoi	f o r k o i
formalizuar	f o r m a l i z u a r
fotograf	f o t o g r a f
freski	f r e s k i
fshatarë	f E t E d i t 3
fshi	f S i
fundjavat	f u j a v a t
funksionalitetin	f u n k S i o n a l i t e t i n
furrën	f u r a n
furçë	f u r 3
galeritë	g a l e r i k 3
garazh	g a r a z
garoj	g a r o x
gjarpër	gy~ a r a p i r
gjeneralët	gy~ e n e r a l 3
gjuajnë	g w a x n E
gjuajtjen	g w a h th~ i
gjykates	g hy~ k a t e s
gjyqësi	g hy~ k e s i
godisnin	g o d i s n i n
građana	b o ch~ 8 a n a
grimi	g r i m i
grirë	g r 3
grykë	g ry~ k 3
guvernatorin	g u e r n a t o r i n
gënjej	g 3 n o x e
gënjeshtrës	g 3 n o x e S k i r e
habita	h a b i t a
hakun	h a k u n
hebraik	b a s r a i k k i
helikopterin	h e l i k o p t E r i n
hemorragji	h e m o r a gy~ i
heroine	h e r o i n e
hidratuar	h i dr~ a t u a r
hierarkisë	hy~ e r a r k i s 3
hiti	h i t i
homazhet	h o m a z h e t
hop	h o p
idiotë	d i o t 3
ilegalitet	i l a  l i t e
implementohen	i m p l E m E n t o h e n
imët	i m u
incidenca	m a i d e n k a
inferior	i n f e r i o r
infrastrukturor	i n f r a s t r u k t u r o r
inicioi	i n i C i o i
iniciojë	i n i C i h 3
injeksione	r o n o x e k S i o n e
injektimit	r o n o x e k t m i t
insistoj	s i s t o
interesantë	i n t e r e s a n t 3
interesohej	i n t e r e s o h e
internuan	i n t E r n u a n
interpretojë	i n t E r p r e t o h 3
intervenimit	i n t E r f e n i m i t
intervistuarit	i n t E r i s t u a r i t
intubimi	i n t u b i m i
invalid	i n v a l i d
irritim	i r i t i m
izraelitët	i r r a e l i y
jedan	h e d a n
jetësohet	h e t e s o h e t
joformal	j o f o r m a l
juristëve	x u r i s y v e
kabina	k a b i n a
kafeinë	k a f e i
kafshën	k a f e n
kanalizuar	k a n a l i z u a r
kanosjes	k a n o s i
karrieren	k a r e r e n
karrike	k a r k e
katalunas	k a t a l u n 3 s
keqmenaxhim	k e k m E n a h i m
keqmenaxhimi	k e k m E n a h i m i
kerkesat	k e r  e s a t
kerkese	k e r  e s e
kerkim	k e r  m
klasin	k l a s i n
kodrave	k o d r a v e
koherente	k o h e r e n t e
kokave	k o k a b e
koleges	k o l e
koloniale	k o l o n i a l e
komisari	k o m i s a r i
komisionerit	k o m i s i o n e r i k
kompensojnë	m i p e n z a s
kompjuterik	m i ph~ u t E r i k
komponentët	k o m p o y
komunikacionin	m i u n i k a i q l
koncensione	q o n i k u ns~ i o n e
koncentruar	q o n i k C E nt~ u z a r i
konfiskim	q o n i k f i s k u r  m
konfiskuara	q o n i k f i s k u r  a r a
konfuzionin	q o n i k u L q l
konkurrente	k o nk ~ u r  t e
konsideruara	q o n i k i d i n u a r a
konspiracion	q o n i k s p i r a i o n
kontribuonte	k o nt~ r i b a b u* d a k
koordinuara	k o r d i n u a r a
korrigjimit	k o r x j i m i t
krahasuan	k r a h a s u a n
kreativitet	k r E a t i b i t e
kredenciale	k r E d i n C i w a l e
kripën	k r i p a n
krishterëve	k r i S t E r e v e
kroatëve	k r o a y v e
kronikën	k r q l o a n
kryebashkiakëve	k r e b a S i k i a k 3 v e
kryeministria	k r e m i n i s t r e
kryengritjet	k r e N X i q th~ i
kryesonte	k r i  b u* d a k
ktheje	k th~ e h e
ktheve	k th~ e v e
kujdestari	k u h d e s t a r i
kuletën	k u l e t e n
kultures	k u l t u r e
kunderta	k u n d e r t e
kupolën	k u p o l a n
kupon	k u p o n
kurfarë	k u r f a r 3
kurve	k u r v e
kushtëzojë	w o j  y z o h 3
kutisë	k u t i s 3
këmbësore	k b b e s o r e
këngësh	k 3 n g e s
këqia	k 3 g w i a
kërcimit	k 3 r i m i t
këshillojmë	k e s i l l o h m 3
lartcekura	l a r ! e k u r a
lartësuar	l a r y t a r i
latinisht	l a t i n i S t i
lehtësirave	l e h t e s i r a v e
lehtësues	l e h t e s u e
leni	l e n i
lente	l e n t e
liberalë	b e r a l 3
