je 	j e
sopstvenom	s o p Sx~ f e n o m
spermu	s p e r m u
spiralne	s p i r a l
spise	s p i s e
spisi	s p i s i
spolna	s p o l n a
spontane	s p o n t a n e
spotovima	s p o t o w i m a
sprečavanju	s p r e % C a v a n j u
spriječava	s p r i j E C a v a
sprječavanje	s p r h C a v a n j e
spustiti	s p u s t a t i
spužve	s p u Z e v e
srebrnim	s a o* n i m
središnjoj	s r e d i S n j o x
središnju	s r e d i S n c u
srednjovjekovnom	s r e d nj~ o w o x e k o p n o m
stabljiku	s t a b l j i k u
stajanje	s t a j a n j e
stajati	s t a j a t i
stambenu	s t a m b e n u
starta	s t a r t e
statistici	s t a t i s t i C i
stavke	s t a b k e
stazom	s t a z o m
stidnih	s t i d n i
stomak	s t o m a k
stradanja	s t r a d a n j a
strankama	s t r a g m a
strateška	s t r a t e S
strateškim	s t r a t e S k i m a
streljiva	s t r e l x i v a
stripa	s t r i p a
studirala	s t u d i r a l a
sudaca	s u d a k a
suhih	s u h i
sukobili	s u k o b i l i
sume	s u
suočen	s u o C e n
supstitucija	s u p s t i t u k i j a
susjedi	s u s E d i
suza	s u z a
sušna	s u S n a
sužavaju	s u Z e a v a C u
svakome	s v a k o m e
svejedno	s e u n d n o
svetac	s b e t a
svetilišta	s b e t i l i S t a
svijetlu	s v i y e
svrstan	s v s t a n
takmičilo	t a k m i % C i l o
talase	t a l a s e
talija	t a l i j a
taloženjem	t a l o Z e n n o x e m
tamnija	t a m n i j a
tanina	t a n i n a
tehničku	t e h n i C k u
tehnološka	t e h n o r S
telefonske	t e l e f o s k e
televizijskom	t e l e p i t e  c s k o m
temeljac	t e m e l X a k
temeljni	t E m E l x n i
temeljno	t E m E l x n o
teniseri	t e n i s E r i y a
teologije	t e o l o g i j e
teoretičar	t e o r e t i C a r
terapijski	t e r a p i h u r
teritorijalnom	t e r i t o r i j a l n o m
terminalni	t E r m i n a l
termine	t E r m i n e
testis	t e s t i s
tečna	t e C u n a
tečne	t e C n e
tečnošću	t e C u n S Cy~ u
težište	t e Z e i S t e
težnji	t e Z e nj~ i
tik	t i k
toni	t o n i
tonu	t o n u
tovara	t o w a r a
točkovima	t o C k o v i m a
trajan	i t r i j a n
traženi	tr~ a Z e n
tretmane	t r e t m a n e
trećeplasirane	t r e x e p l a s i r a n e
trguje	tr~ a e
trijumfa	t r i o n u a n a
trogodišnji	l a k a t e S nj~ i
trouglova	t r o u g l o v a
trošenja	S e n j a
tumačio	t u m a % C i o
tuđe	t u 8 e
tvrda	t v r d a
ubjedljivu	u by~ E d l x i v u
ubrizgavanja	u b r i z g a v a n j a
ubrzati	u b L a t i
udaljenog	u d a l x e n o g
udarni	u d a r n i
udovice	u d o v i k e
ugradnja	t u g r a d n j a
ujaka	u s a k a
ujedini	u h e d i n i
ukida	u k i d a
uključivanja	u k l xy~ % C i v a n j a
uklone	u k o n e
ukopa	u k o p a
ulaskom	u l a s k o m
ulog	b u k a
umetanja	u m e t a n j a
umetnuti	u m e t n u t i
umnogome	u m n o g o m e
umnožavanja	u m k Z e a v a n j a
umru	u m r u
unapređenja	u n a p r e 8 e n j a
unio	u n i o
uočljive	u o C l x i v E
upao	u p a o
uparene	u p a r e n e
upola	u p o l a
upućene	u p u C u e n e
uređeno	u r E 8 E n o
urne	u r n
uslugama	u s l u g a m a
usporavaju	u s p o r a v a C u
usporavanje	u s p o r a v a n j e
uspoređuju	u s p o r e 8 u C u
uspravnom	u s p r a v n o m
ustaje	u s t a e
ustanku	u s t a n k u
ustupke	u s t u p k e
utjecaje	u t i n e kw~ a e
utjecaji	u t i n e kw~ a i
uvoza	u w o y a 7
uvođenju	u w o 8 o k u
uzastopnim	u z a s t o p n i m
uzet	u z e t
uzete	u z e t e
uzevši	u z e b S i
uzgajati	u z g a j a t i
uzrokovanih	u z r o k o v a n i
uzvratni	u z v r a t n i
učinkovitost	u % C m i v i t o s
učiteljica	u % C i t e l j i k a
vama	v a m a
vanredno	v a n r e d n o
vanrednog	v a n r e d n o g
vanćelijskog	v a n C u e l i j s kp~ i N
vara	v a r a
varoš	v a r S
vazduhoplovstva	v a z d u h o p v e l o v Sx~ v a
vegetacijom	f e g 3 t a k i j o m
vertikalnog	e r t i k a r n o g
veto	f e t o
većinsko	e Cy~ nsw$ i s o
veče	e % C i
večere	e C e
videoigre	v i d e o i g r e
vijećnice	v i y e C u n i k e
vilica	v i l i k a
vilu	v i l u
vinove	v i n o v e
vizualni	v i z u a l
višećelijskih	v i S e x e l i j s k i
vjenčani	v E n C a n i
vještačka	v h S t a C u
vladajućih	v l a d a h u C u i
vladarske	v l a d 3 y s k e
vlasniku	v l a s n i k u
vlažnosti	v l a Z e n o s t i
vlažnu	v l a Z e n u
vodikove	v o d i k o v e
vodikovih	v o d i k o v i
vodoravne	v o d o r a v n e
vodova	v o d o v a
vodovoda	v o d o v o d a
vodozemaca	v o d o z e m a k a *
vojvodom	v o h v o d o m
voska	v o s k a
vraćeni	v r a Cy~ e n i
vraćeno	v r a Cy~ E n o
vremensko	v r E m E n s k o
vršene	v r S e n e
vršila	v r S i l a
vršile	v r S l
zaboravi	z a b o r a w i
zadovoljna	z a d o v o l x n a
zagradi	c a G r a d i
zagrebačkog	c a G r e b a % C kp~ i N
zahvatio	z a h v a t i o
zaključi	z a k l xy~ C u i
zakonskim	z a k o s k i m a
zalazi	z a l a z i
zamjenjen	z a m E d i
zanemariti	z a n i m a r i t i
zanemaruje	z a n i m a r u j e
zapaliti	z a p a l i t i
zaposlena	z a p o s l e n a
zapovijed	z a p o v i y e d
zarađuje	z a r a 8 a j e
zasnovao	z a s n o w a o
zastupljeno	z a s t u p lx~ E n o
zatvorenike	z a t v o r e n i k e
zavjeri	z a b x e r i
zavjese	z a b E s E
završecima	z a b r S e k i m a
završnim	z a b r S n i m
zdravstvenu	z dr~ a b Sx~ f e n u
zelenoj	z e l e n o x
zemljoposjednika	z e m lx~ o p o s u n d n i k a
zet	z e t
zlih	z l i
znake	z n a k e
znatnog	z n a t n o g
zračna	z r a C n a
zubima	z u b i m a
zvanoj	z v a n o x
Ćelija	e l i j a
Čašica	a S i k a
čaršija	C a r S i j a
četvorice	C e t v o i cy~ e
čitanjem	C i t a n o x e m
čitavim	C i t a r i v
čuvenog	C u b e n o g
Šapur	a p u r
Široki	i r o k i
Širom	u r o m
Škotsku	k o c k u
šarenice	x o a r e n i k e
šejha	x o j a
šerefe	S e r e f e
šindrom	x o i
šine	x o i n e
školjka	x o S lx~
šljunka	x o lx~ u n
šokiran	x o o k i r i
špice	x o C o* a* e
štitne	x o t i t n e
Željeznice	e l X d n i k e
želim	Z e n l i m
žestoki	Z e n s t o k i
životima	Z e i v o t i m a
Ad	d
Afrička	f ry~ C
Aljaske	L s k e
Allan	S
Alternativna	l t E r n a t i b n a
Alvarez	l v a r e z
Amerikancima	m e r i k a n C i i m a
Anali	n a l i
André	ndr$ e
Apollo	p o l o
Apolona	p o l o n a
Armenija	s a y m 3 n i j a
Asirije	s i r i j e
Atlantic	L a n t i k
Austin	u s t i n
Automobil	u t o m o b i l
Autoput	u t o p u t
Avdo	v d o
Bacač	a k a C
Baku	a k u
Balkanski	a l u m u r
Bangkoka	a e u N 7 o k a
Banjaluke	a* h a* l u k e
Bara	a r a
Beam	e a m
Bekra	e k r a
Beli	e l i
Berkeley	e r n z a g u r r
Bernardo	E a n a r d o
Bibliji	i b l i h i
Biljni	i l x n i
Biologija	i o l o g i j a
Boban	o b a n
Bong	o N
Bootha	o t a
Borbeni	u r b e n i
Browna	r o w n a
Bulbasaura	u l b a s a u r a
Bundesligi	u n d e s l i g i
Bužim	u Z e i m a
Camilla	a m i l l a
Carica	a r i C a
Carpenter	a r p e n t e r
Cartera	i t E r a
Centralnom	e n t r i  o m
Ceremonija	e r e m o* i j a
Chains	h a nsw$ i
Challenger	h a l l e N e r
Chandlera	h a n d l e r a
Chieftain	hy~ e f t 3 n
Cityja	t "y~ E j a
Control	o t r o l
Corelli	o r e ly~ i
Craig	r a i g
Croft	r o f
Dalja	a l j a
Danijel	a n i o x e l
Dante	a n t e
Das	a s
Debbie	e b e k u e
Debelo	e b e l o
Dejan	E z a n
Delhi	e l i
Diplomirala	i p l o m i r a l a
Dnevni	n e b n i
Dodatne	o d a t n e
Doss	o s
Dostupan	o s t u p a n
Drži	r Z e i
Du	u
Dublinu	u b l i n u
Dubrava	u b r a v a
Dumbledorea	u m p l e d o r e a
Dužnost	u Z e Ng ~ o n o 8
Edinburghu	d i nb~ u r x u
Egipćana	g i p Cy~ a n a
Eri	r i
Estonija	s t o n i y a N u
Ethana	th~ a n a
Europa	u r o p a
Face	a k e
Faso	a s o
Ferhadija	e r a d i j a
Filipom	i l i p o m
Filmska	i l m u r
Fortune	u r t u n e
Forum	u r u m
Franaka	r a n a k a
Freda	r e d a
Frida	r i d a
Friends	r i e n d
Funkcije	u n k C i g i y e
Gala	a l a
Galerije	a l e r i j e
Galiciji	a l i k a l w a
Games	a m e
Generalna	e n e r a L n a n
Get	e t
Gilgameš	i l g a m e S
God	o t
Goddard	o d r d
Good	o d
Govorio	o v o r i o
Gradske	r a d s k e
Graza	r a z a
Gračanice	r a % C a n i k e
Građanski	r a 8 i s k i
Greatest	r e a t e s
Gubici	u b i C i
Habsburg	a j
Hansa	s a
Hard	a r d
Harmonica	a r m o n i k a
Harold	a r o l
Have	a b e
Heather	e a t h e r
Hilton	i l t o n
Hipoteza	p o t E z E
Hong	o N
Hooker	o k a r
Horn	u r n
Houseov	o u s e i m
Hrasnica	r a s n i k a
Huna	u n a
Hunt	u n t
Interu	t E r u
Ismet	s e
Istanbula	s t a nb~ u l a
Istorija	s t o r i j a
Istra	s t r a
Istri	s t r i
Ivanom	v a n o m
Izdao	z d a o
Jaguar	g u a r
Jako	a k o
Jama	a m a
Jasno	a s n o
Jedi	e d i
Jelene	e l e n e
Jin	i n
Joea	N a
Jonas	o n a s
Julieta	l i e t a
Julius	l i u s
Jurja	u r j i 7 a
Just	u s
Kapetanović	a p e t a n o v i Cy~
Kapitol	a p i t o l
Katoličke	a t o l i % C k e
Kernavė	E a n a
Kid	s e i
Kira	i r a
Kiril	i r i l
Kladuša	l a d u S a
Klinički	l i n i % C k i
Knut	n u t
Konferencije	o f m i n C i g i y e
Konga	o n g a
Konstantinova	o s t a n t i n o v a
Konstantinu	o s t a n t i n u
Korijeni	u r i y e n i
Korišten	u r i S t e n
Kotromanić	o tr~ o m a n i Cy~
Košarka	S m a X a
Kraljevsko	r a l k u s s k o
Križ	r i Z e
Kuvajta	u w a h t a
Lakersa	a k e r s a
Lance	5 u k a e
Lars	a r
Legio	g i o
Lennon	e n n o n
Lepa	a p a
Leslie	e s l i e
Libiji	i b i h i
Linda	i n d a
Linkin	i n k i n
Lista	i s t a
Lotus	o t u s
Lucas	u k a s
Machine	a C i n e
Mahala	a h a l a
Manhattan	a n a t t a n
Manuela	a n u e l a
Marcus	a r k u s
Marijina	a r i j i n a
Materijal	a t e r i j a l
Maura	a u r a
Medicinskom	e d i k nsw$ i s o m
Melkor	e l k o r
Merlin	e r l i n
Metalni	e t a l
Mezopotamiju	e z o p o t a m i j u
Michaelu	i C a e l u
Mikea	i k e a
Mirage	i r a g e
Mirsad	i r s a d
Mladić	l a d i Cy~
Mongolije	o N o l i j e
Morrisona	u r s o n a
Mubera	u b e r a
Mula	u l a
Murphyja	u r f i L a
Nacionalno	a c i o n a l
Najduži	c dw~ Z e i
Najmanji	c
Naraste	a r a s t e
Naučna	a u C n a
Naučni	a u C n i
Nemaju	l e m a l C u
Nerijetko	r i j E t k o
Nevesinja	u s k s i n j a
Nicka	i S k a
Nigerije	i g e r i j e
Niš	i S
Nogomet	g o m e t
Normalno	o r m a l
Northup	u r t u p
Novije	o v i y e
Noviji	o v i h i
Obelisk	b e l i s k
Objavila	by~ a v i l a
Obrazovanje	b r a z o v a n j e
Odjeljenja	d r o n o x e E nj~ a
Odlazi	d l a z i
Odlučio	d t C i o
Okruzi	k r u z i
Okružnog	k r u Z e n o g
Olaf	l a f
Opseg	p e
Općinskog	p C u nsw$ i kp~ i N
Oranje	r a n j e
Osmanlijske	s l i j s k e
Osobine	s o b 3 n i 7
Ozren	z r e n
Pacifika	a c i f i k a
Palestinu	a l e s t i n u
Patuljci	a t u L k i
Paulo	a u l o
Pekić	r Cy~
Penny	e 5
People	e L l e
Pitanja	i t a n j a
Pjer	h e r
Planirana	l a n i r a n a
Pobijedila	o b i j E d i l a
Podrška	o d r S
Pont	n t a 5 a
Posebni	o s e b n i
Postanak	o s t a n a k
Preciznije	r E c i z n i j e
Predsjedavajući	r E j u n d a v a h u C u i
Predstavničkom	r e d s t a b n i C k o m
Prelaz	r e l a z
Preporučuje	r e p o r u C a j e
Pridružio	r i d r u Z e i o
Prince	r i n k e
Prizemlje	r i z e m L e
Pronađena	r o n a 8 e n a
Prototip	r o t o t i p
Putina	u t i n a
Putovanje	u t o v a n j e
Rame	a m e
Ratu	a t u
Razumijevanje	a z u m i p i r a n j e
Rep	3 p
Revolution	e v o l u t i o n 3
Richie	i C i e
Ridge	d g e
Rijeku	g i y e d k u
Rimom	i m o m
Ristić	i s t i Cy~
Ričarda	i % C a r d a
Roberts	o b e r c
Robina	o b i n a
Roddicka	o d i S k a
Rubisco	u b i s k o
Ruby	u b
Rusima	u s i m a
Saradnja	a r a d n j a
Savezom	E b e z o m
Savi	w i t i
Seoula	e o u l a
Shanghai	h a N a i
Shaw	h a w
Shirley	h i r l e
Shu	h u
Simeon	i m e 7 o n
Sistemi	i s t e m i
Slobode	l o b o t e
Službena	l u Z e b e n a
Smak	m a k
Smatraju	m a t r i c u
Smitha	m i t h a
Snjeguljica	n j e g e 3 r j i k a
Snow	n o
Sofiji	o f i h i
Sokrat	o k r a t r i
Somalija	u m o l i j a
Sonny	o 5
Spencer	p e n C E r
Sporazumom	p o r a z u m o m
Squire	k i r
Srednjovjekovni	r e d nj~ o w o x e k o p n i
Srpsko	r p s k o
Stabljike	t a b l j i k e
Stalni	t a l
Stalno	t a l
Stil	t i l
Strukture	t o u k t u r e
Sullivan	u l l i w a n
Supruga	u p r u g a
Svarog	v a r o
Sveto	f e t o
Sveukupni	e u k u p n i
Svijeta	v i y e t a
Svirao	v i r a o
Svjetskoj	v h c k o x
Sydney	y d n i
Team	e a m
Tehničke	e h n i % C k e
Telegraph	E l E g r a p
Temple	3 mp~ l e
Teodozija	e o d o z i j a
Teren	e d e n
Termini	e r m i n i
Terra	e r a
Test	e s t
Tibeta	i b e t a
Tomislava	o C u w r a v a
Toro	o r o
Tražeći	r a Z e n Cy~ i
Trust	r u s
Tunisu	u n i s u
Turner	u r n 3 q
Tuzlu	a z l u
Twitter	w i t t e r
Ujedinjena	h e d r o n o x e n a
Ujedinjeni	h e d r o n o x e n i
Ulaskom	l a s k o m
Unicode	n i k o t e
Unit	n i t
Upravljanje	p r a v l j a n j e
Usora	s o r a
Valentin	a l e n t i n
Vatikanu	a t i k a n u
Vega	e g a
Vesna	e s n a
Veze	d e
Vijenac	g i y e d o a k
Vijest	g i y e d s d a
Vilenjaci	i l a n j a k i
Virus	i r u s
Vladar	l a d a r
Vlasti	l a s t i
Vlatka	m u
Vlaške	l a S k e
Vodena	o d e n a
Volvo	o l a o
Vrši	r S i
Vukčića	u k % C i C u a
Waltera	a l t E r a
Wiener	i 3 n 3 q
Willa	i l l a
Year	e a r
YouTube	o u b e
Zadru	a d r u
Zaključak	a k l xy~ C a k
Zappa	a p p a
Zemljotres	e m lx~ o t r e
Zhang	a h a N
Zid	s e i
Zone	o 7
Zračni	r a % C n i
Zubi	u b i
abeceda	a b " a T e d a
akademskog	a k a d e m s kp~ i N
akcijom	a k i 3 h u m
akson	a k S o n
aktivirane	a k t v i r a n e
aktom	a k t o m
albanskim	a l b i s k i m a
aleli	a l e l i
alfabet	a l f a b e t
alpski	a l p u r
alternative	a l t E r n a t i v E
aluminij	a l u m i n i
amaterskom	a m a t e r s k o m
antropologije	a n t r o p o r o g i j e
apoptoze	a p o p t o z e
artiljerija	i t i l x e r i j a
artiljerijskim	i t i l x e r i j s k i m a
astronomiju	a s t r o n o m i j u
astronomske	a s t r o n o m s k e
atentatu	a t e n t a t u
atomska	a t u m u r
autentičnosti	a u t e n t i C n o s t i
autu	a u t u
avionske	a g o y o s k e
azijski	a z i j u r
bajke	b a h k e
bajta	b a h t a
balona	b a l o n a
bandu	b a n d u
bankama	b a n f i m a
barija	b a r i j a
baštinu	b a S t i n u
belgijske	b e l g i j s k e
benzina	b e n z i n a
beogradski	b e o n b o ch~ j k i
beskičmenjaka	b e s k i % C m E nj~ a k a
besmrtnost	b e s m r t Ng ~ o n o 8
besplatne	b e s p l a t n e
bezbjednost	b e z by~ E d Ng ~ o n o 8
biatlonki	b i a t l o n k i
bika	b i k a
biljnom	b i l x n o m
bint	b i t u
biolozi	b i o l o z i
bioraspoloživost	b i o r a s p o l o Z e i v o s
birana	b 3 r a n a
bizantskog	b i s a n c kp~ i N
bič	b i C
blagih	b l a g i
blagostanje	b l a g o s t a n j e
blisku	b l i s k u
bloku	b l o k u
bojali	b o x a l i
bolom	b o l o m
boluje	 e
borce	b o r k e
borilačkih	b o r i l a % C k i
božanski	b o Z e i s k i
bp	b p
bradu	b r a d u
brakovima	b r a k i v i m a
branili	b r a n i l i
bračne	b r a % C n e
budizam	b u d i z a m
budućoj	b u d u C u n d a
bulbus	l b u s
bunker	b w o m a r
bunkera	b w o m a
centimetra	C E n t i m E t r a
cerija	z i r i j a
cezija	C E z i j a
cijeloga	i n x i l a l i g a
cijenjeni	C i g i y E nj~ e n i
cijenom	C i g i y e n o m
cijepa	C i g i y e r p a
cilindar	i l i d a r
cilindričnim	i l i n d r i C n i m
cjelokupnom	kh~ e l o k u p n o m
crkvenu	k r k f e n u
crtama	k r t a m a
cvijećem	k v i y e C u e m
daljinski	d a l nsw$ i s i
dalmatinske	d a l m o t nsw$ i s e
datotekama	d a t o t e k a m a
datumima	d a t u m i m a
debla	d e b l a k
deceniju	d e 7 d u
degradaciju	d e g r a d a c i j u
dejstvom	d e h a Sx~ v o m
delta	d e l t a
delte	d e l t e
dermisa	d e r m i s a
desete	d e s e t e
desktop	d e s k t o p
destilacijom	d e s t i l a c i j o m
difuziju	d i f u  d u
dijagnostičkih	d i h 3 g g n o s t i C u k i
dimera	d i *
dinosaura	d i n o s a u r a
diskursa	d i s k u r s a
diskusiju	d i s k u s i j u
divovi	d i v o w i
dlakama	d  k a m a
dlačice	d e L o C i k e
dnevnika	d n e b n i k a
dobijale	d o b i j a l e
dodane	t o t a n e
dodata	t o t a t a
dodatka	t o t a t
dodijeljeni	t o t i j E l x e n i
dodjeljivana	t o t E l x i v a n a
dogme	d u g u m e
dominantnih	b i n a n t n i
dominantnu	b i n a n t n u
domovina	b o v i n a
don	d o n
donacija	d o n a c i j a
donatora	d o n a t o r a
dopire	d o p i r
dopisnik	d o p i s n i k
dosegnu	d o g n u
doseljavanja	d o s l 3 j a v a n j a
dovođenje	d o v o 8 o k o
doživjele	d o Z e i v E l e
dramskog	d r E m s kp~ i N
drugačijeg	d r u g a C i j e g e
drugoplasiranih	d r u g o p l a s i r a n i
društvom	d r u S t v o m
drvećem	d r e Cy~ e m
državnosti	d r Z e a b n o s t i
dužih	d u Z e i
dvojac	d v o x a k
dvojicom	d v o h i k o m
dvospolni	d v o s p o l
džepa	d Z e n p a
efikasne	e f i k a s n e
egipatskoj	g i p a c k o x
egipatskom	g i p a c k o m
egzistira	g a t i r a
eksplodira	e k s p l o d i r a
ekstremni	e k s t r e m n i
eliptične	e l i p t i c C n e
embrion	e m b a r i o n
empirijski	3 mp~ i r i j u r
enantiomera	e n a n t i o n *
energetska	e n e r g e t u r
energetskog	e n e r g e t i kp~ i N
englesko	o N l e s k o
enterijera	e n t E r i j E r a
entuzijasta	e n t u z e s t a
eukariotskih	u e c k i
evolucijska	e v o b e l i j u r
evolucijskog	e v o b e l i j s kp~ i N
ex	Z i 7
fabrikama	f a b r i k a m a
farma	f a r m a
faul	f a u l
fiksirana	f i k s i r a n a
fiksiranje	f i k s i r a n j e
fiksne	f i k s n e
financijske	f i n a n C i g i y s k e
finansijskom	f i n a s i j s k o m
fiziologija	f i L o l o g i j a
fiziologije	f i L o l o g i j e
folikul	f o l i k u l
formalna	f o r m a L n a n
fosforne	f o s h n e
franjevački	f r o m p i r a % C k i
funkcionalan	f w o m i o n a l a n
funkcioneri	f w o m i o n e r i
funkcionirati	f w o m i a r a t
funkcionisanje	f w o m i o n i s a n j e
gasne	g a s n e
generiranje	g e n e r a n j e
generiše	g e n e r i S e
germanskog	g e r s kp~ i N
glasao	g l a s a o
glatku	g l a t k u
glavobolju	g l a v o b o l C u
gledaoci	g l e d a t i
gledatelja	g l e d a t e l j a
gnijezde	g n i y e z d a e
gniježđenja	g n i j E Z e 8 e n j a
gorak	g o r a
gorju	g o r C u
gostujućem	g o s t u h u C u e m
govorila	g o b o r i l a
graf	g r a f
gram	g r a m
gramatiku	g r a m a t i k u
granaju	g r a n a C u
granatiranja	g r a n a t i r a n j a
građevinskim	b o ch~ 8 u s nsw$ i s i m a
grebeni	g r e b e n i
grofom	g r o f o m
grofovije	g r o f o v i y e
gustom	g u s t o m
gustoćom	g u s t o Cy~ o m
gužve	g u Z e v e
hadis	h a d i s
haljinu	h a l j i n u
harmoniju	h a r m o* i j u
heliks	h e l i k
heliksa	h e l i k s a
hibrid	h i b r i d
higijenu	h i x i j E n u
himnu	h i m n u
hipotezi	h i p o t e z i
hirurškim	h i r u r S k i m a
hladnih	L a d n i
hodaju	h o d a u
homoseksualnost	h o m o s e k s u a l Ng ~ o n o 8
hramovima	h r a m o v i m a
idealima	d e a l i m a
identitetu	d e n t i t e t u
ideologiju	d e o l o g i j u
ilijačne	i l i j a % C n e
ilirskim	i l i l s k i m a
iluzija	i l u z i j a
imuniteta	i m u n i t e t a
indijskoj	i n d i j s k o x
inflaciju	i n f l a c i j u
inicijalno	i n i C i j a l
inicijator	i n i C i j a t o r
integrina	i n t e g r i n a
intelektualnih	i n t e l e k t u a l n i
intelektualnim	i n t e l e k t u a l
intelektualnu	i n t e l e k t u a l n u
intenzivan	i n t e n z i w a n
intenzivnije	i n t e n z i v n i j e
ionizirajućeg	i q l  a h u C u o g
ishodom	i S o d o m
iskaza	i s k a z a
iskopano	i s k o p a n o
iskorišteno	i s k o r i S t E n o
ispalio	i s p a l i o
isparavanje	i s p a r a v a n j e
isparavanjem	i s p a r a v a n o x e m
isplati	i s p l a t i
ispraviti	i s p r a w i C i
ispune	i s p u n e
ispuštanje	i s p u S t a n j e
istaknutom	i s t a k n u t o m
istezanja	i s t e z a n j a
ističući	i s t i % C u C u i
istraženo	i s t r a Z e n
