va 	v a
viloyatda	v i l o y a t d a
voleybol	v o l e y b o l
xalklar	S a l l a r
xarakterli	S a r a k t u r xy~ E kw~ i
xavfsizligini	S a b f s i z l i g i n i
xiliga	S i l i g a
xizmatlarini	S i z L a r i n i
xohlagan	S o L a g a n
xonligini	S o n l i g i n i
yadrolari	y a d r o l a r i
yakun	y a k u n
yaqinligi	y a q i n l i g i
yashay	y a S a y
yaxshilashga	y a x S i l a s g a
yemirilishi	y e m i r i l i S i
yetkazgan	y e t kh~ a z g a n
yigʻilishi	y i g i l i S i
yillarga	y i l l a r g a
yodgorliklarini	y o d g o r l i k a r i n i
yogʻmoy	y o g 7 m o y
yoqib	j o k Ch~ o
yotqiziklar	y o t m u a z i k a r
yoʻldoshi	y o 7 l d o S
yoʻnalishga	y o 7 n a l i S g a
yumaloq	y u m a l o q
yutuqlar	y u s u b l a r
yuviladi	y u b i l a d i
zaharlanish	z a h a l a n i S
zanjirli	z a n j i r l i
zaryadi	z a cy~ a d i
zavodlarida	z a v o d l a r i d a
zdlari	z d a l a r i
zodagonlari	z o d a g o n l a r i
AQShdagi	h d a g i
Akademik	k a d e m i k
Akbarov	m a r o N
Amin	m i n
Avstraliyaning	v s t r a l i y a n i N
Axborot	b " o r o t
Behbudiy	e h b u d i
Berdaq	e r d a q
Boburnoma	n o m a
Bogʻ	o g i u
Bor	o r
Boʻr	o 7 r
Boʻzsuv	o 7 z s u
Doimiy	o i m i
Elektrotexnika	l E k E tr~ o t " n i k a
Endilikda	n t i l i k d a
Erta	r t e
Fe	e
Georgiy	e o r g i y a
Gruziyada	r u z i y a d a
Gruziyaning	r u z i y a n i N
Gul	u l
Hammasi	a m m i s i
Holid	o l i d
Homiladorlik	o m i l a d o r b u C o
Infeksion	n f k S i o n
Ismoilov	s m o l o N
Jahondagi	a h o n d a g i
Kesh	3 S
Kobul	m o w
Kushon	u s o n
Mali	a l i
Markazi	a r kh~ a z i
Mavjud	a b h u d
Moskvaga	o s k v a g a
Muhammadjonov	a a m a d h o n o N
Nazariy	l a u k a r i
Olmaota	l m o o t a
Ovoz	v o
Ozod	z o d
Oʻlik	7 b u C o
Oʻtmishda	7 t m a S a S d a
OʻzME	7
Poyasi	o y a s i
Poʻlat	o 7 l a t
Quruq	u r u k
Quyoshdan	u y o S d a n
Rajabiy	c a b i
Ramazon	a m a z u n
Rassom	a s o*
Rivojlanish	i v o h l a n i S
Sahroi	a h r o i
Serial	e r i a l
Sharqqa	h a r q o
Shayboniyxon	h a y p o l x S o n
Shimol	h i m o l
Shirvonshohlar	h i r v o n T o L a r
Shoʻrolar	h o 7 r o l a r
Sintetik	i n t e t i k
Taxminan	a x m i n a n
Telefon	e l e f o n
Telegraf	E l E g r a f
Topografik	L o k g r a f i k
Tuprogʻi	u p r o g o i
Unt	nt~ a
Urgut	r g u t
Uzluksiz	z l u k s i z
Vegetatsiya	e g 3 t a c i y a
Veterinariya	e t e r i n a r i y a
Yassi	n i i
You	o u
Zomin	o m i n
adadi	a d a d i
ajrata	c r a t a
akademiyasida	a k a d e m i y a s i d a
aksiya	a k S i y a
aminlar	a m i n l a r
anik	a n i k
ansambllar	s a mb~ y a r
ansambllari	s a mb~ y a r i
aralashuvi	a r a l a S g a n i
asal	a s a l
ashyosini	n a N t a N o s i n i
asoratlar	a s o r a L a r
asosiga	a s o s i g a
atmosferada	a t n o S f e r a d a
avtoulov	a o l o N
bahramand	b a h r a m a n d
bahs	b a h
balli	b a l l i
barqarorligi	b a r X e r o l i g i
bastalagan	b a s t a l a g a n
bayoni	b a o n i
bemorga	b e m o r g a
benzin	b e n z i n
beqaror	b e q o m i 7 o r
berilmagan	b E r e l m a g a n
bermadi	b E r m a d i
betakror	t k r o r
biokimyo	b i o k i m y o
biologiyasi	b i o l o g i y a s i
biriktirish	b i r i g t i r i S
birlashishi	b 3 r l a S i S i
bitimi	b i t i m i
bogʻlanishi	b o N 7 l a n i S i
boks	b o k
borar	b o r a r a
bosgan	s g a n
boshining	s i n i N
boshni	s n i
boshpana	s p a n a
bozorlarda	b o z o r  d a
boʻlimlarida	b o 7 l i m l a r i d a
boʻlsin	b o 7 l s i n
boʻyiga	b o 7 i g a
boʻyni	b o 7
brendi	b r e n d i
buqoq	b u k a
burgut	b u r g u t
burgʻi	b u r g i
dastgoh	d a s t 3 x o
dasturiga	d a s t u r i g a
davra	d a b r a
dengiziga	i s u r i z i g a
devorida	d e v o r i d a
didaktik	d i d a k t i k
dielektrik	d i e l e k i
doirasidan	d o i r a s i d a n
dollardan	d o l l a r d a n
doridarmon	d o r i d a r m o n
doridarmonlar	d o r i d a r m o* l a r
dramalar	d r o m o L a r
dramaturg	d r a m a t u r
duragaylari	d u r a g a y l a r i
dushmanga	d u S m a Ng~ a
dushmanlari	d u S l a r i
egallashga	g a ly~ a  g a
egasiga	g a s i g a
ehtiyotkorlik	e h t i y o t k o r b u C o
ekinlariga	r  x a
ekranga	e k r a Ng~ a
ekvator	e k v a t o r
elat	e l a t
elektrodlar	e l e k tr~ o d l a r
elementlarini	l E l E m E n a r i n i
ellik	e ly~ i k
eritrotsitlar	r i  c i L a r
ettiriladi	e t i r i l a d i
evolyutsiyasi	e v o r u c i y a s i
faniga	f a n i g a
faraz	f a r i
fazoning	f a z o n i N
filmlarida	b i l m l a r i d a
fizikada	f i  k a d a
fizikkimyoviy	f i z i k i m o w i
forslar	f o r w a r
fotografik	f o t o g r a f i k
gazni	g a z n i
geodeziya	g e b a  y a
geosinklinal	g e o s i n k l i n a l
gerbi	g e r b i E
gilli	g i l l i
goho	g o h o
grammatika	g r a m m a t i k a
gravitatsiya	g r a w i t a c i y a
gʻijjak	g i a k
gʻor	g 7 o r
haftadan	a f a d a n
haj	h a x
haqiqati	h a q i k a t i
harakatlanadigan	h a r a k a L a n a d i g a n
harakatlanishi	h a r a k a L a n i S i
haritalari	h a r i t a l a r i
hokimiyatiga	h o k i m i y a t i g a
hokimlari	h o k i m l a r i
hoshiya	h o s i y a
hosildorligini	h o s i l d o r l i g i n i
hujayralilar	h u y a 3 r a l i l a r
hukmronligiga	h u k m r o n l i g i g a
hukumatlararo	h u k u m a L a r a r o
idoralar	d o r a l a r
ijodidan	i j o d i d a n
ilmini	i l m i n i
iltimos	i l t i m o s
imorat	i m o r a t
imperiyasiga	i m p e r i y a s i g a
inqiroz	i n m u a z i
institutning	s t i t u t n i N
ionlarning	i o n l a r n i N
ionlashgan	i o n l a S g a n
isbotlaydi	i s b " a y o w d i
ishlanadigan	i s a nz~ i a d i g a n
ishongan	i S o N a n
ishqiy	i S m u a
islomda	i s l o m d a
ixtiyorida	i S j o r i d a
izotoplari	i z o t o p l a r i
jamoadagi	c a m o k a d a g i
janrining	h a n r i n i N
jinslarda	h i s  d a
juftdan	x u f t d a n
kafedralari	k a f e d r a l a r i
kamaytiradi	k a m a i t i r a d i
katod	k a t o d
kattasi	k a t t a s i
keksa	k e k s a
ketmaket	k e t m a k e t
kislotali	k i s l o t a l i
komissari	k o m i s s a r i
konferensiya	q o n i k f e r a ns~ i y a
kongress	k o N r e s
konlaridan	q o n i k l a r i d a n
konsentrlangan	q o n i k e n t r l a N a n
kontakt	k o nt~ a k
korporatsiya	k o r p o r a c i y a
koʻrinishdagi	k o 7 r i n i S d a g i
koʻzdan	k o 7 z d a
kristallari	k r i s t a l l a r i
kunduzi	k u n d u N
kunlarida	k u n l a r i d a
kupi	k u p i
kuyi	k u y i
kuylaydi	k u u y o w d i
lashkar	l a S k a r
lavozim	l a v o z i n h o
lavozimlarida	l a v o  m l a r i d a
lenta	l e nt~ a
madhiya	d i y a
mafkuraviy	f k u r a w i
majburiyatlarini	C b u r i y a L a r i n i
maktabiga	k t a b i g a
mamlakatlaridan	m a m l a k a L a r i d a n
manbaidir	n b a i d i r
mantiya	m a n t i y a
maqsadlar	m a q s a d l a r
markazda	m a* r kh~ a z d a
masalada	m a s a l a d a
mashinada	S i n a d a
masjidni	s j i d n i
massasiga	s s a s i g a
materiallarga	m a t e r i a l l a r g a
mehmonlar	m e h m o* l a r
metamorfizm	m e t a m o r f i z m
metan	m e t a n
metodlar	m e t o d o l a r
mexanizmlari	m e S a n i z m l a r i
mikrobiologiya	7 l o b i o l o g i y a
miqyosdagi	m i k o s d a g i
modasi	m o d a s i
modelini	m o d e l i n i
mohiyat	o* h i y a t
monand	m o n a
montaj	m o* t a x
moʻyna	m o 7
mualliflarning	m u a l l i f  n i N
muammolarga	m u a m l a r g a
muhandis	m u a nd~ i s
muhitini	m u h i t i n i
mulkning	l k n i N
muloqotda	l o x o t d a
munosabatini	m u n o s a b a t i n i
muomalasi	mw~ a b o i s i
murakkabligi	m u r a k n u w l i g i
musiqasining	s i k a s i n i N
muskullarning	s k u y a r n i N
musobaqada	s o b a q a d a
mustabid	s t a b i d
musulmonlarga	s u l m o*  g a
n	n
nabirasi	n a b i r a s i
naqshlari	n a q S l a r i
nari	n a r i
nashrlar	n a S l a r
nasr	n a s r
negrlar	n e g r l a r
nishon	n i S o n
nominal	n o m i n a l
nomzodlik	n o m z o d b u C o
normalari	n o r m a l a r i
nurli	n u r l i
obidalar	o b i d a l a r
ogʻrigʻi	o g i 7 x i
oilaga	o i l a g a
olar	o l a r
olayotgan	o l a y o t g a n
olimlarining	o l i m l a r i n i N
olmaslik	o l s b u C o
ommalashgan	o m m a l a S g a n
onasining	o n a s i n i N
orbita	u r b i t a
organizmidagi	u r g a n i z m i d a g i
orqada	u r q a d a
oval	o w a l
oyoklari	o y o k l a r i
oziqlanish	o z i k l a n i S
oʻlkasining	o 7 l u s i n i N
oʻqishni	o 7 g w i S n i
oʻsdi	o 7 s d i
oʻshanda	o 7 S a n d a
oʻzak	o 7 z a k
oʻzgarganda	o 7 z a r g a n d a
pana	p a n a
pardalar	p e r d a l a r
pasttekisligi	p a s t r s l i g i
paxsa	p a x s a
paxtani	p a x t a n i
portugal	p o r t u g a l
prinsiplari	p r s i p l a r i
punktlar	p u n k L a r
qabilalarining	q a b i l a l a r i n i N
qalamga	q a l a m g a
qalb	q a l
qalqon	q a q o n
qamrovli	k " a m r o b l i
qanoti	g o n o t i
qasr	q a s r
qayiq	q a y i
qayt	q a y
qilina	q i l i n a
qilinsa	q i l i s a
qishi	q i S i
qiymatiga	q i m a t i g a
qizdirilgan	q i z d a i r i l g a n
qoldiklari	q o l d i k a r i
qolipga	q o l i p g a
qolishadi	q o l i S a d i
qolmaydi	q o l m o w d i
qoʻllashga	q o 7 y a  g a
qurshab	k r S a b
radikallar	r a d i k a l a r
rasadxonasi	r a s a d S o n a s i
ravshanligi	r a w S a l i g i
reaksiyalariga	r e a k S i y a l a r i g a
rivojlanadigan	r i v o h l a n a d i g a n
rollari	r o l l a r i
romanlar	r o m a n l a r
romantizm	r o m a n t i z m
roʻza	r o 7 c a
ruhsat	r u h s a t
saklanadi	s a q  n a d i
salmokli	s a l m o k l i
sara	s a r a
sarmoya	s a r m o y a
savollar	s a v o y a r
sayyohlik	s a y o h b u C o
sazovordir	s a z o v o r d i r
sektori	s a q t o r i
sezilib	s e z i l i
shaharlardagi	S a h a r e  d a g i
shimolidan	S i m o l i d a n
shtatida	S t a t i d a
signallarini	s i g n a l l a r i n i
sintezida	s i n t e z i d a
sintezini	s i n t e z i n i
sirtini	s i r t i n i
skripka	s k r i p
sohalardagi	s o h a l a r d a g i
solishda	s o l i S d a
sotsiologiya	c i o l o g i y a
spektakllari	s p e k k y a r i
spiral	s p i r a l
spirti	s p i r t i
stanoklar	s t a n o k l a r
styalari	s t y a l a r i
sulfidli	s u l f i d l i
surish	s u r i S
suverenitetini	s u b e r e n i t e t i n i
suvlarini	s u b l a r i n i
tabiatdagi	t a b i a t d a g i
tafakkuri	t a f a k k u r i
tagiga	t a g i g a
talaygina	t a l a y g i n a
tamoyillarini	t a m o y i l l a r i n i
tanasini	t a n a s i n
tanlashda	t a n l a S d a
taqdirini	t a q d i r i n i
taqlid	t a q l i d
targʻibot	t a r g 7 i b o t o
tarmogʻiga	t a r m a m i g a
tarqatiladi	t a r q a t i l a d i
tarzidagi	t a L i d a g i
tashkilotining	t a S  l o t i n i N
tashqaridagi	t a S q a r i d a g i
tavsiflash	t a b k u t a p i S
tayin	t a y i
tayinladi	t a y i n l a d i
tekisligiga	t a k i w i g i g a
tekisliklardan	t a k i w i k l o r d a n
tekshirishda	t a k S i r i S d a
teoremasi	t e o r e m i s i
ter	t e r
tibbiyoti	t i b e k u y o t i
tikiladi	t i k i l a d i
tilli	t i l l i
tomonlar	t o m o* l a r
topilishi	t o p i l i S i
toshlardan	t o s a nz~ i d a n
toʻgarak	t o 7 N a r a
toʻlab	t o 7 l a b "
toʻqimalarida	t o 7 g w i m a l a r i d a
toʻqimaning	t o 7 g w i m a n i N
toʻyinmagan	t o 7 i n m a g a n
tubiga	t u b i g a
tugashi	t u g a s i
tugʻilish	t u x i l i S
tumanda	t u m a n d a
tumanlaridagi	t u m a n l a r i d a g i
tura	t u r a
turkumlari	t u r k u m l a r i
tuzli	t u z l i
ukrainlar	u k r a i n l a r
umummilliy	u m u m m i l l i
unlilar	u n l i l a r
urgan	u r g a n
urma	u r m a
ustaxonasi	u s t a S o n a s i
ustuvorlik	u s t u b o r b u C o
uyushmasining	u y u S s i n i N
uzunligiga	u z u n l i g i g a
uzunlik	u z i b u C o
vakillarini	v a k i l l a r i n i
vazirining	v a z i r i n i N
vazirligida	v a z i r l i g i d a
viloyatiga	v i l o y a t i g a
virusli	v i r u s l i
vizual	v i z u a l
vositalarning	v o s i t a l a r n i N
xodimning	S o d i m n i N
xonlari	S o n l a r i
xonliklarida	S o n l i k a r i d a
xossaga	S o s s a g a
xoʻjaliklar	S o 7 j a l i k a r
yadrosining	y a s i n i N
yakunlangan	y a k u n l a N a n
yani	y a n i
yaratganlar	y a r a t g a n l a r
yaxshilanadi	y a x S i l a n a d i
yaxshilaydi	y a x S i l a y d i
yaʻni	y a 7 n i
ye	y e
yerlariga	y e r  x a
yigʻilib	y i g i b u C o
yoppasiga	y o p p a s i g a
yoritiladi	y o r i t i l a d i
yoshlarni	y o s a nz~ i n i
yoyilib	y o k i l i
yozishni	y o a n i
yozuvga	y o m a g a n g a
yoʻla	y o 7 l a
yoʻlidan	y o 7 l i d a n
yoʻllanma	y o 7 y a n m a
yoʻtal	y o 7 t a l
yugurish	y u g u r i S
yuksalish	y u k s a l i S
yumshatish	y u m S a t i S
yurtlarining	y u r L a r i n i N
zaharlanganda	z a h a l a N a n d a
zahiralari	z a h i r a l a r i
zal	z a l
zamini	z a m i n i
zaxm	z a x m
zotlarini	z o t l a r i n i
zoʻrlik	z o 7 r b u C o
Akbar	m a r
Albaniya	l b a n i y a
Arabistoni	r a b i s t o n i
Araz	r a z
Armanistonda	r m a n i S th~ o n d a
Asarlarida	s a l a r i d a
Assambleya	s s a m b l e y a
Astraxon	s t r a g n
Audi	u d i
Avliyo	v r i a
Aylanma	y a nz~ m a
Banu	a n u
Begona	e g o n a
Boʻstonliq	o 7 s t o n l i q
Boʻz	o 7
Braziliyada	r a z i l i y a d a
Brest	r e s
Darband	a r b a nd~
Davlatning	a b l a t n i N
Dehli	e h l i
Dugoh	u g o
Egey	g e j
Elementar	l E m E n t a r
Energetika	n e r g e t i k a
Ergash	r g a S
Federal	e d e r a l
Gegel	g
Goʻsht	o 7 sC~ t i
Himolay	i m o l a y
Ijro	h r o
Ili	l i
Infraqizil	n f r a q i z i l
Isfahon	s f a h o n
Islomni	s l o m i i
Ittifoqining	t i f o m g w i n i N
James	a m e
Jismoniy	i s m o n i y a
Kamol	a m o l
Komilov	l o N
Korxonada	u r S o n a d a
Koʻrish	o 7 r i S
Kvant	v a n t
Mahsulot	a 7 s u l o t
Mansurov	s u r o N
May	a y
Misrning	i s r n i N
Mixail	i S o i l
Miya	i y a
Moʻgʻuliston	o 7 g 7 u l i s t o n
Muassisi	u a s s i s i
Musobaqa	u s o b a N g a
Nodirshoh	o d i r T u
Normal	o r m a l
Nuh	u
Okeaniya	k e a n i y a
Okeanning	k e a* n i N
Olay	l a y
Olimning	l i m n i N
Olingan	l i N a n
Oripov	r i p o N
Oyga	y g a
Oʻng	7 N
Oʻzbekistonlik	7 z n t u mb~ i s t o n l i k
Papa	a p a
Parkent	a r k e nt~
Podsho	o d S o
Qabul	a b u l
Qadimiy	a d i m i
Qahramoni	a h r a m o n i
Qishi	i S i
Qodirov	o d i r o N
Qoʻshiq	o 7 S i
Qoʻzgʻolon	o 7 z g 7 o l o n
Respublikadagi	e s p u b l k a d a g i
Respublikaning	e s p u b l k a n i N
Risolai	i s o l a h i
Ronaldo	o n a l d o
Serbiya	e r  y a
Sevgi	p i r g i
Shaxsning	h a s n i N
Shohrux	h o h r u S
Shuhrat	h u h r a t
Tashkilotning	a S i k i l o t n i N
Termiziy	e r m i
Texasda	" a s d a 7
Titan	a k u
Tok	o k
Tokio	o k i o
Toshkoʻmir	o S l o d a 7 m i*
Toʻla	o 7 l a
Tub	u b
Tumanning	u m a n n i N
Ulugʻ	t u u
Umurtqa	m u r t N g a
Undagi	nd~ a g i
Usmonov	s m o n o N
Uzbekistonda	z n t u mb~ i s t o n d a
Valyuta	a l y u t a
Vazifasiga	a z i f a s i g a
Venetsiya	i n i c i y a
Xalifa	a l i f a
Xitoydan	i t o i 8 a n
Xudo	u d o
Yashin	a s i n
Yaxshi	a x S i
Yevropaliklar	p i r z i  l i k a r
Yogʻinning	o g i i n n i N
agrotexnik	y r o t " n i k
agʻdarib	y 7 d a r i b a
ajratishda	c r a t i S d a
akademiyasini	a k a d e m i y a s i n
alifbosida	a l i f s i d a
allergik	a ly~ a rx~ i k
almashinishi	a l S i n i S i
anaerob	a n a e r o b
animatsion	a n i m a c i o n
aniqlashdan	a n i k l a S d a n
aniqligi	a n i k l i g i
anjomlari	a n j i z d a r i
anjumanlar	a* h u m a n l a r
arablarga	a r a b l a r g a
aralashadi	a r a l a S a d i
aruz	a r u
arxiv	a r S i
asarlarga	a s e r  g a
asbobsozlik	a s b o b s o z b u C o
asosga	a s o s o l g a
asrash	a s r a S
astronomi	a s t r o n o m i
atmosferaga	a t n o S f e r a g a
avlodlar	a b l o 8 7 l a r
ayerlarda	a y e r  d a
aylantiriladi	a y nz~ i  r i l a d i
azob	a z u b
bajarishda	b a j a r i S d a
balansi	b a l a s i
baliqni	b a l i k n i
bankning	b a n k n i N
bantu	b a n t u
barokko	b a r o k k o
belgilanishi	b e l g i l a n i S i
belgilaydigan	b e l g i l a y d i g a n
beradilar	b E r a d i l a r
berdilar	b E r d i l a r
bezakli	b e z a k l i
bezatiladi	b e z a t i l a d i
bilar	b i l a r
bildi	b i l d i
bildirish	b i l d i r i S
bilimga	b i l i m g a
binolarni	b i n o l a r n i
biridan	b i r i d a n
bittasi	b i t a s i
bloki	b l o k i
bogʻlanadi	b o N 7 l a n a d i
bogʻlanib	b o N 7 a nz~ Ch~ o
bogʻlash	b o N 7 p i S
boshlaganlar	s L a g a n l a r
boshliqlari	s l i k l a r i
boshqird	b o S k  3 r d
bosqini	s k i n i
boʻlakka	b o 7 l a k
boʻlaklarga	b o 7 l a q  g a
boʻlar	b o 7 l a r
boʻlindi	b o 7 l i n d i
boʻlishlari	b o 7 l i S l a r i
boʻlmas	b o 7 l m o s
boʻshligʻining	b o 7 S l i g i n i N
boʻyash	b o 7  s o
bugʻlanish	b u g 7 l a n i S
bulut	b u l u t
burgʻilash	b u r g i p i S
burmalari	b u r m a l a r i
butkul	b u t k u l
d	d
dalil	d a l o
davomi	d a v o m i
degani	d e g a n i
demakdir	d e m a k d i r
dengizdan	i s u r i z d a
deyishadi	d e y i S a d i
did	d i d
dollarni	d o l l a r n i
dorilarni	d o r i l a r n i
dunyosining	d u n y o s i n i N
dushmanni	d u S n i
ekranda	e k r a n d a
ekspeditsiyalar	e k 8 p e n e d i i y a l a r
eposi	a p o s i
erishgandan	r i S g a nd~ a n
erishganidan	r i S g a n i d a n
eroziyasi	e r o  a s i
etnografik	e t n o g r a f i k
etsa	e c a
evolyusiya	e v o r u s i y a
fanlarni	f a  n i
faollik	y u L i k
farmon	f a r m o n
farmoniga	f a r m o* i g a
faylasuflar	f a y l a s u f l a r
fazalar	f a z a l a r
fazasi	f a z a s i
ferment	f e r m E n t
fi	f i
filogenetik	b i l o x e n e t i k
fin	f i n
formula	f o r m u l a
fronti	f r o n t i
ftorid	f t o r i d
fuqarosi	f b a r o s i
galvanik	g a l v a n i k
garmonik	g a r m o* i k
gillar	g i l l a r
gimnaziya	g i m n 3  y a
gipofiz	g i p o f i z
glyukoza	g l y u k o y a 7
gormon	g o r m o n
gradus	g r a d u s
gripp	g r i p p
gumon	g m o n
gumoral	g m o r a l
guruhlarining	g L a r i n i N
gʻazallari	g 7 tr~ u l l a r i
hajv	h a u
halqasimon	h a q a s i m o n
harflari	h a r f l a r i
havodagi	h a v o d a g i
hayvoni	h a y v o n i
hayvonlardan	h a y v o n l a r d a n
hayz	h a u z
hidi	h i d i
hiyla	h i y l a
hodisani	h o d e i s a n i
hollar	h o y a r
hoz	h o
hududlardan	h u d u d  d a n
hududni	h u d u d n i
hujayralarining	h u y a 3 r a l a r i n i N
hujjatlarda	h u h gy~ tL~ a X n a d a
hukmronligini	h u k m r o n l i g i n i
huquqlariga	h u k q  x a
huquqli	h u k k l i
ifodalashga	f o d a l a S g a
ilohiyot	i l o h i y o t
informatsiya	i n f o r m a c i y a
inshootlarni	i n T o tL~ a X n a q i
insoniyatning	s o n i y a t n i N
institutlar	s t i t u L a r
intilishi	i n t i l i S i
intini	i n t i n i
intining	i n t i n i N
inv	i n
iqtisodiyotini	i k  s o d i y o t i n i
iroda	i r o d a
isbotlagan	i s b o t l a g a n
isbotlangan	i s mb~ u t u a nz~ i g a n
ishora	i S o r a
isitma	i s i m a
islohot	i s l o h o t
islohotlarni	i s  h o tL~ a X n a q i
islomiy	i s l o m i
ismini	i s m i n i
issiqqa	i s s i k N g a
istilosidan	i s t i l o s i d a n
iymon	i m o n
izlanishlari	i r L a n i S l a r i
izohlash	i t L a S
jadvali	y a d v a l i
janubidan	h a n u b i d a n
jasur	y a s u r
javdar	y a b d a r
jinoyatlarni	j i n o y a tL~ a X n a q i
jiyani	h i y a n i
joylashishiga	j o y l a S i S i g a
joʻshqinlik	j o 7 S m u a t u b u C o
juni	C i x u n i
jurnalining	x u r n a l i n i N
jut	x u t
kamerasi	k a m E r a s i
kanalidan	k a n a l i d a n
kasalligiga	k a s a ly~ i g i g a
kasalliklaridan	k a s a ly~ i k a r i d a n
kasalliklarining	k a s a ly~ i k a r i n i N
kattaliklar	k a t t a l i k a r
keddi	k e d i
kelmasligi	k e l m a l i g i
kelmaydigan	k e l m o w d i g a n
kemalarda	k e m a l a r d a
kemasi	k e m i s i
kengashlari	k e n g a s L a r i
kengayadi	k e N a y a d i
kengaytirdi	k e N a i t 3 r d i
ketishidan	k e t i S i d a n
kimga	k i m g a
kinoga	k i n o g a
kislotalarning	k i s l o t a l a r n i N
kismini	k i s m i n i
kitoblarni	k i t o b l a n k r n i
kitobni	k i t o b n i
kiyib	k i y i
kommunal	k o m u n a l
konservalari	q o n i k e r v a l a r i
konstruktiv	q o n i k s t r u k t
korxonalarning	k o r S o n a l a r n i N
koʻpaygan	k o 7 p a y g a n
koʻplik	k o 7 p b u C o
koʻzlari	k o 7 z l a r i
kurashlar	k u r a s L a r
kurorti	k u r o r t i
kuzatilayotgan	k u z a t i l a y o t g a n
larida	l a r i d a
liniyasi	l i n i y a s i
lipidlar	l i a t l a r
loyihalarini	l o y i h a l a r i n i
madrasasida	d r a s a s i d a
magmaning	m a h m a n i N
mahoratini	m a h o r a t i n i
mahsulotlariga	m a 7 s u l o L a r i g a
mahsulotlarning	m a 7 s u l o tL~ a X n a q i N
majburiyatini	C b u r i y a t i n i
majmuidan	m a h m 7 u i d a n
maktub	k t u b
manbalarini	n b a l a r i n i
mansab	n a b a
markazidagi	m a* r kh~ a z i d a g i
marosimlarida	m a* r o s i m l a r i d a
masalasida	m a s a l a s i d a
matematigi	m a t e m a t i g i
materialdan	m a t e r i a l d a n
mavqeiga	m a b E i g a
maydonlarni	m a y d o*  n i
